epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,magnitude_aleatoric,magnitude_epistemic,magnitude_total,rmse_e_atom,nll_energy
0,0.6408640531188657,0.5811568716737905,0.6741774834488217,0.3764059760551181,0.373390762350099,0.3950518515459437,0.2992996805750069,0.3035896595301456,0.28758592296542995,0.09263168132222045,0.9009762029149904,0.3989280354778571,0.00010325235533173327,5.679073306877172e-05,0.0001600430884207526,0.010446279515678135,-3.4370271342754366
5,0.3738673288185276,0.3534130319911093,0.38660664687287366,0.4297158154953099,0.49486683096948747,0.48886373578638165,0.26322463682686914,0.23723179795886512,0.23447591856793018,0.7086500251688611,0.8201327958981889,0.28197706202032197,3.634488820348451e-05,3.27021704446679e-05,6.904705855354223e-05,0.006857470460609327,-3.8557735620975495
10,0.2600921073360203,0.35321505353386506,0.3365767545269753,0.41889261701683606,0.4942845038712278,0.4953627716888343,0.27017431352564564,0.2401529735944385,0.23407631366393092,2.3781340681528502,0.7319807122654359,0.1387462337504037,1.8730838859187315e-05,2.944427128580571e-05,4.81751100624706e-05,0.006511083668476052,-3.9294878562927247
15,0.16477253455228308,0.3756320809999078,0.2362485871033038,0.40247843163197455,0.4867393726682139,0.486275425651699,0.27873537203026527,0.24614939781994372,0.24014931026707156,4.986870010499778,0.6181803448075075,0.19651962787156757,1.531652598509936e-05,2.9532814040999255e-05,4.48493399042718e-05,0.006460451156515587,-3.934255070400238
20,0.12007168208403189,0.37730203244371663,0.18959961949111523,0.40211680281131157,0.48951497596655175,0.48811328093793394,0.27971775309821745,0.24352276125979624,0.23886078911121397,8.00323627197687,0.5954258296101672,0.2276269455573203,1.3940757285524796e-05,2.99947165530142e-05,4.393547384937619e-05,0.006416200786833485,-3.935491175913811
25,0.12141627820379462,0.38086465636955197,0.1904245722984835,0.3955073184700644,0.4886268022953205,0.4862762677958058,0.2833788331426502,0.24452772466794445,0.24003832836972258,11.095228336622277,0.5789015805355635,0.2739202336297646,1.320411135399695e-05,3.045320314801927e-05,4.3657314411518656e-05,0.006393209783999914,-3.9299269277334212
30,0.1202662819794655,0.3843317382385476,0.18944701263336666,0.38633056207405553,0.48768615035499674,0.4855806798376254,0.2886230679386135,0.24247714152976738,0.23918805949639554,14.26573006256686,0.5875848350665459,0.31103206634714414,1.2090222405936401e-05,3.0163544120054554e-05,4.225376642616538e-05,0.006424626472014582,-3.9285411442518234
35,0.11647662229121696,0.3798142317572717,0.1829988516541055,0.3855125716630786,0.48861718304292706,0.48676099294701936,0.2899026346375408,0.24162491399302308,0.2383866133493549,17.3252068517423,0.5857753535762161,0.3300210536144625,1.2093980381808934e-05,3.0329243189189015e-05,4.242322345045295e-05,0.006422481008230961,-3.9245652032613756
40,0.10844368184447296,0.3797293176865619,0.17249462401224125,0.37937412610270327,0.4871872239194868,0.48384495479851536,0.29225592915947624,0.2429865148920165,0.24062733772562206,20.491041443791644,0.6021967757474906,0.37028760495412566,1.1831290805076833e-05,3.032238665759337e-05,4.2153677581870855e-05,0.006421932514309026,-3.917251420903206
45,0.10846890366468775,0.38116849656098023,0.17717242644155312,0.3844298010396907,0.4890362534231112,0.487604987629628,0.2905382006506407,0.24073952412170874,0.23816228855276286,23.31580529368795,0.5460872246632973,0.3663838205829013,1.1239758098164998e-05,3.054072911195647e-05,4.1780487077119235e-05,0.006418713803558382,-3.919961307024956
50,0.11403258118352393,0.37474472718100393,0.18632205852977085,0.3797298796694197,0.4895445921409583,0.48810102720158144,0.2911511134970921,0.23890404103812518,0.23717779800674862,26.64071425927212,0.5501775695566504,0.3854675269910212,1.021380276269781e-05,3.0387464195774784e-05,4.0601267057087395e-05,0.006425224873622369,-3.91913640499115
55,0.1043862160953823,0.38025691511739806,0.16945366870322634,0.3843643939832517,0.49169834868114987,0.4905281154095427,0.2898431846319676,0.2398682564094184,0.23763446160444868,33.44247589795193,0.6321189454663154,0.4307428714011176,1.0914874189992929e-05,3.0400347597178268e-05,4.1315221804700285e-05,0.00640268096274339,-3.9112279011487963
60,0.10239389640791713,0.3769193192615696,0.1733632777713158,0.3769641741913795,0.4876798919367719,0.48551134831374576,0.2939114593596126,0.2421456126366138,0.24024656311490541,39.565656120190724,0.6010615182087637,0.4492239122094173,1.0211705571151697e-05,3.0362173101460142e-05,4.05738785442054e-05,0.006417893975954739,-3.905828367948532
65,0.10756810271678496,0.3722898313847979,0.17327029058091056,0.3803610908276442,0.49071877358353794,0.48961539336439763,0.29284417195421675,0.2416263372261323,0.2393813136554536,43.23123848669344,0.6139865114853874,0.45324482157565893,1.0346693446979316e-05,3.040458562708608e-05,4.075127910517722e-05,0.006432715655682645,-3.9045821822166444
70,0.09979595025123164,0.37643260667632017,0.1752137885199213,0.375578055208355,0.486121145490269,0.4838337881781023,0.29389839469510515,0.2425235150158508,0.24096913201007908,46.89423245376438,0.5984047266303477,0.44823195946493527,9.168824588050484e-06,3.0429457716229535e-05,3.9598282116998005e-05,0.0064125445671675335,-3.9039330636501313
75,0.11099525843641063,0.37610493778978593,0.1845314115067387,0.37383923191617785,0.4881597919170157,0.48543297535654395,0.29366631201853893,0.24106459826670992,0.23973273771956688,49.99364472105352,0.6253155138742564,0.46225236883421794,8.895041778413315e-06,3.0268247135492743e-05,3.9163288966534536e-05,0.006414771714245659,-3.901521155357361
