epoch,au_var,eu_var,tu_var,rmse_energy
0,0.00010004727500590889,3.165614612845502e-05,0.00013170342126195465,0.00887764119166364
10,1.679618241010985e-05,4.992879848674647e-06,2.1789062300058505e-05,0.0020994052233249505
20,7.150017559342814e-06,2.6370059362228915e-06,9.787023493197467e-06,0.0016019255965043495
30,4.853681714098457e-06,1.9766663216962854e-06,6.8303479963901735e-06,0.0014643443527893683
40,4.009193540025535e-06,1.8159055272434443e-06,5.825099106937159e-06,0.0013899949486879976
50,3.574419826486519e-06,1.6337910694542045e-06,5.208210910132038e-06,0.001359469889338004
60,3.0764186744249853e-06,1.4055840680855524e-06,4.482002692139986e-06,0.0013093504746070305
70,2.911695631348721e-06,1.4291669662966911e-06,4.340862630746756e-06,0.0012759626596832896
80,2.8575895616612e-06,1.3517288334004007e-06,4.20931835926126e-06,0.0012645776279612466
90,2.6688628810987326e-06,1.2060821909033238e-06,3.874945101335925e-06,0.0012712788291187565
