uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,330,0.0042882493826440025,0.0032851929450618913,1.8389082767746666e-05,1.0792492686284424e-05,0.7038772508149415,1.918959120909373e-06,1.2852656715489054e-05
aleatoric,1,330,0.0058608414519939955,0.004772185503860853,3.4349462525411084e-05,2.2773754483259662e-05,0.5082915972709021,1.2852656715489054e-05,3.744522833453558e-05
aleatoric,2,330,0.006195873043668413,0.006119250635048018,3.838884277325688e-05,3.7445228334535576e-05,0.02519985805109949,3.744522833453558e-05,3.744522833453558e-05
aleatoric,3,330,0.009550502288948897,0.006617099222568759,9.121209397121813e-05,4.378600212132007e-05,1.0831336397986784,3.744522833453558e-05,4.7411024570465085e-05
aleatoric,4,330,0.012282698572403229,0.00791567479612032,0.00015086468422051633,6.265790747793447e-05,1.407751715514034,4.7411024570465085e-05,7.100381134521393e-05
aleatoric,5,330,0.0172463291680644,0.008497949368331382,0.00029743586977322895,7.221514346672373e-05,3.118746505160451,7.100381134521393e-05,7.40236659743348e-05
aleatoric,6,330,0.02504786721026371,0.00925991564635515,0.000627395651783004,8.574603777761291e-05,6.3169054576048085,7.40236659743348e-05,0.00010626018843334964
aleatoric,7,330,0.026288192219241814,0.01030825826380721,0.0006910690501558058,0.00010626018843334963,5.5035556622344055,0.00010626018843334964,0.00010626018843334964
aleatoric,8,330,0.023962377716830532,0.01030825826380721,0.0005741955458440564,0.00010626018843334963,4.403675208088054,0.00010626018843334964,0.00010626018843334964
aleatoric,9,330,0.02760751440101388,0.01030825826380721,0.0007621748514021888,0.00010626018843334963,6.172722565613117,0.00010626018843334964,0.00010626018843334964
aleatoric,10,330,0.04023108551683373,0.01094292616703476,0.0016185402418627884,0.00011974763309717407,12.516260822870365,0.00010626018843334964,0.00016216042318514416
aleatoric,11,330,0.05129057929691291,0.01282617361939536,0.002630723524612911,0.00016451072971487344,14.991197225691153,0.00016216042318514416,0.0001659082052739043
aleatoric,12,330,0.09077141370790306,0.012880535907869063,0.008239449546531294,0.00016590820527390433,48.66270072615435,0.0001659082052739043,0.0001659082052739043
aleatoric,13,330,0.10019937937451477,0.022124926420144006,0.010039915627037937,0.0004895123690967862,19.5100345994584,0.0001659082052739043,0.00229674787260592
aleatoric,14,330,0.2257221066850571,0.059719785567379176,0.050950469446340296,0.0035664527882137502,13.286035024694305,0.00229674787260592,0.0046906545758247375
epistemic,0,330,0.0062990887054602636,0.0032632696729524707,3.9678518519257054e-05,1.0648928958411324e-05,2.7260572095296003,2.734479494392872e-06,1.6426745181282357e-05
epistemic,1,330,0.0053077456207870945,0.004456982126566551,2.817216357498458e-05,1.986468967653369e-05,0.41820305445116385,1.6426745181282357e-05,2.9566297701127094e-05
epistemic,2,330,0.008657264867820194,0.005483197054081135,7.49482349915938e-05,3.0065449933884032e-05,1.492835968076648,2.9566297701127094e-05,3.954606094899086e-05
epistemic,3,330,0.014400740386711875,0.006288565889691454,0.00020738132368547447,3.954606094899086e-05,4.244045012547993,3.954606094899086e-05,3.954606094899086e-05
epistemic,4,330,0.018159700275699783,0.008346225667983827,0.0003297747141032508,6.965948290091208e-05,3.734096498711346,3.954606094899086e-05,8.731053381318777e-05
epistemic,5,330,0.02109373239287424,0.00959536401831289,0.000444945546262192,9.207101064393367e-05,3.832634540994998,8.731053381318777e-05,0.00012493645237095054
epistemic,6,330,0.01708028740827936,0.0111774975898432,0.00029173621794942653,0.00012493645237095054,1.3350768523763465,0.00012493645237095054,0.00012493645237095054
