config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-525.6405029296875,-525.63623046875,0.0042724609375,1.825392246246338e-05,2.516463973734062e-05,1.526530832052231e-05,4.0429949876852334e-05,2.516463973734062e-05,1.526530832052231e-05,4.0429949876852334e-05
1,20.0,-525.643310546875,-525.6510009765625,-0.0076904296875,5.914270877838135e-05,1.3664619473274797e-05,7.600709977850784e-06,2.126532854163088e-05,1.3664619473274797e-05,7.600709977850784e-06,2.126532854163088e-05
2,20.0,-525.4736938476562,-525.6695556640625,-0.19586181640625,0.03836185112595558,0.00019154921756125987,0.00019329860515426844,0.0003848478081636131,0.00019154921756125987,0.00019329860515426844,0.0003848478081636131
3,20.0,-525.4158935546875,-525.6057739257812,-0.18988037109375,0.03605455532670021,0.0011828519636765122,0.00037301814882084727,0.0015558700542896986,0.0011828519636765122,0.00037301814882084727,0.0015558700542896986
4,22.0,-613.131591796875,-613.1268920898438,0.00469970703125,2.208724617958069e-05,4.4095464545534924e-05,8.882787369657308e-05,0.0001329233346041292,4.4095464545534924e-05,8.882787369657308e-05,0.0001329233346041292
5,22.0,-613.3052978515625,-613.31298828125,-0.0076904296875,5.914270877838135e-05,1.840087861637585e-05,1.3185851457819808e-05,3.1586729164700955e-05,1.840087861637585e-05,1.3185851457819808e-05,3.1586729164700955e-05
6,23.0,-675.4181518554688,-675.4169311523438,0.001220703125,1.4901161193847656e-06,9.471811790717766e-05,4.294253812986426e-05,0.0001376606523990631,9.471811790717766e-05,4.294253812986426e-05,0.0001376606523990631
7,21.0,-597.9862670898438,-597.992919921875,-0.00665283203125,4.4260174036026e-05,0.00011390844883862883,9.811520430957898e-05,0.0002120236458722502,0.00011390844883862883,9.811520430957898e-05,0.0002120236458722502
8,22.0,-663.8031616210938,-663.8148803710938,-0.01171875,0.0001373291015625,5.490672992891632e-05,7.539186481153592e-05,0.00013029859110247344,5.490672992891632e-05,7.539186481153592e-05,0.00013029859110247344
9,23.0,-723.9738159179688,-723.9840698242188,-0.01025390625,0.00010514259338378906,2.066442721115891e-05,1.3408995982899796e-05,3.4073422284564e-05,2.066442721115891e-05,1.3408995982899796e-05,3.4073422284564e-05
10,22.0,-546.4043579101562,-546.4005737304688,0.0037841796875,1.4320015907287598e-05,2.7193987989448942e-05,1.4786794963583816e-05,4.198078386252746e-05,2.7193987989448942e-05,1.4786794963583816e-05,4.198078386252746e-05
11,23.0,-611.3776245117188,-611.4085083007812,-0.0308837890625,0.0009538084268569946,0.00010072365694213659,8.853431791067123e-05,0.00018925797485280782,0.00010072365694213659,8.853431791067123e-05,0.00018925797485280782
12,24.0,-671.0951538085938,-671.09130859375,0.00384521484375,1.4785677194595337e-05,4.139853626838885e-05,7.050279236864299e-05,0.00011190133227501065,4.139853626838885e-05,7.050279236864299e-05,0.00011190133227501065
13,25.0,-622.754150390625,-622.7574462890625,-0.0032958984375,1.0862946510314941e-05,2.316716745554004e-05,1.8617323803482577e-05,4.178449307801202e-05,2.316716745554004e-05,1.8617323803482577e-05,4.178449307801202e-05
14,26.0,-677.5909423828125,-677.5884399414062,0.00250244140625,6.2622129917144775e-06,2.3099168174667284e-05,8.922815140977036e-06,3.202198422513902e-05,2.3099168174667284e-05,8.922815140977036e-06,3.202198422513902e-05
15,26.0,-634.6435546875,-634.6464233398438,-0.00286865234375,8.229166269302368e-06,2.230932113889139e-05,1.645963675400708e-05,3.876895789289847e-05,2.230932113889139e-05,1.645963675400708e-05,3.876895789289847e-05
16,23.0,-547.5015258789062,-547.5111083984375,-0.00958251953125,9.182468056678772e-05,1.9540018911357038e-05,2.0908191800117493e-05,4.0448212530463934e-05,1.9540018911357038e-05,2.0908191800117493e-05,4.0448212530463934e-05
17,24.0,-609.419189453125,-609.650146484375,-0.23095703125,0.05334115028381348,0.0014125060988590121,0.0003232881426811218,0.001735794241540134,0.0014125060988590121,0.0003232881426811218,0.001735794241540134
18,25.0,-667.2619018554688,-667.2643432617188,-0.00244140625,5.9604644775390625e-06,3.751995973289013e-05,2.0351446437416598e-05,5.787140617030673e-05,3.751995973289013e-05,2.0351446437416598e-05,5.787140617030673e-05
19,26.0,-720.1127319335938,-720.2086791992188,-0.095947265625,0.009205877780914307,0.00035758252488449216,0.0003787599562201649,0.0007363425102084875,0.00035758252488449216,0.0003787599562201649,0.0007363425102084875
20,25.0,-563.91357421875,-563.92041015625,-0.0068359375,4.673004150390625e-05,4.198689202894457e-05,2.3990683985175565e-05,6.597757601412013e-05,4.198689202894457e-05,2.3990683985175565e-05,6.597757601412013e-05
21,25.0,-563.8195190429688,-563.9113159179688,-0.091796875,0.008426666259765625,4.356921635917388e-05,6.538834713865072e-05,0.0001089575671358034,4.356921635917388e-05,6.538834713865072e-05,0.0001089575671358034
22,26.0,-620.6502685546875,-620.7322387695312,-0.08197021484375,0.006719116121530533,0.0024412728380411863,0.00023348964168690145,0.0026747623924165964,0.0024412728380411863,0.00023348964168690145,0.0026747623924165964
23,27.0,-673.4961547851562,-673.5057983398438,-0.0096435546875,9.299814701080322e-05,0.0006682651583105326,0.0002430439053568989,0.000911309034563601,0.0006682651583105326,0.0002430439053568989,0.000911309034563601
24,26.0,-578.0200805664062,-578.0126342773438,0.0074462890625,5.544722080230713e-05,2.2012614863342606e-05,4.260726200300269e-05,6.461987504735589e-05,2.2012614863342606e-05,4.260726200300269e-05,6.461987504735589e-05
25,26.0,-578.079345703125,-578.0661010742188,0.01324462890625,0.00017542019486427307,2.631568167998921e-05,4.039593113702722e-05,6.671161099802703e-05,2.631568167998921e-05,4.039593113702722e-05,6.671161099802703e-05
26,26.0,-521.3135375976562,-521.3173217773438,-0.0037841796875,1.4320015907287598e-05,0.00017984697478823364,8.30309436423704e-05,0.0002628779038786888,0.00017984697478823364,8.30309436423704e-05,0.0002628779038786888
27,27.0,-618.9912719726562,-619.00390625,-0.01263427734375,0.00015962496399879456,3.774045762838796e-05,8.548553887521848e-05,0.00012322599650360644,3.774045762838796e-05,8.548553887521848e-05,0.00012322599650360644
28,26.0,-464.83648681640625,-464.83154296875,0.00494384765625,2.4441629648208618e-05,4.113010436412878e-05,2.1940237274975516e-05,6.30703434580937e-05,4.113010436412878e-05,2.1940237274975516e-05,6.30703434580937e-05
