uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,330,0.0023462038247630207,0.002968006465866577,5.504672387332627e-06,8.809062381425808e-06,0.37511256601617377,5.728798896598164e-06,1.04743348856573e-05
aleatoric,1,330,0.0029462587699444383,0.003430099596871554,8.680440739474513e-06,1.1765583244458398e-05,0.2622175578449959,1.0476409443072043e-05,1.2841567695431877e-05
aleatoric,2,330,0.0029988853962071888,0.003723169953447304,8.993313619584748e-06,1.38619945022528e-05,0.35122513444056064,1.2841918760386761e-05,1.4849169019726105e-05
aleatoric,3,330,0.003830616788184508,0.003998820883486259,1.4673624977920995e-05,1.599056845820583e-05,0.08235751491430075,1.4866411220282316e-05,1.728109418763779e-05
aleatoric,4,330,0.003960180434368403,0.004287212108938792,1.568302907275431e-05,1.8380187667031407e-05,0.14674271248682608,1.729266659822315e-05,1.9566037735785358e-05
aleatoric,5,330,0.0049792321064383764,0.004596589363972322,2.4792752369786754e-05,2.1128633780983473e-05,0.17341957018068624,1.9574448742787354e-05,2.275969018228352e-05
aleatoric,6,330,0.005253166891426144,0.004927219407982011,2.759576238917582e-05,2.42774910943946e-05,0.13668098082620128,2.2761092623113655e-05,2.5930459742085077e-05
aleatoric,7,330,0.006118262768344771,0.00526027475496276,3.743313930251382e-05,2.7670490497698526e-05,0.352818061018011,2.5931181880878285e-05,2.9251003070385195e-05
aleatoric,8,330,0.0064982688161206795,0.005588284833839929,4.222749760656646e-05,3.1228927384125365e-05,0.3521917383570468,2.926394881797023e-05,3.3405314752599224e-05
aleatoric,9,330,0.006461726237347601,0.0059869575007066725,4.175390596642639e-05,3.584366011526788e-05,0.16488957411581387,3.344520155224018e-05,3.880224539898336e-05
aleatoric,10,330,0.008143947292916148,0.006435542956213364,6.632387750979625e-05,4.1416213141267444e-05,0.6013988841415976,3.883770477841608e-05,4.426264786161482e-05
aleatoric,11,330,0.008842704339526036,0.006931439563011636,7.819342003627257e-05,4.8044854415682936e-05,0.6275087308985259,4.430986518855207e-05,5.2320738177513704e-05
aleatoric,12,330,0.008759857553038547,0.007684054199476288,7.673510434952649e-05,5.9044688940489184e-05,0.299610612342583,5.2356237574713305e-05,6.679473881376907e-05
aleatoric,13,330,0.010105631053562358,0.008956863648527963,0.00010212377899072387,8.022540641832166e-05,0.27296056885292536,6.681277591269463e-05,0.00010120524530066177
aleatoric,14,330,0.014909312079791199,0.014721344854697572,0.00022228758669260777,0.00021671799433093067,0.025699722715098,0.00010120584920514375,0.0010297306580469012
epistemic,0,330,0.002567524349533641,0.0014412854378659996,6.5921812854481464e-06,2.0773037134045864e-06,2.1734316185493765,3.4021212513835053e-07,2.991035671584541e-06
epistemic,1,330,0.002794641356473535,0.0019242468032233623,7.810020311312241e-06,3.7027257597153287e-06,1.109262423991316,2.999044909302029e-06,4.4284388422966e-06
epistemic,2,330,0.002983606160333674,0.0022726186747400222,8.901905719981048e-06,5.164795640777095e-06,0.723573658887628,4.43384033133043e-06,5.936063644185197e-06
epistemic,3,330,0.003560686635297652,0.002589000335986134,1.2678489314787315e-05,6.702922739736316e-06,0.8914867151349667,5.938997674093116e-06,7.4759127528523095e-06
epistemic,4,330,0.003852937401378541,0.0028979136405532214,1.4845126618941626e-05,8.397903468104425e-06,0.767718178152918,7.478473889932502e-06,9.26237589737866e-06
epistemic,5,330,0.00466090809196621,0.003203689880418302,2.1724064241756094e-05,1.0263628849894634e-05,1.116606568638646,9.26484335650457e-06,1.1339783668518066e-05
