config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-525.6629638671875,-525.6680908203125,-0.005126953125,2.6285648345947266e-05,3.573454629916411e-05,1.0169809684157372e-05,1.469574448081755e-05,2.9196451578172855e-05,4.3585896492004395e-06,3.35550430463627e-05
1,20.0,-525.645263671875,-525.6500854492188,-0.00482177734375,2.3249536752700806e-05,0.00011809771250692202,5.5841480692227684e-05,6.916876317876758e-05,7.094533793861046e-05,3.1465104257222265e-05,0.00010241044219583273
2,20.0,-525.4158935546875,-525.59375,-0.1778564453125,0.0316329151391983,0.00021026498923981527,0.00010429070917544541,0.00018772652602211124,0.0009006265900097787,7.159765664255247e-05,0.0009722242248244584
3,20.0,-525.6416015625,-525.6425170898438,-0.00091552734375,8.381903171539307e-07,0.00011809771250692202,0.00010429070917544541,0.00015869893444081146,0.0001038286936818622,9.466521441936493e-05,0.00019849391537718475
4,22.0,-613.1350708007812,-613.13037109375,0.00469970703125,2.208724617958069e-05,0.00011809771250692202,6.164768428513499e-05,9.417562701162838e-05,7.807048677932471e-05,3.6271103454055265e-05,0.00011434158659540117
5,22.0,-613.261962890625,-613.2568359375,0.005126953125,2.6285648345947266e-05,3.652099632855618e-05,9.706631453350336e-05,5.592348974353678e-05,3.06909678329248e-05,4.0111692214850336e-05,7.080266368575394e-05
6,24.0,-686.0390625,-686.0482177734375,-0.0091552734375,8.381903171539307e-05,4.9973209388554094e-05,9.706631453350336e-05,6.916876317876758e-05,3.199416823918e-05,5.4948592151049525e-05,8.694276039022952e-05
7,21.0,-597.978759765625,-598.0409545898438,-0.06219482421875,0.0038681961596012115,0.0008336069683233897,9.706631453350336e-05,0.000788947097693479,0.0035710770171135664,5.417410284280777e-05,0.003625251119956374
8,22.0,-663.8031616210938,-663.8204956054688,-0.017333984375,0.00030046701431274414,6.184345111250877e-05,3.714797734890295e-05,5.0695448675576376e-05,3.8264450267888606e-05,2.3165344828157686e-05,6.14297969150357e-05
9,23.0,-723.851318359375,-723.85400390625,-0.002685546875,7.212162017822266e-06,6.617816165089607e-05,0.0001002648337320848,9.38495828045739e-05,4.767554855789058e-05,5.9263409639243037e-05,0.00010693895455915481
10,22.0,-546.4043579101562,-546.4036254882812,0.000732421875,5.364418029785156e-07,1.5011275915995888e-05,3.714797734890295e-05,2.4564154446125032e-05,2.1265324903652072e-05,2.147182749467902e-05,4.273715239833109e-05
11,24.0,-671.0951538085938,-671.0948486328125,0.00030517578125,9.313225746154785e-08,5.6715343486179e-05,3.714797734890295e-05,4.184287455346849e-05,3.647033008746803e-05,2.1651387214660645e-05,5.812171730212867e-05
12,24.0,-624.7975463867188,-624.7913208007812,0.0062255859375,3.8757920265197754e-05,2.668240355162681e-05,3.714797734890295e-05,2.4564154446125032e-05,2.6147970856982283e-05,2.2640637325821444e-05,4.8788606363814324e-05
13,25.0,-681.6425170898438,-681.6422729492188,0.000244140625,5.960464477539063e-08,2.668240355162681e-05,3.714797734890295e-05,2.4564154446125032e-05,2.430828317301348e-05,2.1908990675001405e-05,4.621727566700429e-05
