uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,330,0.004186995137472759,0.0036856304291769345,1.7530928281220524e-05,1.3583871660474953e-05,0.29056933983190797,6.748613941454096e-06,1.7471842511440627e-05
aleatoric,1,330,0.0051127417089628915,0.00459131603297468,2.6140127782568788e-05,2.108018291465035e-05,0.24003325248197285,1.7501804904895835e-05,2.5107981855398975e-05
aleatoric,2,330,0.007070044779566635,0.005401163846674081,4.998553318507744e-05,2.9172570898619155e-05,0.7134428555778551,2.5141203877865337e-05,3.284469130448997e-05
aleatoric,3,330,0.010269804907154598,0.006050739713267496,0.00010546889283101667,3.661145107771242e-05,1.8807624315994917,3.291597749921493e-05,3.99784003093373e-05
aleatoric,4,330,0.011354229043990595,0.006617816852839862,0.00012891851718339957,4.37954998977313e-05,1.9436475775922775,3.9993472455535084e-05,4.787498983205296e-05
aleatoric,5,330,0.01639041032790232,0.00723724615520602,0.000268645550717007,5.2377731911044314e-05,4.129003126238093,4.7875673772068694e-05,5.7106921303784475e-05
aleatoric,6,330,0.017916400375371597,0.007882464997989972,0.0003209974024106156,6.213325444453706e-05,4.166273765639498,5.7122055295621976e-05,6.787137681385502e-05
aleatoric,7,330,0.017196615599145215,0.00863168562771575,0.0002957235880647645,7.450599677571463e-05,2.9691246458319465,6.794279761379585e-05,8.089298353297636e-05
aleatoric,8,330,0.022571232543058643,0.009460142517292209,0.0005094605385128296,8.949429644747976e-05,4.6926592949061225,8.094176882877946e-05,9.977896843338385e-05
aleatoric,9,330,0.03350782273523155,0.010528252081410793,0.0011227741844557,0.00011084409188973069,9.129310144672862,9.984782809624448e-05,0.00012330737081356347
aleatoric,10,330,0.033531237291935176,0.011904435241280901,0.0011243438743280642,0.00014171557841385066,6.93380577429994,0.00012337804946582764,0.00016255058289971203
aleatoric,11,330,0.0530658218285747,0.014009853580400092,0.002815981446342035,0.00019627599734424925,13.347049483605852,0.0001627528399694711,0.00023671444796491414
aleatoric,12,330,0.08153554683252537,0.017680958332511595,0.006648045397278937,0.0003126162875560112,20.265831826141856,0.0002367352572036907,0.00043208926217630506
aleatoric,13,330,0.09693207741711415,0.027435962531997753,0.009395827632397413,0.0007527320400571846,11.482300649356734,0.0004328380455262959,0.001295634196139872
aleatoric,14,330,0.13880926590401316,0.07592878213182014,0.01926801230081103,0.005765179956021408,2.3421354489874453,0.0012968573719263077,0.040350914001464844
epistemic,0,330,0.004418406588588944,0.0023561763982151923,1.9522316782086186e-05,5.551567219506317e-06,2.516541547671694,1.2312084436416626e-06,8.835270818963181e-06
epistemic,1,330,0.008558325761527598,0.0034131912023577017,7.324493984042695e-05,1.1649874183852014e-05,5.287187199150388,8.84663313627243e-06,1.4787353393330704e-05
epistemic,2,330,0.0072589051516698455,0.004282933877382767,5.269170400093902e-05,1.8343522598032988e-05,1.872496474945835,1.4793872651353013e-05,2.2134743630886078e-05
