uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,330,0.002052325950915269,0.002337836421592322,4.212041808800264e-06,5.465479134123593e-06,0.22933713487213261,6.952103020005236e-07,7.5600289094906584e-06
aleatoric,1,330,0.0025715611009263823,0.0027965819467661913,6.612926495797707e-06,7.82087058497858e-06,0.154451358842448,7.5600289094906584e-06,9.06136507789294e-06
aleatoric,2,330,0.0034391138241476535,0.003135047477820416,1.1827503895443497e-05,9.828522688188152e-06,0.2033857244545721,9.06136507789294e-06,1.234767317283349e-05
aleatoric,3,330,0.0037896092189355487,0.0035454584575202374,1.43611380322413e-05,1.2570275674001782e-05,0.14246802573657416,1.234767317283349e-05,1.3795977627689188e-05
aleatoric,4,330,0.003912291136090016,0.004000928186548637,1.530602193352851e-05,1.600742635391936e-05,0.04381743853652747,1.3795977627689188e-05,1.8115524716418365e-05
aleatoric,5,330,0.004313528677982988,0.0042562336303847755,1.860652965578166e-05,1.8115524716418365e-05,0.02710409701344677,1.8115524716418365e-05,1.8115524716418365e-05
aleatoric,6,330,0.00482410364548377,0.005000653345713303,2.32719759823698e-05,2.5006533883993652e-05,0.0693641873628124,1.8115524716418365e-05,2.9227661865728873e-05
aleatoric,7,330,0.00546959518531832,0.005534637663887762,2.991647149125735e-05,3.063221407052498e-05,0.023365682206965718,2.9227661865728873e-05,3.494991158897226e-05
aleatoric,8,330,0.006297866133104169,0.00591184502409969,3.966311783050046e-05,3.494991158897226e-05,0.13485602759050622,3.494991158897226e-05,3.494991158897226e-05
aleatoric,9,330,0.006562386352826576,0.006058708536687034,4.3064914643764494e-05,3.670794913252434e-05,0.1731768094232128,3.494991158897226e-05,3.835032212323156e-05
aleatoric,10,330,0.007126933743788618,0.006868174111339351,5.079318458835284e-05,4.717181562367209e-05,0.07676976001032812,3.835032212323156e-05,7.270589470863341e-05
aleatoric,11,330,0.0087847072715265,0.00852677516465829,7.717108184641057e-05,7.270589470863341e-05,0.06141437576239534,7.270589470863341e-05,7.270589470863341e-05
aleatoric,12,330,0.009268745593421073,0.009906928833885376,8.590964487556256e-05,9.814723891966947e-05,0.12468607552091213,7.270589470863341e-05,0.00010341781401826489
aleatoric,13,330,0.011073829323337068,0.010234569159206841,0.00012262969588239988,0.00010474640587458783,0.17072939026875616,0.00010341781401826489,0.00010486240224803195
aleatoric,14,330,0.014280948912750993,0.015039503835485683,0.00020394550184860374,0.0002261866756175886,0.09833105203149879,0.00010486240224803195,0.00337795615196228
epistemic,0,330,0.00219049115830982,0.0019605992402555246,4.798251514633496e-06,3.84394938089054e-06,0.24826084820135444,6.728805601596832e-07,6.212107837200165e-06
epistemic,1,330,0.002651782094638349,0.0025542542375957718,7.03194827744455e-06,6.524214710275958e-06,0.07782293957445745,6.212107837200165e-06,8.006131759396306e-06
