config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,20.0,-525.8365478515625,-525.8378295898438,-0.00128173828125,1.642853021621704e-06,0.00128173828125,2.2219097445486113e-05,1.0221823686151765e-05,3.2440919312648475e-05
1,22.0,-613.436279296875,-613.4369506835938,-0.00067138671875,4.507601261138916e-07,0.00067138671875,8.285021067422349e-06,1.2092292536181048e-06,9.494250662100967e-06
2,22.0,-613.417236328125,-613.4190673828125,-0.0018310546875,3.3527612686157227e-06,0.0018310546875,1.0564445801719557e-05,3.9933247535373084e-06,1.4557770555256866e-05
3,22.0,-664.0022583007812,-664.003662109375,-0.00140380859375,1.9706785678863525e-06,0.00140380859375,1.0351296623412054e-05,5.681626589648658e-06,1.6032923667808063e-05
4,23.0,-724.097900390625,-724.0962524414062,0.00164794921875,2.7157366275787354e-06,0.00164794921875,1.170659379567951e-05,3.147311417706078e-06,1.4853905668132938e-05
5,23.0,-724.021484375,-724.0269165039062,-0.00543212890625,2.950802445411682e-05,0.00543212890625,1.4422835192817729e-05,1.4546513739333022e-05,2.896934893215075e-05
6,22.0,-546.5244750976562,-546.5250854492188,-0.0006103515625,3.725290298461914e-07,0.0006103515625,7.749792530375998e-06,2.0315869733167347e-06,9.781379048945382e-06
7,22.0,-546.4893798828125,-546.4857788085938,0.00360107421875,1.2967735528945923e-05,0.00360107421875,1.105872343032388e-05,3.7373974919319153e-06,1.4796120922255795e-05
8,24.0,-625.0076293945312,-625.0081176757812,-0.00048828125,2.384185791015625e-07,0.00048828125,9.282738574256655e-06,5.1164997785235755e-06,1.439923835278023e-05
9,24.0,-624.9995727539062,-624.9962768554688,0.0032958984375,1.0862946510314941e-05,0.0032958984375,8.458203410555143e-06,1.2304633401072351e-06,9.688666978036053e-06
10,24.0,-563.6680297851562,-563.6629638671875,0.00506591796875,2.5663524866104126e-05,0.00506591796875,9.37809090828523e-06,1.0948255294351839e-05,2.032634620263707e-05
11,24.0,-563.5956420898438,-563.5977783203125,-0.00213623046875,4.563480615615845e-06,0.00213623046875,1.5712081221863627e-05,1.078881359717343e-05,2.6500894819037057e-05
12,25.0,-622.9847412109375,-622.9848022460938,-6.103515625e-05,3.725290298461914e-09,6.103515625e-05,7.402577466564253e-06,2.257339701827732e-06,9.65991694101831e-06
13,25.0,-622.9849243164062,-622.9862670898438,-0.0013427734375,1.8030405044555664e-06,0.0013427734375,7.401512448268477e-06,9.188428293782636e-07,8.320354936586227e-06
14,23.0,-547.572021484375,-547.5711669921875,0.0008544921875,7.301568984985352e-07,0.0008544921875,2.6074823836097494e-05,1.686513496679254e-05,4.293995880289003e-05
15,24.0,-610.0306396484375,-610.0297241210938,0.00091552734375,8.381903171539307e-07,0.00091552734375,1.1517108760017436e-05,2.1554528757405933e-06,1.3672561181010678e-05
16,25.0,-667.4812622070312,-667.478271484375,0.00299072265625,8.944422006607056e-06,0.00299072265625,1.322103344136849e-05,1.0627694791764952e-05,2.3848728233133443e-05
17,26.0,-720.4779663085938,-720.4729614257812,0.0050048828125,2.504885196685791e-05,0.0050048828125,9.041486009664368e-06,4.239566806063522e-06,1.328105281572789e-05
18,26.0,-621.0407104492188,-621.0424194335938,-0.001708984375,2.9206275939941406e-06,0.001708984375,8.047381015785504e-06,3.3248215913772583e-06,1.1372202607162762e-05
19,27.0,-673.7550659179688,-673.7537231445312,0.0013427734375,1.8030405044555664e-06,0.0013427734375,1.495167725806823e-05,1.6220659745158628e-05,3.117233791272156e-05
20,27.0,-673.7548217773438,-673.7471313476562,0.0076904296875,5.914270877838135e-05,0.0076904296875,1.2529936611826997e-05,7.997453394636977e-06,2.0527390006463975e-05
21,27.0,-673.749755859375,-673.7522583007812,-0.00250244140625,6.2622129917144775e-06,0.00250244140625,1.1363760677340906e-05,5.037710252508987e-06,1.6401470929849893e-05
22,26.0,-578.1742553710938,-578.1719970703125,0.00225830078125,5.09992241859436e-06,0.00225830078125,1.4380117136170156e-05,9.818561011343263e-06,2.419867814751342e-05
23,28.0,-630.2835083007812,-630.2838745117188,-0.0003662109375,1.341104507446289e-07,0.0003662109375,1.3243668036011513e-05,5.224160759098595e-06,1.8467828340362757e-05
24,29.0,-640.7605590820312,-640.7586059570312,0.001953125,3.814697265625e-06,0.001953125,1.094163872039644e-05,5.539320227399003e-06,1.6480958947795443e-05
