uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,334.0,334.0,0.0,334.0,334.0,5,334.0000000000001,334.0000000000001,334.0000000000001,5,0.002088318927693127,0.002088318927693127,0.00011634522596928479,0.0019438804085869857,0.0022327574467992687,5,0.002085769460944188,0.0019480128896130371,0.0022332676890406,5,0.002940775604687039,0.002940775604687039,5.297794764420089e-05,0.002875005340034914,0.0030065458693391634,5,0.0029403934346007715,0.0028753063448448395,0.003006953873191513,5,4.371904913046046e-06,4.371904913046046e-06,4.926381297446795e-07,3.76031194631507e-06,4.9834978797770225e-06,5,4.350434244207409e-06,3.7947542180985347e-06,4.987484570912741e-06,5,8.650406487471694e-06,8.650406487471694e-06,3.113798197496365e-07,8.263839357884028e-06,9.03697361705936e-06,5,8.645913550243321e-06,8.267386576704991e-06,9.041771595501441e-06,5,0.49299462868199717,0.49299462868199717,0.07078150841384256,0.40512186750747897,0.5808673898565153,5,0.48873316383374155,0.4061056844525002,0.5881722777482494,5,4.353373333287891e-06,4.353373333287891e-06,3.9595849743555377e-07,3.861804740587895e-06,4.844941925987886e-06,5,4.338600519451632e-06,3.866314466014064e-06,4.868578237194403e-06,5,1.0468770778970792e-05,1.0468770778970792e-05,3.213244005721455e-07,1.0069857800937967e-05,1.0867683757003617e-05,5,1.0464817054227552e-05,1.0072869726477536e-05,1.0872015518138556e-05,5
aleatoric,1,334.0,334.0,0.0,334.0,334.0,5,334.0000000000001,334.0000000000001,334.0000000000001,5,0.0027290795401321835,0.0027290795401321835,0.00011715975222099683,0.0025836298152409295,0.0028745292650234375,5,0.0027270864175057033,0.002586482752645092,0.0028753334314480044,5,0.003420259872951148,0.003420259872951148,4.6099638919017126e-05,0.003363028787435456,0.0034774909584668404,5,0.0034200108110923216,0.0033631695853923497,0.0034778127153596516,5,7.458856262400479e-06,7.458856262400479e-06,6.441920176477867e-07,6.659114457149201e-06,8.258598067651756e-06,5,7.437000328544092e-06,6.689893029730531e-06,8.267542342002556e-06,5,1.1699877739886573e-05,1.1699877739886573e-05,3.1487870044510953e-07,1.1308966872582358e-05,1.2090788607190788e-05,5,1.169647394798836e-05,1.1310909660108148e-05,1.2095181283117272e-05,5,0.36227350349100024,0.36227350349100024,0.05506856233399674,0.2939078139961292,0.4306391929858713,5,0.3588521869289754,0.29602943861002895,0.4350070475029629,5,1.04722113974276e-05,1.04722113974276e-05,3.245732538348658e-07,1.0069265081970304e-05,1.0875157712884895e-05,5,1.046817903122963e-05,1.0072372357620397e-05,1.0879539431141993e-05,5,1.2814984438591637e-05,1.2814984438591637e-05,3.7357367024760345e-07,1.235120582405824e-05,1.3278763053125033e-05,5,1.2810636193799818e-05,1.2355830713090374e-05,1.3282182598700153e-05,5
aleatoric,2,334.0,334.0,0.0,334.0,334.0,5,334.0000000000001,334.0000000000001,334.0000000000001,5,0.00316136599409417,0.00316136599409417,9.435612034012642e-05,0.0030442261787129465,0.0032785058094753935,5,0.0031602326507700297,0.0030447502656985722,0.0032800950933496624,5,0.003721469793940037,0.003721469793940037,5.148584151184396e-05,0.0036575519267396457,0.003785387661140428,5,0.0037211848166465943,0.003657805539082878,0.0037856622752868,5,1.0001357410571535e-05,1.0001357410571535e-05,5.93987882315718e-07,9.263942279233655e-06,1.0738772541909414e-05,5,9.987070406992967e-06,9.270504180471526e-06,1.0759023821416529e-05,5,1.3851458060709043e-05,1.3851458060709043e-05,3.8319343330897305e-07,1.3375736847593192e-05,1.4327179273824894e-05,5,1.3847216439641146e-05,1.3379541361745383e-05,1.433123886252963e-05,5,0.27819825675496157,0.27819825675496157,0.03189300958310442,0.2386042034911197,0.3177923100188034,5,0.27675695521250426,0.24034644881710038,0.31868335328217456,5,1.2822009375668131e-05,1.2822009375668131e-05,3.725380711921691e-07,1.23595164210551e-05,1.3284502330281162e-05,5,1.2817688104433353e-05,1.2364156431966343e-05,1.3287855847388676e-05,5,1.485587672505062e-05,1.485587672505062e-05,3.8435775125991897e-07,1.4378710052018366e-05,1.5333043398082874e-05,5,1.4851905411248946e-05,1.4382943652291614e-05,1.5336157860115174e-05,5
aleatoric,3,333.8,333.8,0.4472135954999579,333.2448,334.3552,5,333.7997600478609,333.24452289967473,334.35592230739786,5,0.003666307978056568,0.003666307978056568,0.00016057304685944258,0.003466962169893697,0.0038656537862194395,5,0.003663446686834679,0.00346709415071386,0.0038709192897218247,5,0.003998253787515731,0.003998253787515731,4.583471414596874e-05,0.003941351596817809,0.004055155978213653,5,0.003998044259818391,0.003941676160469948,0.004055218453451296,5,1.3462441152663422e-05,1.3462441152663422e-05,1.163504431986309e-06,1.2017991191528777e-05,1.4906891113798067e-05,5,1.3420841627279986e-05,1.2020741849914259e-05,1.4984016147540515e-05,5,1.5987714006200557e-05,1.5987714006200557e-05,3.6738882633002356e-07,1.553161365855706e-05,1.6443814353844055e-05,5,1.5984357903466783e-05,1.553681095401711e-05,1.6444796705211918e-05,5,0.15836392867456225,0.15836392867456225,0.06456242199489956,0.07821194525488198,0.23851591209424253,5,0.1475843322239944,0.08674484292726291,0.251094294288667,5,1.4858812028251122e-05,1.4858812028251122e-05,3.818498893995909e-07,1.4384758777795607e-05,1.5332865278706638e-05,5,1.4854894075929215e-05,1.4389023359496602e-05,1.5335848201360966e-05,5,1.7163853408419526e-05,1.7163853408419526e-05,3.543806450599791e-07,1.6723902261770365e-05,1.7603804555068686e-05,5,1.716092610615182e-05,1.6726549317450006e-05,1.7606583356291435e-05,5
aleatoric,4,333.8,333.8,0.4472135954999579,333.2448,334.3552,5,333.7997600478609,333.24452289967473,334.35592230739786,5,0.004027714296739273,0.004027714296739273,0.00021749264819453528,0.003757704799057047,0.004297723794421499,5,0.004023128886389117,0.0037666982923383815,0.004297016851448027,5,0.004291465212312847,0.004291465212312847,4.5717984653009034e-05,0.0042347079371880285,0.004348222487437666,5,0.004291270468117608,0.00423490412348504,0.004348387045745915,5,1.6260324897772877e-05,1.6260324897772877e-05,1.7862361623081045e-06,1.4042775325728275e-05,1.847787446981748e-05,5,1.6185566036498535e-05,1.4188016025504878e-05,1.8464353821628322e-05,5,1.8418345775787945e-05,1.8418345775787945e-05,3.9253004305715734e-07,1.7931033489000915e-05,1.8905658062574975e-05,5,1.841500223053831e-05,1.7934412935110596e-05,1.890846989961089e-05,5,0.12695637646281882,0.12695637646281882,0.08287606357894024,0.0240686490725366,0.22984410385310106,5,0.09796971691633156,0.03209844284956941,0.2990196589176567,5,1.717203231237363e-05,1.717203231237363e-05,3.5689218508492437e-07,1.672896317683531e-05,1.761510144791195e-05,5,1.71690653110976e-05,1.673170434547278e-05,1.7617858741120708e-05,5,1.968863834918011e-05,1.968863834918011e-05,4.087811566091829e-07,1.918115087466428e-05,2.0196125823695942e-05,5,1.9685230709347475e-05,1.918288514901795e-05,2.0200731280512046e-05,5
aleatoric,5,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.004522437980437408,0.004522437980437408,0.00028883521483265577,0.004163859187465303,0.004881016773409514,5,0.004515255455290483,0.004177489709142121,0.0048803308316747954,5,0.004594894510430117,0.004594894510430117,4.5772078733825125e-05,0.004538070079400444,0.00465171894145979,5,0.004594711668622277,0.004538132631424458,0.004651996103328327,5,2.051918591196473e-05,2.051918591196473e-05,2.6705947588911512e-06,1.7203736146894904e-05,2.3834635677034552e-05,5,2.038753182653047e-05,1.7451420269988325e-05,2.3817629026595604e-05,5,2.1114731628534118e-05,2.1114731628534118e-05,4.198697356319622e-07,2.0593478071914803e-05,2.1635985185153433e-05,5,2.1111375317773708e-05,2.059464778039948e-05,2.164106774538194e-05,5,0.09757158538751008,0.09757158538751008,0.07375087934152273,0.00601245430913197,0.1891307164658882,5,0.043223744013182644,0.002990854816002438,0.624668250869593,5,1.969176264537964e-05,1.969176264537964e-05,4.1158066218055153e-07,1.918079968284452e-05,2.020272560791476e-05,5,1.96883092468733e-05,1.9182624556240493e-05,2.020732459544557e-05,5,2.2566664483747445e-05,2.2566664483747445e-05,4.5276857664752516e-07,2.2004568169404226e-05,2.3128760798090664e-05,5,2.2563014950938186e-05,2.2006123549295437e-05,2.3133999158727777e-05,5
aleatoric,6,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.005057961627120004,0.005057961627120004,0.0001542331607278144,0.004866486565320165,0.005249436688919843,5,0.005056063929097022,0.004866997533968575,0.005252474914297147,5,0.004904744530660772,0.004904744530660772,5.3700620169470666e-05,0.004838077093404623,0.004971411967916921,5,0.004904509130603376,0.004838248716293384,0.004971676989478949,5,2.560200611571292e-05,2.560200611571292e-05,1.550853139325041e-06,2.3676676314433783e-05,2.7527335916992057e-05,5,2.5563782455116015e-05,2.3687664995656186e-05,2.7588492725320818e-05,5,2.405882591633203e-05,2.405882591633203e-05,5.264335976383092e-07,2.3405277061042776e-05,2.4712374771621282e-05,5,2.4054209812171882e-05,2.3408650640714578e-05,2.471757208771447e-05,5,0.08002877785160808,0.08002877785160808,0.03318624620622013,0.03882921665961131,0.12122833904360486,5,0.07443219121408581,0.043355076445544455,0.1277855223226019,5,2.257008200103883e-05,2.257008200103883e-05,4.520306356108887e-07,2.20089018146212e-05,2.3131262187456458e-05,5,2.2566445295020245e-05,2.201049310860304e-05,2.3136440003431707e-05,5,2.560051179898437e-05,2.560051179898437e-05,5.510714404999114e-07,2.491637592555791e-05,2.6284647672410828e-05,5,2.5595757515476963e-05,2.4919775625185037e-05,2.629007630907314e-05,5
aleatoric,7,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.005861171762304213,0.005861171762304213,0.00015505172794251168,0.005668680478005387,0.006053663046603039,5,0.005859540993302849,0.0056710508915784,0.006054295986513432,5,0.005221802855392216,0.005221802855392216,5.276743099769221e-05,0.005156293939776252,0.0052873117710081794,5,0.005221589158284876,0.005156398753011017,0.005287603741273325,5,3.437256725790265e-05,3.437256725790265e-05,1.8265943588553448e-06,3.210491439975831e-05,3.664022011604699e-05,5,3.4334220652196533e-05,3.216081821487217e-05,3.6654499892312655e-05,5,2.7269452582001572e-05,2.7269452582001572e-05,5.503096149549823e-07,2.658626248828038e-05,2.7952642675722762e-05,5,2.726499333791821e-05,2.6588448100053614e-05,2.795875332472771e-05,5,0.2600113193283054,0.2600113193283054,0.048556501843040625,0.19973012462733017,0.32029251402928066,5,0.256682022799987,0.20627932138407284,0.3194002209558372,5,2.561378278187476e-05,2.561378278187476e-05,5.540856125590698e-07,2.492590491951039e-05,2.630166064423913e-05,5,2.5608978291345942e-05,2.4929287420648674e-05,2.6307200765932e-05,5,2.9035465922788715e-05,2.9035465922788715e-05,5.317912059564573e-07,2.837526578460429e-05,2.969566606097314e-05,5,2.90315577840707e-05,2.837734954183199e-05,2.9700848069950657e-05,5
aleatoric,8,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.006224455617367824,0.006224455617367824,0.00030186879745543394,0.005849696088512506,0.0065992151462231415,5,0.006218591931495084,0.005854758404587595,0.006605035244520855,5,0.00556839851380532,0.00556839851380532,5.4958754864605886e-05,0.005500169146433969,0.005636627881176671,5,0.005568181189809231,0.005500287824691933,0.005636912603620319,5,3.881674754928361e-05,3.881674754928361e-05,3.7572684874858837e-06,3.415223044774045e-05,4.348126465082678e-05,5,3.867088561045576e-05,3.427819597608909e-05,4.3626490581362675e-05,5,3.100947838033831e-05,3.100947838033831e-05,6.113389100323654e-07,3.0250522556398018e-05,3.1768434204278596e-05,5,3.1004641762545344e-05,3.025316615445432e-05,3.177478370085361e-05,5,0.25187812938316534,0.25187812938316534,0.11850853623827795,0.10475393642133018,0.3990023223450005,5,0.22176007795581654,0.10234679898307879,0.48049897665192703,5,2.9050269222352654e-05,2.9050269222352654e-05,5.389453975273915e-07,2.8381187406150946e-05,2.9719351038554363e-05,5,2.9046257290326915e-05,2.8383349154923814e-05,2.9724647995936405e-05,5,3.3239650656469165e-05,3.3239650656469165e-05,6.129951412689312e-07,3.2478638679514315e-05,3.4000662633424015e-05,5,3.3235110878824984e-05,3.248060574768872e-05,3.4007142714891975e-05,5
aleatoric,9,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.006811841442832034,0.006811841442832034,0.00039009510373806563,0.006327552047843383,0.007296130837820685,5,0.0068030151382098385,0.0063401193004016965,0.007299707273296886,5,0.005960805702690755,0.005960805702690755,5.8297008888112795e-05,0.005888432009984708,0.006033179395396802,5,0.00596057708041442,0.005888510566057702,0.006033525580535325,5,4.6522923194252333e-05,4.6522923194252333e-05,5.367247413630095e-06,3.985967369997861e-05,5.318617268852606e-05,5,4.628101497071223e-05,4.01971127433261e-05,5.328572627582346e-05,5,3.553392345822688e-05,3.553392345822688e-05,6.93721802149536e-07,3.467269216197605e-05,3.6395154754477705e-05,5,3.552847913156169e-05,3.4674556686573195e-05,3.6403430930974136e-05,5,0.308126779686574,0.308126779686574,0.13487313551144944,0.14068651045181685,0.4755670489213311,5,0.2849276631089999,0.16428587400252614,0.49416161734944686,5,3.325002908241004e-05,3.325002908241004e-05,6.204166659817106e-07,3.2479803542714706e-05,3.402025462210537e-05,5,3.324538011370285e-05,3.2481838536988424e-05,3.4026870050658875e-05,5,3.8086348649812865e-05,3.8086348649812865e-05,9.744014264507406e-07,3.687666344030876e-05,3.929603385931697e-05,5,3.8076319809960265e-05,3.688082597315944e-05,3.931056563986636e-05,5
