config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-525.8856201171875,-525.887451171875,-0.0018310546875,3.3527612686157227e-06,1.455468918720726e-05,2.141483037121361e-06,1.669617267907597e-05,1.455468918720726e-05,2.141483037121361e-06,1.669617267907597e-05
1,22.0,-613.4315795898438,-613.4320678710938,-0.00048828125,2.384185791015625e-07,1.2070502634742297e-05,5.24129700352205e-06,1.7311798728769645e-05,1.2070502634742297e-05,5.24129700352205e-06,1.7311798728769645e-05
2,23.0,-675.6914672851562,-675.6893920898438,0.0020751953125,4.306435585021973e-06,9.656469046603888e-06,3.791227982219425e-06,1.3447696801449638e-05,9.656469046603888e-06,3.791227982219425e-06,1.3447696801449638e-05
3,24.0,-732.6846313476562,-732.6869506835938,-0.0023193359375,5.379319190979004e-06,2.207749457738828e-05,1.4889240446791518e-05,3.69667359336745e-05,2.207749457738828e-05,1.4889240446791518e-05,3.69667359336745e-05
4,21.0,-598.2234497070312,-598.2203979492188,0.0030517578125,9.313225746154785e-06,1.4512990674120374e-05,4.305876700527733e-06,1.8818867829395458e-05,1.4512990674120374e-05,4.305876700527733e-06,1.8818867829395458e-05
5,21.0,-598.199462890625,-598.199951171875,-0.00048828125,2.384185791015625e-07,2.0790173948626034e-05,1.0280125025019515e-05,3.107029988314025e-05,2.0790173948626034e-05,1.0280125025019515e-05,3.107029988314025e-05
6,22.0,-664.0010375976562,-664.0018920898438,-0.0008544921875,7.301568984985352e-07,1.1092533895862289e-05,3.1115487217903137e-06,1.4204082617652602e-05,1.1092533895862289e-05,3.1115487217903137e-06,1.4204082617652602e-05
7,23.0,-724.021484375,-724.0252685546875,-0.0037841796875,1.4320015907287598e-05,1.7790947822504677e-05,8.452683687210083e-06,2.624363150971476e-05,1.7790947822504677e-05,8.452683687210083e-06,2.624363150971476e-05
8,24.0,-625.0211181640625,-625.0183715820312,0.00274658203125,7.543712854385376e-06,9.080878044187557e-06,4.254653958923882e-06,1.3335531548364088e-05,9.080878044187557e-06,4.254653958923882e-06,1.3335531548364088e-05
9,24.0,-563.6205444335938,-563.619140625,0.00140380859375,1.9706785678863525e-06,1.3287074580148328e-05,1.6733072698116302e-05,3.002014636876993e-05,1.3287074580148328e-05,1.6733072698116302e-05,3.002014636876993e-05
10,25.0,-622.9849243164062,-622.9841918945312,0.000732421875,5.364418029785156e-07,7.989295227162074e-06,2.993643192894524e-06,1.0982937965309247e-05,7.989295227162074e-06,2.993643192894524e-06,1.0982937965309247e-05
11,27.0,-686.90234375,-686.9050903320312,-0.00274658203125,7.543712854385376e-06,1.1357720723026432e-05,5.9379262893344276e-06,1.7295646102866158e-05,1.1357720723026432e-05,5.9379262893344276e-06,1.7295646102866158e-05
12,23.0,-547.5885009765625,-547.5809936523438,0.00750732421875,5.63599169254303e-05,2.6635800168151036e-05,1.1594221177801955e-05,3.823002043645829e-05,2.6635800168151036e-05,1.1594221177801955e-05,3.823002043645829e-05
13,24.0,-609.9899291992188,-609.9880981445312,0.0018310546875,3.3527612686157227e-06,1.052386414812645e-05,5.9382991821621545e-06,1.6462163330288604e-05,1.052386414812645e-05,5.9382991821621545e-06,1.6462163330288604e-05
14,25.0,-667.4994506835938,-667.4952392578125,0.00421142578125,1.7736107110977173e-05,9.332443369203247e-06,1.659244276197569e-06,1.0991687304340303e-05,9.332443369203247e-06,1.659244276197569e-06,1.0991687304340303e-05
15,26.0,-720.426025390625,-720.4271850585938,-0.00115966796875,1.344829797744751e-06,1.1448246368672699e-05,4.030019226775039e-06,1.5478264685953036e-05,1.1448246368672699e-05,4.030019226775039e-06,1.5478264685953036e-05
16,27.0,-673.7757568359375,-673.7736206054688,0.00213623046875,4.563480615615845e-06,9.958042937796563e-06,6.726756510033738e-06,1.6684800357325003e-05,9.958042937796563e-06,6.726756510033738e-06,1.6684800357325003e-05
17,27.0,-577.90380859375,-577.9044189453125,-0.0006103515625,3.725290298461914e-07,1.6354919353034347e-05,1.2431852155714296e-05,2.8786771508748643e-05,1.6354919353034347e-05,1.2431852155714296e-05,2.8786771508748643e-05
18,28.0,-590.60107421875,-590.6013793945312,-0.00030517578125,9.313225746154785e-08,1.1310395166219678e-05,5.602464170806343e-06,1.691285979177337e-05,1.1310395166219678e-05,5.602464170806343e-06,1.691285979177337e-05
19,29.0,-640.7605590820312,-640.7579956054688,0.0025634765625,6.571412086486816e-06,1.0842914889508393e-05,4.3788922994281165e-06,1.522180718893651e-05,1.0842914889508393e-05,4.3788922994281165e-06,1.522180718893651e-05
20,29.0,-640.7481079101562,-640.7469482421875,0.00115966796875,1.344829797744751e-06,1.2273644642846193e-05,1.2939609405293595e-05,2.5213254048139788e-05,1.2273644642846193e-05,1.2939609405293595e-05,2.5213254048139788e-05
21,33.0,-811.1502685546875,-811.1505126953125,-0.000244140625,5.960464477539063e-08,1.7422926248400472e-05,1.9779429294430884e-06,1.9400869859964587e-05,1.7422926248400472e-05,1.9779429294430884e-06,1.9400869859964587e-05
22,28.0,-670.1755981445312,-670.1737060546875,0.00189208984375,3.5800039768218994e-06,9.061886885319836e-06,6.3324346228910144e-06,1.5394321962958202e-05,9.061886885319836e-06,6.3324346228910144e-06,1.5394321962958202e-05
23,27.0,-523.4225463867188,-523.421630859375,0.00091552734375,8.381903171539307e-07,1.3739457244810183e-05,1.2746080756187439e-05,2.648553709150292e-05,1.3739457244810183e-05,1.2746080756187439e-05,2.648553709150292e-05
24,27.0,-523.4423828125,-523.4417724609375,0.0006103515625,3.725290298461914e-07,9.437134394829627e-06,2.7632340788841248e-06,1.2200368473713752e-05,9.437134394829627e-06,2.7632340788841248e-06,1.2200368473713752e-05
25,28.0,-577.8419799804688,-577.8453369140625,-0.00335693359375,1.126900315284729e-05,1.0100749022967648e-05,5.40073961019516e-06,1.550148954265751e-05,1.0100749022967648e-05,5.40073961019516e-06,1.550148954265751e-05
26,29.0,-628.4127807617188,-628.4148559570312,-0.0020751953125,4.306435585021973e-06,9.378322829434182e-06,5.132891146786278e-06,1.451121352147311e-05,9.378322829434182e-06,5.132891146786278e-06,1.451121352147311e-05
27,28.0,-538.0341186523438,-538.033447265625,0.00067138671875,4.507601261138916e-07,9.699974725663196e-06,2.91094193016761e-06,1.2610917110578157e-05,9.699974725663196e-06,2.91094193016761e-06,1.2610917110578157e-05
28,26.0,-408.28155517578125,-408.2840270996094,-0.002471923828125,6.1104074120521545e-06,2.3116686861612834e-05,1.027081179927336e-05,3.3387499570380896e-05,2.3116686861612834e-05,1.027081179927336e-05,3.3387499570380896e-05
29,28.0,-485.51043701171875,-485.5104675292969,-3.0517578125e-05,9.313225746154785e-10,7.329841082537314e-06,7.647089432794019e-07,8.094550139503554e-06,7.329841082537314e-06,7.647089432794019e-07,8.094550139503554e-06
30,28.0,-485.4035949707031,-485.4078674316406,-0.0042724609375,1.825392246246338e-05,1.6649748431518674e-05,1.4976039892644621e-05,3.162578650517389e-05,1.6649748431518674e-05,1.4976039892644621e-05,3.162578650517389e-05
31,29.0,-539.2234497070312,-539.2234497070312,0.0,0.0,1.190804505313281e-05,2.815947027556831e-06,1.472399162594229e-05,1.190804505313281e-05,2.815947027556831e-06,1.472399162594229e-05
32,30.0,-589.509765625,-589.5074462890625,0.0023193359375,5.379319190979004e-06,1.3838277482136618e-05,2.226792275905609e-06,1.606507066753693e-05,1.3838277482136618e-05,2.226792275905609e-06,1.606507066753693e-05
33,31.0,-636.4427490234375,-636.4409790039062,0.00177001953125,3.1329691410064697e-06,1.3659923752129544e-05,3.96091490983963e-06,1.7620837752474472e-05,1.3659923752129544e-05,3.96091490983963e-06,1.7620837752474472e-05
34,33.0,-721.8841552734375,-721.8884887695312,-0.00433349609375,1.877918839454651e-05,1.7264865164179355e-05,5.915947440371383e-06,2.3180811695056036e-05,1.7264865164179355e-05,5.915947440371383e-06,2.3180811695056036e-05
35,33.0,-721.89013671875,-721.8859252929688,0.00421142578125,1.7736107110977173e-05,2.0083334675291553e-05,1.3866834706277587e-05,3.395017120055854e-05,2.0083334675291553e-05,1.3866834706277587e-05,3.395017120055854e-05
36,35.0,-797.5232543945312,-797.5242309570312,-0.0009765625,9.5367431640625e-07,1.2344738934189081e-05,9.496882739767898e-06,2.1841620764462277e-05,1.2344738934189081e-05,9.496882739767898e-06,2.1841620764462277e-05
37,35.0,-797.5374145507812,-797.5365600585938,0.0008544921875,7.301568984985352e-07,1.366295327898115e-05,7.706880751356948e-06,2.1369833120843396e-05,1.366295327898115e-05,7.706880751356948e-06,2.1369833120843396e-05
38,35.0,-797.5780029296875,-797.5807495117188,-0.00274658203125,7.543712854385376e-06,9.236989171768073e-06,2.011097876675194e-06,1.1248086593695916e-05,9.236989171768073e-06,2.011097876675194e-06,1.1248086593695916e-05
39,35.0,-797.5487060546875,-797.5458374023438,0.00286865234375,8.229166269302368e-06,1.2690812582150102e-05,9.536370271234773e-06,2.2227182853384875e-05,1.2690812582150102e-05,9.536370271234773e-06,2.2227182853384875e-05
