uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.0037637015668143593,0.0037637015668143593,0.00021497954664074367,0.003496811996604609,0.004030591137024109,5,0.0037587045095943163,0.0034980071312523445,0.004038830985855264,5,0.0036116059388515975,0.0036116059388515975,4.7695756435355336e-05,0.0035523933293974833,0.0036708185483057118,5,0.0036113546777237697,0.0035527475671792144,0.0036709285874403554,5,1.4202422448419952e-05,1.4202422448419952e-05,1.6011180735375574e-06,1.2214690493548881e-05,1.619015440329102e-05,5,1.412785959044465e-05,1.2236053890292256e-05,1.63121557323046e-05,5,1.304551736569368e-05,1.304551736569368e-05,3.452414476573232e-07,1.261691221220978e-05,1.347412251917758e-05,5,1.3041882608317352e-05,1.2622015276097826e-05,1.3475716694086843e-05,5,0.11734676092405842,0.11734676092405842,0.06725312422334943,0.033854365020796764,0.20083915682732006,5,0.10160139611708284,0.04696366271790895,0.21980491076569927,5,5.7532415667083114e-06,5.7532415667083114e-06,4.2566999849292857e-07,5.2247871870978956e-06,6.281695946318727e-06,5,5.7406498182696815e-06,5.236561355033438e-06,6.293263479921414e-06,5,1.666827156441286e-05,1.666827156441286e-05,4.923018231026359e-07,1.6057096110587444e-05,1.7279447018238277e-05,5,1.666241925944214e-05,1.6059691651656745e-05,1.7287767511326215e-05,5
aleatoric,1,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.005010031154850491,0.005010031154850491,0.00023178336945450846,0.004722280227740862,0.005297782081960119,5,0.005005720833750067,0.004725240455273094,0.005302849940150039,5,0.0044795501954237775,0.0044795501954237775,6.56026849115053e-05,0.004398106762063597,0.004560993628783958,5,0.004479163554193694,0.00439809478143851,0.004561726643520627,5,2.5143390996857094e-05,2.5143390996857094e-05,2.3152987745327897e-06,2.226902874008459e-05,2.80177532536296e-05,5,2.505724106543947e-05,2.2327897360149477e-05,2.812021748774927e-05,5,2.006981292313528e-05,2.006981292313528e-05,5.851291969761682e-07,1.934339553907076e-05,2.0796230307199803e-05,5,2.006290614521708e-05,1.934323770651666e-05,2.0809349970205966e-05,5,0.2513697572549407,0.2513697572549407,0.08678702842192994,0.14362670412618128,0.35911281038370013,5,0.23818275274403106,0.14901310034221532,0.3807116526965675,5,1.6706193855497985e-05,1.6706193855497985e-05,5.09050812289486e-07,1.6074225118798097e-05,1.7338162592197873e-05,5,1.6699940945239304e-05,1.6076363194387132e-05,1.7347706331482396e-05,5,2.3729309759801254e-05,2.3729309759801254e-05,6.641170776678221e-07,2.2904831691085633e-05,2.4553787828516875e-05,5,2.3721811577513772e-05,2.2906552699487235e-05,2.4566086041033278e-05,5
aleatoric,2,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.0066998961716799085,0.0066998961716799085,0.00033329366610423413,0.006286123770118185,0.007113668573241632,5,0.006693178030740254,0.0062883566446057,0.007124060336115527,5,0.005260311140053391,0.005260311140053391,8.480011342648061e-05,0.005155034772232443,0.005365587507874339,5,0.005259762281556404,0.005155249393728531,0.005366393969637746,5,4.497747644558325e-05,4.497747644558325e-05,4.430139910466924e-06,3.947761306253575e-05,5.047733982863075e-05,5,4.4798632151183986e-05,3.9543429289756653e-05,5.0752235672614465e-05,5,2.7676626137559516e-05,2.7676626137559516e-05,8.897917616332308e-07,2.657198086060524e-05,2.8781271414513793e-05,5,2.7665099258483435e-05,2.657659631153839e-05,2.879818423736436e-05,5,0.623957906507628,0.623957906507628,0.1390879916157968,0.451285041187509,0.7966307718277469,5,0.612139947483471,0.4675127429489965,0.8015082389870737,5,2.3747158411424608e-05,2.3747158411424608e-05,6.67573917718421e-07,2.291838879697915e-05,2.4575928025870066e-05,5,2.3739588165802494e-05,2.292018955579186e-05,2.4588280341664886e-05,5,3.143998110317625e-05,3.143998110317625e-05,9.771862488114898e-07,3.022683863434406e-05,3.2653123572008434e-05,5,3.142776500239543e-05,3.023314428824788e-05,3.266958949518619e-05,5
aleatoric,3,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.012590219859770671,0.012590219859770671,0.0035962247143703917,0.00812563295653412,0.017054806763007222,5,0.01222091393088797,0.008777081411455237,0.017015990886361094,5,0.005942290032630372,0.005942290032630372,9.777756490633332e-05,0.005820902613772258,0.0060636774514884854,5,0.005941641088355532,0.005820746725721735,0.006065046374004077,5,0.00016885990187436254,0.00016885990187436254,0.00010078617083487139,4.373740423435987e-05,0.0002939823995143652,5,0.00014935073730617168,7.703715810331305e-05,0.00028954394584472385,5,3.531845919365747e-05,3.531845919365747e-05,1.1549410769924548e-06,3.388464033752596e-05,3.6752278049788987e-05,5,3.530309882283471e-05,3.38810924450003e-05,3.6784787518820005e-05,5,3.8552665506094095,3.8552665506094095,3.0908346762052568,0.018103661340047594,7.692429439878771,5,3.0794341140416166,1.2526152345136174,7.570492679186862,5,3.145075279462617e-05,3.145075279462617e-05,9.840646698327156e-07,3.0229071007245946e-05,3.267243458200639e-05,5,3.1438367946433656e-05,3.023546825128971e-05,3.268912427354876e-05,5,3.8926972047192975e-05,3.8926972047192975e-05,1.3386173471656181e-06,3.726512554112802e-05,4.058881855325793e-05,5,3.8908106992379983e-05,3.7252523389167233e-05,4.0637268351348844e-05,5
aleatoric,4,332.6,332.6,0.5477225575051662,331.9200216474034,333.27997835259663,5,332.59963906135687,331.9201514590409,333.2805176711175,5,0.014037621877844528,0.014037621877844528,0.00447959961384596,0.008476356007054358,0.019598887748634698,5,0.013572686579967415,0.009632707253955071,0.01912420009674746,5,0.006547605394426777,0.006547605394426777,0.000122380936695666,0.006395673752059164,0.006699537036794389,5,0.0065466837835979124,0.006395705495873239,0.00670122609461587,5,0.0002131082781456344,0.0002131082781456344,0.0001505977547730975,2.61464453852715e-05,0.00040007011090599726,5,0.00018421782099802757,9.278904904039864e-05,0.0003657350293404357,5,4.288311807605983e-05,4.288311807605983e-05,1.5942355755859896e-06,4.090393050110288e-05,4.486230565101678e-05,5,4.2859068562423884e-05,4.090504878994316e-05,4.4906431171160665e-05,5,4.00400236551055,4.00400236551055,3.5830435620858383,-0.4442205992813255,8.452225330302426,5,3.1650595446643126,1.325739616432306,7.5562363808882775,5,3.89513821573928e-05,3.89513821573928e-05,1.3442832966002532e-06,3.7282501573746654e-05,4.062026274103895e-05,5,3.893237436179621e-05,3.727025887252278e-05,4.066861404508534e-05,5,4.6886756172170864e-05,4.6886756172170864e-05,2.0368919810336513e-06,4.4358026188893804e-05,4.941548615544792e-05,5,4.685121770580336e-05,4.438320408941813e-05,4.945646997666679e-05,5
aleatoric,5,332.2,332.2,0.447213595499958,331.6448,332.7552,5,332.199759470705,331.64552324042063,332.7549219242531,5,0.01941040366054089,0.01941040366054089,0.003533593009983612,0.015023571822502357,0.02379723549857942,5,0.019152795907273527,0.015259323165705382,0.024039702618665684,5,0.007175155888210699,0.007175155888210699,0.00016680771808298998,0.00696806995430446,0.007382241822116939,5,0.0071736107784418765,0.006970098869069891,0.007383064798253646,5,0.00038675279391330324,0.00038675279391330324,0.00013837428342919477,0.00021496597228503242,0.000558539615541574,5,0.0003668295910656736,0.0002328469434754329,0.0005779073019938817,5,5.150512187197431e-05,5.150512187197431e-05,2.4015218981474623e-06,4.852371663012138e-05,5.4486527113827237e-05,5,5.1460691600577465e-05,4.858227824460938e-05,5.4509645815212156e-05,5,6.510574699121554,6.510574699121554,2.6401365081141663,3.232937784558828,9.788211613684279,5,6.064096841140647,3.561846286016081,10.324216023331768,5,4.692275033448823e-05,4.692275033448823e-05,2.03766289055495e-06,4.439306329406771e-05,4.945243737490875e-05,5,4.688724407252427e-05,4.4419878310058224e-05,4.9491663200226816e-05,5,5.606037811958231e-05,5.606037811958231e-05,2.5084284633093292e-06,5.294625212510666e-05,5.9174504114057965e-05,5,5.601594558590392e-05,5.301094746242944e-05,5.919128614154273e-05,5
aleatoric,6,332.2,332.2,0.447213595499958,331.6448,332.7552,5,332.199759470705,331.64552324042063,332.7549219242531,5,0.020023071162244437,0.020023071162244437,0.004572251684439443,0.014346780994091405,0.02569936133039747,5,0.019632963113636367,0.014962694076795504,0.025760951780680733,5,0.007809027485070995,0.007809027485070995,0.0001752538348918838,0.007591455993258012,0.008026598976883978,5,0.007807459034822388,0.007593398596353735,0.008027553908430452,5,0.0004176477671409924,0.0004176477671409924,0.0001972577569123909,0.00017275917757267795,0.0006625363567093069,5,0.0003854532406214062,0.00022388221403577127,0.0006636266366465583,5,6.100548138790965e-05,6.100548138790965e-05,2.7441660089854503e-06,5.7598695495174276e-05,6.441226728064502e-05,5,6.0956416580429735e-05,5.765970224310688e-05,6.444162175275703e-05,5,5.89020813800357,5.89020813800357,3.281387621372681,1.8164804478839978,9.963935828123141,5,5.22208416244107,2.641796408635392,10.322583114458897,5,5.606682098004967e-05,5.606682098004967e-05,2.5061190393422023e-06,5.295556205446336e-05,5.917807990563598e-05,5,5.602247700295231e-05,5.3020241748898275e-05,5.9194711793473415e-05,5,6.656625628238544e-05,6.656625628238544e-05,3.282033699608289e-06,6.249172650878714e-05,7.064078605598373e-05,5,6.650197632546925e-05,6.257174921116057e-05,7.067906700624015e-05,5
aleatoric,7,332.0,332.0,0.0,332.0,332.0,5,331.9999999999999,331.9999999999999,331.9999999999999,5,0.02371278336888625,0.02371278336888625,0.004199220690151347,0.018499598102088503,0.028925968635683995,5,0.023403877416700105,0.01863897625416491,0.029386886418374593,5,0.008530057840693672,0.008530057840693672,0.00023221083393565165,0.008241776231417135,0.008818339449970208,5,0.008527535607726025,0.008244640873214618,0.008820137184784605,5,0.0005764028586234044,0.0005764028586234044,0.00019776258653582095,0.0003308875407763688,0.0008219181764704401,5,0.0005477414781359253,0.0003474114358033236,0.0008635890933664483,5,7.280502426269723e-05,7.280502426269723e-05,3.970536268755447e-06,6.787574268764004e-05,7.773430583775443e-05,5,7.271886354103527e-05,6.797410312828111e-05,7.77948199584201e-05,5,7.024271521230378,7.024271521230378,3.126437773098465,3.142908635373231,10.905634407087524,5,6.450831864505032,3.580456687054795,11.622325133709017,5,6.657967169303447e-05,6.657967169303447e-05,3.282273344391711e-06,6.250484440883925e-05,7.06544989772297e-05,5,6.65153872662169e-05,6.258450231597844e-05,7.069316810793336e-05,5,7.952239539008588e-05,7.952239539008588e-05,4.472898742297803e-06,7.396944841639761e-05,8.507534236377415e-05,5,7.942257984774091e-05,7.409427229843212e-05,8.513405954328079e-05,5
aleatoric,8,332.0,332.0,0.0,332.0,332.0,5,331.9999999999999,331.9999999999999,331.9999999999999,5,0.02907658303152013,0.02907658303152013,0.008131788292003707,0.018981252958485975,0.039171913104554285,5,0.02826368752203455,0.02047020306662043,0.039024333551718735,5,0.009384312801174374,0.009384312801174374,0.00027112568532177854,0.009047719768213537,0.00972090583413521,5,0.009381193909482579,0.009051739887858725,0.009722638990693741,5,0.0008983484654496593,0.0008983484654496593,0.0005289201387066873,0.0002417126565993883,0.0015549842742999301,5,0.0007988360323432115,0.0004190292135886765,0.0015228986091558006,5,8.812413406007815e-05,8.812413406007815e-05,5.1090639955696295e-06,8.17814102277019e-05,9.446685789245441e-05,5,8.800679916731304e-05,8.193399499745269e-05,9.45297089433582e-05,5,9.364520214374963,9.364520214374963,6.674263502462009,1.0786560683524709,17.650384360397453,5,7.959233164026238,3.7682083065240874,16.811542092738115,5,7.957196503411978e-05,7.957196503411978e-05,4.486027365992032e-06,7.400271933439014e-05,8.514121073384943e-05,5,7.947166576510347e-05,7.41297124417054e-05,8.519857222496224e-05,5,9.782247361727059e-05,9.782247361727059e-05,5.521339127522497e-06,9.096792466248422e-05,0.00010467702257205696,5,9.769840056570085e-05,9.110521720822462e-05,0.0001047687252781661,5
aleatoric,9,332.0,332.0,0.0,332.0,332.0,5,331.9999999999999,331.9999999999999,331.9999999999999,5,0.03359032607602744,0.03359032607602744,0.008045722098956723,0.023601844164275736,0.04357880798777914,5,0.03280735203771542,0.024213367909375574,0.044451575334542,5,0.010463508112592303,0.010463508112592303,0.00031550655558980963,0.010071817785137849,0.010855198440046758,5,0.010459717611850506,0.010076445581466097,0.01085756794249837,5,0.0011800969211687613,0.0011800969211687613,0.0005473789913628959,0.0005005450938927313,0.0018596487484447914,5,0.00107632234772659,0.0005862871855147783,0.0019759425497224642,5,0.0001095646375315811,0.0001095646375315811,6.626068552177416e-06,0.00010133860572667536,0.00011779066933648684,5,0.00010940569251965565,0.00010153475555624765,0.00011788678162596828,5,9.930648385576374,9.930648385576374,5.290745933397768,3.3623727969539416,16.498923974198807,5,8.698995113497192,4.126412999759299,18.33857056699418,5,9.784528374439106e-05,9.784528374439106e-05,5.529920779210737e-06,9.098008096989694e-05,0.00010471048651888518,5,9.772084015544567e-05,9.111720650538337e-05,0.00010480306592939688,5,0.00012266583798918872,0.00012266583798918872,7.87597970905132e-06,0.00011288808530352444,0.000132443590674853,5,0.00012246600394902587,0.00011315770975352464,0.00013253999357101397,5
