uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,330,0.007738587576795711,0.005999963854881791,5.988573768373692e-05,3.5999566259887964e-05,0.6635127559985021,3.958120942115784e-06,6.880758908288232e-05
aleatoric,1,330,0.010155789519365849,0.00904447747912917,0.00010314006076166124,8.180257287047476e-05,0.2608412809334495,6.880758908288232e-05,0.00012583908392116427
aleatoric,2,330,0.011863492301926903,0.011217802098502374,0.00014074244959787888,0.00012583908392116427,0.11843193078273896,0.00012583908392116427,0.00012583908392116427
aleatoric,3,330,0.013133053927517886,0.014474767599564816,0.00017247710546309297,0.00020951889706141138,0.1767945140884415,0.00012583908392116427,0.00021586850739251345
aleatoric,4,330,0.013666006476008059,0.014692464306320895,0.0001867597330022942,0.00021586850739251353,0.13484493287986135,0.00021586850739251345,0.00021586850739251345
aleatoric,5,330,0.012711208013517272,0.015481220944235156,0.00016157480916290573,0.00023966820192422526,0.3258396071499295,0.00021586850739251345,0.00026944224234847793
aleatoric,6,330,0.014495629511231529,0.016414695926165613,0.00021012327492688643,0.000269442242348478,0.2201546680452299,0.00026944224234847793,0.00026944224234847793
aleatoric,7,330,0.015188493329420431,0.016722924433709686,0.00023069032961784891,0.0002796562016155644,0.17509310258396307,0.00026944224234847793,0.0002807960882782936
aleatoric,8,330,0.01826554612038052,0.016805287198436474,0.00033363017507574775,0.0002824176778219329,0.18133601851264014,0.0002807960882782936,0.0003301513826717501
aleatoric,9,330,0.018511480483628454,0.018170068317751316,0.00034267490969575715,0.00033015138267175007,0.037932680828595765,0.0003301513826717501,0.0003301513826717501
aleatoric,10,330,0.021955248956753805,0.0187741261651384,0.000482032956753039,0.00035246781326453435,0.36759425573779514,0.0003301513826717501,0.00035860069858079606
aleatoric,11,330,0.02561567842713874,0.01921492631668557,0.000656162981282581,0.0003692133933556557,0.777191708347678,0.00035860069858079606,0.0003916889429092407
aleatoric,12,330,0.030277651983335287,0.02529287985782357,0.0009167362096239672,0.0006397297715022973,0.4330053883082025,0.0003916889429092407,0.0006606157112400979
aleatoric,13,330,0.027207135891121358,0.02582940095761836,0.0007402282433979439,0.0006671579538294162,0.10952472221774769,0.0006606157112400979,0.0007651010528206825
aleatoric,14,330,0.0796167017363524,0.061599195072443526,0.006338819195375298,0.003794460833572951,0.6705454275058418,0.0007651010528206825,0.03569013403573523
epistemic,0,330,0.00985006126864598,0.008883737997947961,9.702370699607965e-05,7.892080081618447e-05,0.22938067014878516,5.629020077841622e-05,8.025223456592445e-05
epistemic,1,330,0.009215156993079269,0.011058294483005578,8.491911840709773e-05,0.00012228587687287162,0.3055688802446121,8.025223456592445e-05,0.00015231635652284708
epistemic,2,330,0.013334383604266059,0.012341651288334437,0.00017780578610571948,0.00015231635652284708,0.16734532104599714,0.00015231635652284708,0.00015231635652284708
epistemic,3,330,0.012504922786345116,0.012857960246027166,0.0001563730938924533,0.00016532714168841499,0.054159575400130056,0.00015231635652284708,0.00017948847796235765
epistemic,4,330,0.013134168418138307,0.013397331001447925,0.00017250638003602173,0.00017948847796235765,0.0388999784587856,0.00017948847796235765,0.00017948847796235765
epistemic,5,330,0.013741643626783153,0.014577607865491374,0.00018883276956551003,0.000212506651080036,0.1114030144195803,0.00017948847796235765,0.00025392181517462956
epistemic,6,330,0.015117094364316954,0.01667951423952114,0.00022852654201966345,0.00027820619526638837,0.17857134058123902,0.00025555355685870866,0.0003214890373424745
epistemic,7,330,0.017355052475291143,0.018246352297402922,0.00030119784642010925,0.0003329293721609409,0.09531008193981859,0.0003214890373424745,0.00038719411123167263
epistemic,8,330,0.018682428603293992,0.01967724856863054,0.00034903313851717744,0.0003871941112316727,0.098557730108819,0.00038719411123167263,0.00038719411123167263
epistemic,9,330,0.021602306678199172,0.01967724856863054,0.00046665965381896855,0.0003871941112316727,0.20523437800878297,0.00038719411123167263,0.00038719411123167263
epistemic,10,330,0.02039574670243175,0.02036694240155388,0.00041598648354975565,0.0004148123427882133,0.0028305347754365414,0.00038719411123167263,0.0004406538015852372
epistemic,11,330,0.023749678493507034,0.021748371626810294,0.0005640472285449505,0.000472991668417847,0.19250986054719219,0.0004406538015852372,0.0005024525560765081
