uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,330,0.009100877015655172,0.0075467310518015345,8.282596245408058e-05,5.6953149568225496e-05,0.45428238968349666,1.4901161193847656e-08,8.130992024109282e-05
aleatoric,1,330,0.00968263985332397,0.009851002015403008,9.375351452917764e-05,9.704224070747413e-05,0.033889635630014826,8.130992024109282e-05,0.000131470849737525
aleatoric,2,330,0.011269312491286355,0.01147346883820042,0.0001269974040262627,0.00013164048718115607,0.03527093566969127,0.000131470849737525,0.00013993121932152292
aleatoric,3,330,0.013995833407161424,0.01289919446901074,0.00019588335276101576,0.00016638921794935726,0.17725989204802575,0.00014131733349182857,0.00016782924616604708
aleatoric,4,330,0.012643080637485312,0.01295489275007891,0.000159847488005956,0.0001678292461660471,0.047558803619925136,0.00016782924616604708,0.00016782924616604708
aleatoric,5,330,0.013734158494513713,0.01468794319350047,0.00018862710955242317,0.00021573567525549678,0.1256563879431105,0.00016782924616604708,0.00026510103454447205
aleatoric,6,330,0.016886757675756134,0.016281923551732826,0.00028516258479970876,0.00026510103454447205,0.07567511115039151,0.00026510103454447205,0.00026510103454447205
aleatoric,7,330,0.019553116240719686,0.017861597281884568,0.0003823243547230959,0.00031903665746022615,0.19837123973993412,0.00026510103454447205,0.0003824530673834185
aleatoric,8,330,0.02027292078813806,0.019556407323008448,0.00041099131728212037,0.0003824530673834184,0.07461895937702522,0.0003824530673834185,0.0003824530673834185
aleatoric,9,330,0.019372902817388606,0.020316624761024672,0.0003753093635719834,0.0004127652416802808,0.09074377957752063,0.0003824530673834185,0.00045383388974836895
aleatoric,10,330,0.022925898895485144,0.021532162199943524,0.000525596840166007,0.00046363400900467676,0.13364600084957357,0.00045383388974836895,0.000467537446335579
aleatoric,11,330,0.02493525911955845,0.024124137740738558,0.0006217671473595229,0.0005819740217341264,0.0683761201347504,0.000467537446335579,0.0007316108235967493
aleatoric,12,330,0.027835124460944386,0.02704830537384458,0.0007747941537562645,0.0007316108235967494,0.05902500177241358,0.0007316108235967493,0.0007316108235967493
