config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,20.0,-525.8096313476562,-525.7976684570312,0.011962890625,0.0001431107521057129,0.011962890625,0.00021531600214075297,5.9177913499297574e-05,0.00027449391200207174
1,20.0,-525.4736938476562,-525.5496215820312,-0.075927734375,0.005765020847320557,0.075927734375,0.007763206958770752,0.0007079882780089974,0.008471195586025715
2,20.0,-525.8856201171875,-525.8786010742188,0.00701904296875,4.9266964197158813e-05,0.00701904296875,0.00020176141697447747,0.00014087706222198904,0.0003426384646445513
3,20.0,-525.7141723632812,-525.7294921875,-0.01531982421875,0.00023469701409339905,0.01531982421875,0.0002977859112434089,0.00014974456280469894,0.00044753047404810786
4,20.0,-525.4158935546875,-525.4961547851562,-0.08026123046875,0.006441865116357803,0.08026123046875,0.01881515607237816,0.00033117271959781647,0.019146328791975975
5,20.0,-525.8969116210938,-525.8953247070312,0.0015869140625,2.518296241760254e-06,0.0015869140625,0.00020133906218688935,9.176004823530093e-05,0.0002930991176981479
6,20.0,-525.8074951171875,-525.8092651367188,-0.00177001953125,3.1329691410064697e-06,0.00177001953125,0.0002481404226273298,9.071249223779887e-05,0.0003388529294170439
7,20.0,-525.8253173828125,-525.8176879882812,0.00762939453125,5.820766091346741e-05,0.00762939453125,0.0002821149828378111,9.703077375888824e-05,0.00037914575659669936
8,22.0,-613.1947021484375,-613.1776733398438,0.01702880859375,0.00028998032212257385,0.01702880859375,0.0002702286874409765,0.00014702118642162532,0.0004172498593106866
9,22.0,-613.204345703125,-613.1927490234375,0.0115966796875,0.0001344829797744751,0.0115966796875,0.00025281423586420715,5.198176950216293e-05,0.0003047960053663701
10,22.0,-613.2164916992188,-613.2136840820312,0.0028076171875,7.88271427154541e-06,0.0028076171875,0.0002089481131406501,8.382052328670397e-05,0.0002927686437033117
11,22.0,-613.0477294921875,-613.0569458007812,-0.00921630859375,8.49403440952301e-05,0.00921630859375,0.00026911284658126533,8.581932343076915e-05,0.00035493215546011925
12,22.0,-613.1875610351562,-613.1793823242188,0.0081787109375,6.689131259918213e-05,0.0081787109375,0.00025314392405562103,0.00013849679089616984,0.00039164070039987564
13,22.0,-613.2174072265625,-613.2071533203125,0.01025390625,0.00010514259338378906,0.01025390625,0.00022600450029131025,9.865593165159225e-05,0.00032466044649481773
14,22.0,-613.3853149414062,-613.38525390625,6.103515625e-05,3.725290298461914e-09,6.103515625e-05,0.00020127987954765558,0.00010971017036354169,0.0003109900571871549
15,22.0,-613.3866577148438,-613.4130859375,-0.02642822265625,0.0006984509527683258,0.02642822265625,0.0001942458184203133,8.047148730838671e-05,0.0002747173130046576
16,22.0,-613.4525146484375,-613.4511108398438,0.00140380859375,1.9706785678863525e-06,0.00140380859375,0.00015278614591807127,6.953347474336624e-05,0.0002223196206614375
17,24.0,-686.305908203125,-686.2980346679688,0.00787353515625,6.199255585670471e-05,0.00787353515625,0.00017043869593180716,0.00011636503040790558,0.00028680372633971274
18,24.0,-686.2988891601562,-686.3052978515625,-0.00640869140625,4.10713255405426e-05,0.00640869140625,0.00019239673565607518,0.00010374002158641815,0.00029613677179440856
19,24.0,-563.4733276367188,-563.4676513671875,0.00567626953125,3.2220035791397095e-05,0.00567626953125,0.00011566871398827061,2.4079718059510924e-05,0.00013974843022879213
20,24.0,-563.6680297851562,-563.6693725585938,-0.0013427734375,1.8030405044555664e-06,0.0013427734375,0.00014850834850221872,2.937857061624527e-05,0.000177886919118464
21,24.0,-563.4274291992188,-563.4225463867188,0.0048828125,2.384185791015625e-05,0.0048828125,0.00020604731980711222,0.00010558925714576617,0.00031163656967692077
22,24.0,-563.6205444335938,-563.6171875,0.00335693359375,1.126900315284729e-05,0.00335693359375,0.0001470206625526771,3.0861796403769404e-05,0.0001778824662324041
23,24.0,-563.6094970703125,-563.6095581054688,-6.103515625e-05,3.725290298461914e-09,6.103515625e-05,0.00022419414017349482,0.00015840903506614268,0.0003826031752396375
24,24.0,-563.5973510742188,-563.6052856445312,-0.0079345703125,6.295740604400635e-05,0.0079345703125,0.0002125314058503136,0.00017523206770420074,0.0003877634881064296
25,24.0,-609.7349853515625,-609.7420043945312,-0.00701904296875,4.9266964197158813e-05,0.00701904296875,0.0002408904692856595,8.444786362815648e-05,0.000325338332913816
26,24.0,-610.0234375,-610.0311889648438,-0.00775146484375,6.008520722389221e-05,0.00775146484375,0.00017675384879112244,7.679592818021774e-05,0.0002535497769713402
27,24.0,-502.3020935058594,-502.2943420410156,0.00775146484375,6.008520722389221e-05,0.00775146484375,0.00016085704555734992,5.7519366237102076e-05,0.0002183764154324308
28,26.0,-621.0682983398438,-621.0597534179688,0.008544921875,7.301568984985352e-05,0.008544921875,0.00015179980255197734,6.109438982093707e-05,0.00021289419964887202
29,26.0,-621.0685424804688,-621.0678100585938,0.000732421875,5.364418029785156e-07,0.000732421875,0.00012634955055546016,3.5453027521725744e-05,0.00016180257080122828
30,27.0,-673.6312255859375,-673.6390991210938,-0.00787353515625,6.199255585670471e-05,0.00787353515625,0.00018348742742091417,9.634364687371999e-05,0.00027983105974271894
31,27.0,-673.68017578125,-673.6901245117188,-0.00994873046875,9.89772379398346e-05,0.00994873046875,0.00017185458273161203,8.278452150989324e-05,0.00025463910424150527
32,27.0,-673.7765502929688,-673.7789916992188,-0.00244140625,5.9604644775390625e-06,0.00244140625,0.00016205663268920034,4.026871101814322e-05,0.00020232534734532237
33,27.0,-673.6321411132812,-673.6425170898438,-0.0103759765625,0.00010766088962554932,0.0103759765625,0.00016889894322957844,3.686826676130295e-05,0.00020576720999088138
34,27.0,-673.7821655273438,-673.7891845703125,-0.00701904296875,4.9266964197158813e-05,0.00701904296875,0.00012727594003081322,2.204701377195306e-05,0.00014932295016478747
35,27.0,-673.7367553710938,-673.7467651367188,-0.010009765625,0.00010019540786743164,0.010009765625,0.00014101881242822856,1.9968860215158202e-05,0.00016098767810035497
36,26.0,-521.4071044921875,-521.3941650390625,0.012939453125,0.00016742944717407227,0.012939453125,0.0001939292560564354,2.889409734052606e-05,0.00022282334975898266
37,26.0,-521.5467529296875,-521.5485229492188,-0.00177001953125,3.1329691410064697e-06,0.00177001953125,0.00013828866940457374,3.930963430320844e-05,0.00017759829643182456
38,26.0,-521.368408203125,-521.3615112304688,0.00689697265625,4.756823182106018e-05,0.00689697265625,0.0001800537429517135,0.00011934749636566266,0.00029940123204141855
39,28.0,-630.2908325195312,-630.3133544921875,-0.02252197265625,0.0005072392523288727,0.02252197265625,0.00014115381054580212,1.5254690879373811e-05,0.00015640849596820772
40,28.0,-630.2835083007812,-630.2742309570312,0.00927734375,8.606910705566406e-05,0.00927734375,0.00018073512183036655,3.257673233747482e-05,0.00021331185416784137
41,28.0,-590.3510131835938,-590.3265991210938,0.0244140625,0.0005960464477539062,0.0244140625,0.0004899328923784196,0.00014065970026422292,0.0006305925780907273
42,28.0,-590.5646362304688,-590.5595703125,0.00506591796875,2.5663524866104126e-05,0.00506591796875,0.0001672792568570003,2.881418913602829e-05,0.00019609344599302858
43,25.0,-505.0633544921875,-505.0563049316406,0.007049560546875,4.969630390405655e-05,0.007049560546875,0.00011376811016816646,4.089977664989419e-05,0.00015466788318008184
44,26.0,-564.3536376953125,-564.3421020507812,0.01153564453125,0.00013307109475135803,0.01153564453125,0.00014410311996471137,5.377847628551535e-05,0.00019788159988820553
45,27.0,-619.1893310546875,-619.1845092773438,0.00482177734375,2.3249536752700806e-05,0.00482177734375,0.00014121241110842675,5.070790575700812e-05,0.00019192032050341368
46,28.0,-669.8681640625,-669.8717651367188,-0.00360107421875,1.2967735528945923e-05,0.00360107421875,0.00026846100809052587,0.0001317139685852453,0.0004001749912276864
