config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-525.8096313476562,-525.7976684570312,0.011962890625,0.0001431107521057129,0.0001273227256855794,0.00010151349779990342,0.00010283137089572847,0.00021531603124458343,5.9177913499297574e-05,0.0002744939411059022
1,20.0,-525.4736938476562,-525.5496215820312,-0.075927734375,0.005765020847320557,0.0023671542959553854,0.0014333872670176052,0.005032752640545368,0.007763206493109465,0.0007079882780089974,0.00847119465470314
2,20.0,-525.8856201171875,-525.8786010742188,0.00701904296875,4.9266964197158813e-05,0.0001273227256855794,0.00038308909489321956,0.0001430130367608447,0.00020176144607830793,0.00014087706222198904,0.0003426385228522122
3,20.0,-525.7141723632812,-525.7294921875,-0.01531982421875,0.00023469701409339905,0.00019337578366200128,0.00038308909489321956,0.00030173896992391393,0.00029778588213957846,0.00014974456280469894,0.0004475304449442774
4,20.0,-525.4158935546875,-525.4961547851562,-0.08026123046875,0.006441865116357803,0.013635288923978806,0.0006761324144899845,0.009585410977403322,0.018815157935023308,0.00033117271959781647,0.019146330654621124
5,20.0,-525.8969116210938,-525.8953247070312,0.0015869140625,2.518296241760254e-06,0.0001273227256855794,0.0002320210517543118,0.00010283137089572847,0.0002013390912907198,9.176004823530093e-05,0.00029309914680197835
6,20.0,-525.8074951171875,-525.8092651367188,-0.00177001953125,3.1329691410064697e-06,0.00015386926631132762,0.0002320210517543118,0.0001430130367608447,0.00024814039352349937,9.071249223779887e-05,0.000338852871209383
7,20.0,-525.8253173828125,-525.8176879882812,0.00762939453125,5.820766091346741e-05,0.00019337578366200128,0.00024813072135051095,0.00019471794629180936,0.00028211501194164157,9.703077375888824e-05,0.0003791457857005298
8,22.0,-613.1947021484375,-613.1776733398438,0.01702880859375,0.00028998032212257385,0.00019337578366200128,0.00038308909489321956,0.00019471794629180936,0.0002702287456486374,0.00014702118642162532,0.0004172499175183475
9,22.0,-613.204345703125,-613.1927490234375,0.0115966796875,0.0001344829797744751,0.00015386926631132762,0.00010151349779990342,0.00010283137089572847,0.00025281423586420715,5.198176950216293e-05,0.0003047960053663701
10,22.0,-613.2164916992188,-613.2136840820312,0.0028076171875,7.88271427154541e-06,0.0001273227256855794,0.00016690093537991295,0.00010283137089572847,0.00020894808403681964,8.371584408450872e-05,0.00029266392812132835
11,22.0,-613.0477294921875,-613.0569458007812,-0.00921630859375,8.49403440952301e-05,0.00019337578366200128,0.0002320210517543118,0.00019471794629180936,0.00026911284658126533,8.581932343076915e-05,0.00035493215546011925
12,22.0,-613.1875610351562,-613.1793823242188,0.0081787109375,6.689131259918213e-05,0.00015386926631132762,0.00038308909489321956,0.00019471794629180936,0.00025314392405562103,0.00013849679089616984,0.00039164070039987564
13,22.0,-613.2174072265625,-613.2071533203125,0.01025390625,0.00010514259338378906,0.00015386926631132762,0.00024813072135051095,0.0001430130367608447,0.00022600451484322548,9.865593165159225e-05,0.00032466044649481773
14,22.0,-613.3853149414062,-613.38525390625,6.103515625e-05,3.725290298461914e-09,0.0001273227256855794,0.00024813072135051095,0.00010283137089572847,0.00020127987954765558,0.00010971017036354169,0.0003109900571871549
15,22.0,-613.3866577148438,-613.4130859375,-0.02642822265625,0.0006984509527683258,0.0001273227256855794,0.00014474290773409222,0.00010283137089572847,0.0001942458184203133,8.047148730838671e-05,0.0002747173130046576
16,22.0,-613.4525146484375,-613.4511108398438,0.00140380859375,1.9706785678863525e-06,6.449628960002552e-05,0.00014474290773409222,6.60254736430943e-05,0.00015278614591807127,6.953347474336624e-05,0.0002223196206614375
17,24.0,-686.305908203125,-686.2980346679688,0.00787353515625,6.199255585670471e-05,0.0001273227256855794,0.00024813072135051095,0.00010283137089572847,0.00017043868137989193,0.00011636503040790558,0.0002868036972358823
18,24.0,-686.2988891601562,-686.3052978515625,-0.00640869140625,4.10713255405426e-05,0.0001273227256855794,0.00024813072135051095,0.00010283137089572847,0.00019239673565607518,0.00010374002158641815,0.00029613677179440856
19,24.0,-563.4733276367188,-563.4676513671875,0.00567626953125,3.2220035791397095e-05,2.9463880936703493e-05,6.02159249995436e-05,2.2667950836735643e-05,0.00011566871398827061,2.4079718059510924e-05,0.00013974843022879213
20,24.0,-563.6680297851562,-563.6693725585938,-0.0013427734375,1.8030405044555664e-06,5.260206758975983e-05,6.02159249995436e-05,3.7137091763921684e-05,0.00014850836305413395,2.937857061624527e-05,0.00017788693367037922
21,24.0,-563.4274291992188,-563.4225463867188,0.0048828125,2.384185791015625e-05,0.0001273227256855794,0.00024813072135051095,0.00010283137089572847,0.00020604734891094267,0.00010558925714576617,0.00031163659878075123
22,24.0,-563.6205444335938,-563.6171875,0.00335693359375,1.126900315284729e-05,5.260206758975983e-05,6.02159249995436e-05,3.7137091763921684e-05,0.0001470206625526771,3.0861796403769404e-05,0.0001778824662324041
23,24.0,-563.6094970703125,-563.6095581054688,-6.103515625e-05,3.725290298461914e-09,0.00015386926631132762,0.00038308909489321956,0.00019471794629180936,0.0002241941256215796,0.00015840903506614268,0.00038260314613580704
24,24.0,-563.5973510742188,-563.6052856445312,-0.0079345703125,6.295740604400635e-05,0.0001273227256855794,0.00038308909489321956,0.00019471794629180936,0.0002125314058503136,0.00017523206770420074,0.0003877634881064296
25,24.0,-609.7349853515625,-609.7420043945312,-0.00701904296875,4.9266964197158813e-05,0.00015386926631132762,0.0002320210517543118,0.0001430130367608447,0.00024089049838948995,8.444786362815648e-05,0.00032533836201764643
26,24.0,-610.0234375,-610.0311889648438,-0.00775146484375,6.008520722389221e-05,0.0001273227256855794,0.00014474290773409222,9.026707682226385e-05,0.0001767538342392072,7.679592818021774e-05,0.0002535497769713402
27,24.0,-502.3020935058594,-502.2943420410156,0.00775146484375,6.008520722389221e-05,0.00012668069790710103,0.00010151349779990342,6.60254736430943e-05,0.00016085704555734992,5.7383345847483724e-05,0.00021824039868079126
