uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,334.0,334.0,0.0,334.0,334.0,5,334.0000000000001,334.0000000000001,334.0000000000001,5,0.007595175934586304,0.007595175934586304,0.0004604801389544252,0.007023505985997899,0.00816684588317471,5,0.0075840661537793135,0.00703588509882404,0.008174957182645631,5,0.007271018223509578,0.007271018223509578,0.0005334721605109034,0.006608731239178214,0.007933305207840942,5,0.007255636425992724,0.006631341720627836,0.007938704136213367,5,5.785633104401612e-05,5.785633104401612e-05,7.0352296910834076e-06,4.9122340029894834e-05,6.659032205813741e-05,5,5.751805942490095e-05,4.950367912385416e-05,6.68299249380894e-05,5,5.3095380043440497e-05,5.3095380043440497e-05,7.883822990650318e-06,4.3307890198647825e-05,6.288286988823317e-05,5,5.2644259946192466e-05,4.397469301573934e-05,6.302302336233122e-05,5,0.2074987875184689,0.2074987875184689,0.17890121863365363,-0.014600803336688423,0.42959837837362624,5,0.1677797399957421,0.0737003692451342,0.38195251179012685,5,1.0555630239347618e-05,1.0555630239347618e-05,1.1605806813453632e-05,-3.852572032826065e-06,2.49638325115213e-05,5,2.73368892258911e-06,6.567370674768354e-08,0.00011379067050680807,5,9.249157493975358e-05,9.249157493975358e-05,2.4313119705844306e-05,6.230768921598867e-05,0.0001226754606635185,5,9.006822561125629e-05,6.56340284052014e-05,0.00012359877127574384,5
aleatoric,1,334.0,334.0,0.0,334.0,334.0,5,334.0000000000001,334.0000000000001,334.0000000000001,5,0.010483836943863352,0.010483836943863352,0.0016428337269382236,0.008444316467799947,0.012523357419926757,5,0.010391187834313566,0.008677103782136585,0.012443873822308812,5,0.010182158172961505,0.010182158172961505,0.000995036063732309,0.008946855784699854,0.011417460561223156,5,0.010142268891794412,0.008960915716171462,0.0114793645573323,5,0.00011206995918900666,0.00011206995918900666,3.75857926753651e-05,6.540851529879144e-05,0.0001587314030792219,5,0.00010797678460798625,7.529213004596903e-05,0.00015484999570554255,5,0.00010446842247370904,0.00010446842247370904,1.9971953173589793e-05,7.967394280324899e-05,0.0001292629021441691,5,0.00010286561827346067,8.02980104723287e-05,0.000131775810640137,5,0.25155369795642285,0.25155369795642285,0.13990379166446268,0.07786804547693113,0.42523935043591454,5,0.22720507244931484,0.12493211497109606,0.41320156117297435,5,9.264861926235217e-05,9.264861926235217e-05,2.4446128751362164e-05,6.22996074717266e-05,0.00012299763105297774,5,9.019798183687523e-05,6.561901934491874e-05,0.0001239835036954917,5,0.00011648829255540018,0.00011648829255540018,2.245353925803372e-05,8.86130107627618e-05,0.00014436357434803856,5,0.00011438928442364946,8.661658720665508e-05,0.00015106700474974623,5
aleatoric,2,334.0,334.0,0.0,334.0,334.0,5,334.0000000000001,334.0000000000001,334.0000000000001,5,0.010980536172430583,0.010980536172430583,0.0006193171722987854,0.010211675615595571,0.011749396729265595,5,0.01096640856984033,0.010218469659435145,0.011769092724136471,5,0.011292371771566669,0.011292371771566669,0.0015250682862249783,0.009399052961422877,0.013185690581710461,5,0.011209770885025802,0.009470078473050416,0.013269051956894293,5,0.00012087901764197977,0.00012087901764197977,1.3506263325683923e-05,0.00010411146523777202,0.00013764657004618753,5,0.00012026211692066744,0.00010441712218079661,0.00013851154354932202,5,0.0001293783268493951,0.0001293783268493951,3.483056623699682e-05,8.613739998722763e-05,0.00017261925371156258,5,0.00012565896329477214,8.96823862857329e-05,0.00017606773983476026,5,0.23927247276098607,0.23927247276098607,0.2383245643074138,-0.0565991184314793,0.5351440639534515,5,0.09949936165155661,0.008376616138448215,1.1818761663944728,5,0.00011648829255540018,0.00011648829255540018,2.245353925803372e-05,8.86130107627618e-05,0.00014436357434803856,5,0.00011438928442364946,8.661658720665508e-05,0.00015106700474974623,5,0.00013612146553908065,0.00013612146553908065,4.820818270010911e-05,7.627269684237164e-05,0.00019597023423578968,5,0.00013002092104180338,8.602897316753589e-05,0.00019650867941474337,5
aleatoric,3,334.0,334.0,0.0,334.0,334.0,5,334.0000000000001,334.0000000000001,334.0000000000001,5,0.012849159563199944,0.012849159563199944,0.0015410752782427013,0.010935968633653554,0.014762350492746334,5,0.012769739363901356,0.010908554767247296,0.014948473643050748,5,0.012597606762351318,0.012597606762351318,0.0013580268960210703,0.010911663981859599,0.014283549542843037,5,0.012540621980510678,0.010996349647845993,0.014301764193981744,5,0.00016700083189114125,0.00016700083189114125,3.7861255756486047e-05,0.0001199974102431448,0.00021400425353913772,5,0.00016306624342197178,0.0001189965671100337,0.0002234568642569829,5,0.00016017508577909295,0.00016017508577909295,3.51593346813296e-05,0.00011652600441954375,0.00020382416713864214,5,0.00015726719965806758,0.00012091970557768268,0.0002045404590602583,5,0.0987230103043365,0.0987230103043365,0.05495408526209098,0.030499440080797136,0.16694658052787587,5,0.0829101415583139,0.0336272027729064,0.2044205585472646,5,0.00013612146553908065,0.00013612146553908065,4.820818270010911e-05,7.627269684237164e-05,0.00019597023423578968,5,0.00013002092104180338,8.602897316753589e-05,0.00019650867941474337,5,0.00016600500523015035,0.00016600500523015035,3.430254857733043e-05,0.0001234195937807445,0.00020859041667955618,5,0.0001631548539160985,0.00012582167886524096,0.0002115653406985118,5
aleatoric,4,333.8,333.8,0.4472135954999579,333.2448,334.3552,5,333.7997600478609,333.24452289967473,334.35592230739786,5,0.013527194368800793,0.013527194368800793,0.000933027934786392,0.012368872898689195,0.01468551583891239,5,0.01350113553025012,0.012382349814024234,0.014721007187160176,5,0.013365712565823015,0.013365712565823015,0.0013513595067049839,0.011688047115415934,0.015043378016230097,5,0.013312361711509731,0.011766039888264206,0.015061904941766662,5,0.00018368142039298924,0.00018368142039298924,2.509131658632781e-05,0.00015253143052482452,0.00021483141026115395,5,0.0001822806606061819,0.00015332258691686573,0.00021670805260442114,5,0.00018010321040528877,0.00018010321040528877,3.6948070378340396e-05,0.00013423347638899248,0.00022597294442158506,5,0.0001772189743380703,0.00013843969465222438,0.00022686098047481498,5,0.2540590886976552,0.2540590886976552,0.20252719466177455,0.002628676904130489,0.5054895004911799,5,0.186460769706248,0.05929562803947124,0.5863437118214302,5,0.00016600500523015035,0.00016600500523015035,3.430254857733043e-05,0.0001234195937807445,0.00020859041667955618,5,0.0001631548539160985,0.00012582167886524096,0.0002115653406985118,5,0.00019207257502673413,0.00019207257502673413,4.827880417580043e-05,0.00013213613224386504,0.0002520090178096032,5,0.00018764415627070985,0.00013983516697970526,0.00025179881529842043,5
aleatoric,5,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.014969320056301232,0.014969320056301232,0.0008119445894026515,0.013961319314435606,0.01597732079816686,5,0.014951268183807981,0.013959766645646958,0.01601319176591357,5,0.014252974255218437,0.014252974255218437,0.0015750726644739594,0.012297576762576637,0.016208371747860238,5,0.014182465864178038,0.012343845589575854,0.01629494929509133,5,0.00022460794616099055,0.00022460794616099055,2.3900478254044557e-05,0.00019493634033288288,0.0002542795519890982,5,0.0002235404203041488,0.00019487508480091733,0.0002564223105319222,5,0.00020513195823861796,0.00020513195823861796,4.485018065020738e-05,0.00014945203135903034,0.00026081188511820557,5,0.0002011423379885753,0.00015237052393929126,0.00026552537252959746,5,0.2517644540269573,0.2517644540269573,0.2384064020899563,-0.04420873590339258,0.5477376439573072,5,0.17328652311333329,0.050316588187180294,0.5967856759484818,5,0.00019207257502673413,0.00019207257502673413,4.827880417580043e-05,0.00013213613224386504,0.0002520090178096032,5,0.00018764415627070985,0.00013983516697970526,0.00025179881529842043,5,0.00022112674561965191,0.00022112674561965191,5.236054052540226e-05,0.00015612297025990646,0.00028613052097939737,5,0.00021562226164004546,0.00015641156533729276,0.00029724758277630404,5
aleatoric,6,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.016274728468331175,0.016274728468331175,0.001138392340651423,0.014861454288186691,0.01768800264847566,5,0.016242394024193262,0.014875545476724338,0.017734836282134264,5,0.01507750290238323,0.01507750290238323,0.0015652699947641677,0.013134275080515396,0.017020730724251063,5,0.015010726453956172,0.013157816607359134,0.01712456674228744,5,0.0002659035364149121,0.0002659035364149121,3.674514375632022e-05,0.00022028572868547133,0.0003115213441443529,5,0.000263815363637149,0.00022128185323009388,0.00031452441795410595,5,0.00022929114989658195,0.00022929114989658195,4.646831423690301e-05,0.00017160236689908254,0.00028697993289408135,5,0.00022532190867549922,0.00017312813787289554,0.00029325078611105657,5,0.18210858248425105,0.18210858248425105,0.19363742545523116,-0.058285492504809605,0.4225026574733117,5,0.12852989241430574,0.0437142036659662,0.3779076789381078,5,0.00022112674561965191,0.00022112674561965191,5.236054052540226e-05,0.00015612297025990646,0.00028613052097939737,5,0.00021562226164004546,0.00015641156533729276,0.00029724758277630404,5,0.00024676097320528974,0.00024676097320528974,2.504209174668976e-05,0.00021567209424976734,0.00027784985216081217,5,0.00024576640818233826,0.00021707981938878185,0.00027824386237705286,5
aleatoric,7,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.017266424109213547,0.017266424109213547,0.001281202818984399,0.015675855726995827,0.018856992491431267,5,0.017230264549062808,0.015766610268846914,0.01882979355539071,5,0.016296263144363297,0.016296263144363297,0.0010457605080178378,0.014997988136863982,0.017594538151862613,5,0.016270040727493048,0.01504424337780373,0.017595715425931073,5,0.00029944258604992975,0.00029944258604992975,4.6045580598507115e-05,0.00024227861204392584,0.0003566065600559337,5,0.0002968820164306906,0.00024858599936970896,0.0003545611253386335,5,0.0002664430845024374,0.0002664430845024374,3.474449722231913e-05,0.00022330900930450794,0.0003095771597003668,5,0.0002647142252742825,0.0002263292588105914,0.0003096092013503488,5,0.15444730566440898,0.15444730566440898,0.07289317795996861,0.06395298078117011,0.24494163054764784,5,0.14042149118940958,0.07542091957162331,0.2614419885073409,5,0.00024676097320528974,0.00024676097320528974,2.504209174668976e-05,0.00021567209424976734,0.00027784985216081217,5,0.00024576640818233826,0.00021707981938878185,0.00027824386237705286,5,0.0003134273960798358,0.0003134273960798358,5.38341920934494e-05,0.00024659413396295113,0.00038026065819672043,5,0.00030950540523589243,0.0002473375418037271,0.0003872990536400268,5
aleatoric,8,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.018620956734630274,0.018620956734630274,0.001675873692753439,0.016540418299351874,0.020701495169908674,5,0.018558018830828506,0.01653373277299118,0.020830145718091157,5,0.01812535869717135,0.01812535869717135,0.0011231420298930194,0.016731017243174422,0.019519700151168277,5,0.01809739441836107,0.016752171122918567,0.019550641067989923,5,0.0003489868718202228,0.0003489868718202228,6.073009083903007e-05,0.00027359259317326996,0.00042438115046717565,5,0.00034440006292538547,0.00027336431940868256,0.00043389497063691133,5,0.00032953778631657487,0.00032953778631657487,4.0653434507339646e-05,0.00027906797264008726,0.00038000759999306247,5,0.0003275156847337264,0.00028063523733154667,0.0003822275661693741,5,0.08667413615672674,0.08667413615672674,0.0683265324686386,0.0018491415494424623,0.17149913076401102,5,0.049864692469259474,0.007092621308100378,0.3505738495038557,5,0.0003134273960798358,0.0003134273960798358,5.38341920934494e-05,0.00024659413396295113,0.00038026065819672043,5,0.00030950540523589243,0.0002473375418037271,0.0003872990536400268,5,0.00034755587939180475,0.00034755587939180475,2.983075690106335e-05,0.00031052204053242256,0.00038458971825118695,5,0.0003465138085023533,0.00031101450270871567,0.0003860650176665885,5
aleatoric,9,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.019238020906090718,0.019238020906090718,0.0007674204975219446,0.018285295263329653,0.020190746548851782,5,0.019226092592052154,0.0183145966406842,0.020182952625723432,5,0.019549451470742284,0.019549451470742284,0.0017879214141092597,0.01732980971766961,0.02176909322381496,5,0.019485301241086734,0.017419715181532618,0.021795819305840774,5,0.000370572595759197,0.000370572595759197,3.0133693023064158e-05,0.00033316267232495566,0.0004079825191934384,5,0.00036964263635816305,0.00033542445011096154,0.00040735157669219673,5,0.0003847383831933322,0.0003847383831933322,7.12110368574104e-05,0.0002963323775149159,0.0004731443888717485,5,0.0003796769644558963,0.00030344647700571793,0.00047505773921286104,5,0.15327782198399625,0.15327782198399625,0.10066310623113497,0.02830810473502368,0.27824753923296885,5,0.11536616275432712,0.03377631038091561,0.39404397219709314,5,0.00034755587939180475,0.00034755587939180475,2.983075690106335e-05,0.00031052204053242256,0.00038458971825118695,5,0.0003465138085023533,0.00031101450270871567,0.0003860650176665885,5,0.00040161113648559297,0.00040161113648559297,8.610655859926198e-05,0.0002947128627851577,0.0005085094101860282,5,0.00039446287571823517,0.00030366031374813487,0.0005124178342546275,5
