metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.28127179666585767,0.28127179666585767,0.009711733255927332,0.26921502031123234,0.293328573020483,5,0.2811347639808684,0.26914947834100494,0.2936537570340047,5
ause,epistemic,0.32949221053764655,0.32949221053764655,0.016788717851099824,0.30864960591935403,0.35033481515593906,5,0.3291373017431137,0.3084117896200476,0.3512555843996686,5
ause,total,0.2770414756054872,0.2770414756054872,0.012171434340163578,0.26193106658917753,0.29215188462179686,5,0.2768256840662253,0.2620312299641325,0.29245544269369433,5
ence,aleatoric,0.21430181178075253,0.21430181178075253,0.09367123229251977,0.09801226089921665,0.3305913626622884,5,0.200651094543142,0.12345216999912008,0.32612518469013446,5
ence,epistemic,0.37257056426858776,0.37257056426858776,0.18139567952363406,0.147374187671555,0.5977669408656205,5,0.34434929510547474,0.20361128768265022,0.5823667164487032,5
ence,total,0.21150602237725552,0.21150602237725552,0.13873249755526076,0.03927449047006418,0.3837375542844469,5,0.18641872761339867,0.09824583816729596,0.3537243170120029,5
rmse,ensemble,0.038847168019636946,0.038847168019636946,0.019941772997883887,0.014090155979232254,0.06360418006004163,5,0.03589821437849303,0.021563084082941133,0.059763333974277764,5
spearman,aleatoric,0.3636116751946424,0.3636116751946424,0.010737356509530635,0.3502816235278836,0.37694172686140115,5,0.36348673458062347,0.35054456162160397,0.3769067350664097,5
spearman,epistemic,0.33159945910869937,0.33159945910869937,0.006230046811848321,0.32386507441032875,0.33933384380707,5,0.33155258819825556,0.3239021559807999,0.3393837203957303,5
spearman,total,0.3725252561840442,0.3725252561840442,0.007907228831000923,0.3627087088090391,0.3823418035590493,5,0.3724586575148614,0.3628288170846173,0.38234408356109134,5
