uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,330,0.008583315389155646,0.011656076188102492,7.367330306971614e-05,0.00013586411210284992,0.4577427259529358,9.58418459049426e-05,0.0001573715708218515
aleatoric,1,330,0.009031448850005532,0.013099269894819673,8.156706833026626e-05,0.00017159087177732904,0.5246421474207867,0.00015738888760097325,0.00018574245041236281
aleatoric,2,330,0.012054223284305561,0.01410100935316939,0.00014530429898789436,0.00019883846477817066,0.2692344554661514,0.00018580295727588236,0.0002115711831720546
aleatoric,3,330,0.012387195425388207,0.01495742461173012,0.00015344261050675854,0.00022372455101558994,0.314144961694141,0.00021159485913813114,0.00023602457076776773
aleatoric,4,330,0.013523841851030349,0.01576974936472719,0.00018289429841167998,0.00024868499502631356,0.2645543475900997,0.00023604622401762754,0.0002606358611956239
aleatoric,5,330,0.015135512578941534,0.0165204293719363,0.0002290837410272974,0.00027292458663313564,0.16063355136548751,0.000260758533840999,0.00028580930666066706
aleatoric,6,330,0.016845890843246412,0.017317867471673364,0.0002837840383025733,0.0002999085337664424,0.05376471039809179,0.0002858374791685492,0.0003136117593385279
aleatoric,7,330,0.017403742434934286,0.018133981373173572,0.00030289025074153235,0.0003288412804426061,0.07891658147707246,0.0003137370222248137,0.00034389778738841414
aleatoric,8,330,0.017213945988262182,0.019008367366028494,0.0002963199364868077,0.000361318029921897,0.1798916413032014,0.0003441575972829014,0.0003784378059208393
aleatoric,9,330,0.018532112296260637,0.0199033556496141,0.00034343918616121466,0.0003961435661150255,0.13304363483845513,0.00037847901694476604,0.0004155515634920448
aleatoric,10,330,0.021892235904512152,0.020946527882747864,0.000479269992898811,0.00043875703034273377,0.09233575704628748,0.0004156089562457055,0.0004612367192748934
aleatoric,11,330,0.021972785653911715,0.022211768949021646,0.0004828033093927485,0.0004933626798447222,0.021402856120566537,0.0004613015044014901,0.000530160148628056
aleatoric,12,330,0.027907203687049104,0.0241608674321493,0.000778812017630447,0.0005837475150738927,0.33415902855168883,0.0005302034551277757,0.0006508490187115967
aleatoric,13,330,0.028126083057755585,0.02787788473861633,0.0007910765481717658,0.0007771764574995773,0.01788537279797379,0.0006517026922665536,0.0009963276097550988
aleatoric,14,330,0.06507512430277357,0.06718786194182479,0.004234771803021431,0.004514208792313707,0.061901653678064446,0.0009968578815460205,0.03408315032720566
epistemic,0,330,0.010451181444024253,0.005002690770062739,0.00010922719357591687,2.5026914940870924e-05,3.3643890521056696,6.607966497540474e-06,3.462373206275515e-05
epistemic,1,330,0.010980286430081917,0.0064532887201188115,0.0001205666900866411,4.1644935305212684e-05,1.895110514712453,3.474019467830658e-05,4.8047259042505175e-05
epistemic,2,330,0.011910244372073598,0.007347695120996943,0.00014185392100251083,5.3988623591122274e-05,1.6274780049372635,4.808269295608625e-05,5.992837395751849e-05
epistemic,3,330,0.013772433758180363,0.008147301086286095,0.0001896799316234661,6.637851499059858e-05,1.8575500920792083,6.000194844091311e-05,7.248893234645948e-05
epistemic,4,330,0.012546511340527713,0.008877121440586513,0.0001574149468179905,7.880328507092076e-05,0.9975683333038899,7.251966599142179e-05,8.59906867844984e-05
epistemic,5,330,0.015312403404046758,0.009604236554706458,0.00023446969800826274,9.224135979875978e-05,1.5419150207650698,8.60255240695551e-05,9.839404083322734e-05
epistemic,6,330,0.0167033838421325,0.010378421263403515,0.0002790030317776131,0.0001077116279206662,1.5902777366164187,9.853336814558133e-05,0.00011769980483222753
epistemic,7,330,0.023385597085292194,0.01136154486356877,0.0005468861510356267,0.00012908470168688588,3.2366457363954737,0.00011777747567975894,0.00014120564446784556
epistemic,8,330,0.018607093110860843,0.012411002058435492,0.00034622391403624507,0.00015403297209449,1.247725985731532,0.00014129598275758326,0.0001668967306613922
epistemic,9,330,0.02242174246898589,0.013468476159344886,0.0005027345353455254,0.0001813998500548416,1.7714164879052354,0.0001669200137257576,0.00019820182933472097
epistemic,10,330,0.025000197823420924,0.014815395457322413,0.0006250098912101804,0.0002194959425568496,1.8474781079304112,0.00019826740026474,0.00024310406297445297
epistemic,11,330,0.024348119631021067,0.01648070041164052,0.0005928309295665134,0.00027161348605824804,1.1826270049027672,0.00024312901950906962,0.0003022165910806507
epistemic,12,330,0.027543311495325587,0.01862916351036711,0.0007586340081285346,0.0003470457330959934,1.1859770508075813,0.0003024108591489494,0.0003981396439485252
epistemic,13,330,0.03808074406691907,0.02165751324837609,0.0014501430686901916,0.00046904788010358587,2.0916738571975593,0.00039819497033022344,0.0005629084771499038
epistemic,14,330,0.05295710048931801,0.03352436635794775,0.0028044544922357258,0.0011238831397018987,1.4953257088451257,0.0005640560993924737,0.005846010986715555
total,0,330,0.008038356313396899,0.013355687602870791,6.461517222112778e-05,0.00017837439134547656,0.6377553317281922,0.0001391787955071777,0.00020505115389823914
total,1,330,0.009626078454500643,0.015015852668823127,9.266138641220151e-05,0.0002254758313718026,0.5890407151469561,0.00020518315432127565,0.00024382275296375155
total,2,330,0.010726985604844724,0.016215549999307827,0.00011506822016654593,0.0002629440617800521,0.5623851727718483,0.0002438390365568921,0.000281861808616668
total,3,330,0.012802749140708244,0.017307307171560975,0.00016391038555990567,0.000299542881530766,0.4527982613966059,0.00028202554676681757,0.00031724615837447345
total,4,330,0.013546728732182841,0.018333954508431255,0.00018351385934334814,0.0003361338879172267,0.45404534936822966,0.00031724918517284095,0.0003568644751794636
total,5,330,0.014706644337678376,0.019401236944689166,0.00021628538767496744,0.0003764079949839718,0.4253964034845293,0.0003571112174540758,0.0003959695459343493
total,6,330,0.0163444861268319,0.020482312433051184,0.00026714222675020043,0.00041952512260512307,0.3632271052295303,0.0003960658796131611,0.00044657886610366404
total,7,330,0.01736431309644597,0.021707578220846003,0.00030151936931140495,0.0004712189522141478,0.3601289424064209,0.0004465843376237899,0.0004978190409019589
total,8,330,0.01903790471072248,0.022942358240639733,0.0003624418157745491,0.0005263518016418499,0.31140766566394595,0.0004978961078450084,0.0005549277411773801
total,9,330,0.018649228335288873,0.024293400943773483,0.00034779371750174145,0.0005901693294149343,0.4106882547649036,0.0005550065543502569,0.0006244800752028823
total,10,330,0.021034315279790772,0.025839322484478094,0.0004424424192896395,0.0006676705864568552,0.33733426593260585,0.0006247925339266658,0.0007172315963543952
total,11,330,0.022888986407756,0.027864448831777026,0.0005239056987744389,0.00077642750869872,0.3252355269425005,0.000717590213753283,0.0008417557692155242
total,12,330,0.025080744574931178,0.03053267236858525,0.0006290437484329397,0.0009322440819673691,0.32523706977529754,0.0008437164360657334,0.0010308927157893777
total,13,330,0.02908024239681928,0.035362373509682535,0.0008456604978577657,0.0012504974602382968,0.3237407313913175,0.0010333288228139281,0.0016099377535283566
total,14,330,0.06559823547985241,0.07411819313233325,0.004303128498070167,0.005493506553201852,0.21668820153457014,0.0016201656544581056,0.039324622601270676
