metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.2780024818764818,0.2780024818764818,0.00944652095129765,0.26627495730000467,0.28973000645295893,5,0.27787205276543314,0.2662586037487389,0.28999204765957304,5
ause,epistemic,0.321094590275394,0.321094590275394,0.016761004910581113,0.3002863903011705,0.3419027902496175,5,0.3207400867282413,0.30041698241352105,0.342438041977382,5
ause,total,0.2728240032055308,0.2728240032055308,0.010253235795069393,0.26009497043303975,0.28555303597802184,5,0.272669503730094,0.26021529766238116,0.28571978255052527,5
ence,aleatoric,0.21996658657964105,0.21996658657964105,0.04239088232046523,0.16733979235615348,0.2725933808031286,5,0.21607829797609973,0.1642450971112345,0.28426925173070827,5
ence,epistemic,2.260757490858384,2.260757490858384,0.6158780338143868,1.4961665038793677,3.0253484778374005,5,2.191702079777193,1.545336564134595,3.108421892023061,5
ence,total,0.4039162901013079,0.4039162901013079,0.052431762413047416,0.3388240952650115,0.46900848493760433,5,0.401226332323626,0.3418765474029629,0.47087924273472276,5
rmse,ensemble,0.03884766866483251,0.03884766866483251,0.019941563562151345,0.014090916631547185,0.06360442069811784,5,0.0358987749249059,0.02156356556641791,0.05976386591260438,5
spearman,aleatoric,0.36470700856499433,0.36470700856499433,0.01022809747898254,0.35200918413060356,0.3774048329993851,5,0.3645935242215816,0.35221716175259277,0.3774047727909569,5
spearman,epistemic,0.33818726117476205,0.33818726117476205,0.00800128118882713,0.32825395109488714,0.34812057125463697,5,0.33811196192283877,0.32836504324043053,0.3481482001468887,5
spearman,total,0.37701259570658074,0.37701259570658074,0.009658305201886512,0.36502214840791875,0.38900304300524274,5,0.37691441652407803,0.3651840357266121,0.3890215986605724,5
