uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.008001539628824432,0.008001539628824432,0.0006070426836696333,0.0072479174192925395,0.008755161838356324,5,0.007983705061083745,0.00728189134953057,0.008753158134731468,5,0.006419672532868191,0.006419672532868191,0.000634679962254116,0.005631739610906032,0.00720760545483035,5,0.006394886756040692,0.005661574355648739,0.007223181054185533,5,6.431943708748528e-05,6.431943708748528e-05,9.980798017881427e-06,5.192862626400644e-05,7.671024791096413e-05,5,6.37395465023742e-05,5.302594162636814e-05,7.661777733161565e-05,5,4.1534450352851805e-05,4.1534450352851805e-05,8.267680025516961e-06,3.127041545687457e-05,5.179848524882904e-05,5,4.089457662258464e-05,3.2053424184539436e-05,5.2174344541544836e-05,5,0.627522894008224,0.627522894008224,0.5480389953951631,-0.05284830513485561,1.3078940931513037,5,0.29460387545116906,0.025834574425895696,3.359507379531328,5,1.0572864363590878e-05,1.0572864363590878e-05,1.1628716204452296e-05,-3.8637791143297775e-06,2.5009507841511533e-05,5,2.736275185275799e-06,6.567894682661919e-08,0.00011399698459418053,5,6.707184612306344e-05,6.707184612306344e-05,1.4310909312064737e-05,4.9305353936760735e-05,8.483833830936615e-05,5,6.583227769293701e-05,5.02755442733812e-05,8.620272239468492e-05,5
aleatoric,1,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.009480837610114617,0.009480837610114617,0.00044606864192346245,0.008927059029839033,0.010034616190390202,5,0.009472595256388612,0.008942115761209981,0.010034544764069845,5,0.009234224679941807,0.009234224679941807,0.0008009592927345512,0.008239861798757296,0.010228587561126318,5,0.009207329739945867,0.008287913249212747,0.010228741347907355,5,9.004546357600978e-05,9.004546357600978e-05,8.582068037474352e-06,7.939112698528284e-05,0.00010069980016673672,5,8.973006089135604e-05,7.996143428687995e-05,0.00010069208862212154,5,8.578413407054066e-05,8.578413407054066e-05,1.5213587606374431e-05,6.68969984287534e-05,0.00010467126971232791,5,8.477492094009161e-05,6.868950602647618e-05,0.00010462714956238957,5,0.16851203831058748,0.16851203831058748,0.09798931386384228,0.046861740545410646,0.2901623360757643,5,0.13901045688090546,0.054781145533529835,0.3527474085113923,5,6.707184612306344e-05,6.707184612306344e-05,1.4310909312064737e-05,4.9305353936760735e-05,8.483833830936615e-05,5,6.583227769293701e-05,5.02755442733812e-05,8.620272239468492e-05,5,0.00010631465699458063,0.00010631465699458063,2.4996809289827192e-05,7.528199462170034e-05,0.00013734731936746093,5,0.00010379034804731163,7.611442086475744e-05,0.0001415295055180528,5
aleatoric,2,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.01099618624269454,0.01099618624269454,0.0006527584911836589,0.010185809460879549,0.01180656302450953,5,0.010980746101792517,0.010202368719515322,0.011818508845047869,5,0.010368051045144275,0.010368051045144275,0.0011321525655178604,0.008962523327068506,0.011773578763220044,5,0.01031649598737574,0.008967803323713752,0.011868022258706814,5,0.00012125698680227454,0.00012125698680227454,1.4416358095429505e-05,0.000103359583648342,0.00013915438995620709,5,0.00012057678495203153,0.00010408832748894473,0.0001396771513204747,5,0.0001085218980200042,0.0001085218980200042,2.2834111672241406e-05,8.017414891757419e-05,0.0001368696471224342,5,0.00010643008945753957,8.042149645281127e-05,0.00014084995233316013,5,0.22458757581302957,0.22458757581302957,0.2535863474571165,-0.09023098409858277,0.5394061357246419,5,0.14360190623905306,0.0388965667984411,0.5301626640301904,5,0.00010631465699458063,0.00010631465699458063,2.4996809289827192e-05,7.528199462170034e-05,0.00013734731936746093,5,0.00010379034804731163,7.611442086475744e-05,0.0001415295055180528,5,0.00011649189664344828,0.00011649189664344828,2.2424716269696005e-05,8.865239758032914e-05,0.00014433139570656743,5,0.00011439899746864296,8.666170184661556e-05,0.00015101400437524034,5
aleatoric,3,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.012071898732309419,0.012071898732309419,0.0008693754320704936,0.010992599612733384,0.013151197851885454,5,0.012046556011560988,0.011006555156043917,0.013184825740866633,5,0.011474874953712574,0.011474874953712574,0.0019135119714820852,0.009099316926727337,0.01385043298069781,5,0.011351830372803535,0.009270615063293405,0.013900270039593859,5,0.00014633538991664394,0.00014633538991664394,2.0858644553184984e-05,0.00012044011398483387,0.000172230665848454,5,0.0001451195117396762,0.00012114425640303695,0.00017383962981701933,5,0.00013460197765534436,0.00013460197765534436,4.594061038072738e-05,7.756832049457443e-05,0.00019163563481611428,5,0.00012886405281290484,8.594430365176259e-05,0.00019321750717363065,5,0.2160227810779472,0.2160227810779472,0.14138423719045493,0.04049920738071611,0.3915463547751783,5,0.17717896037636835,0.0712644943487229,0.44050525141505165,5,0.00011649189664344828,0.00011649189664344828,2.2424716269696005e-05,8.865239758032914e-05,0.00014433139570656743,5,0.00011439899746864296,8.666170184661556e-05,0.00015101400437524034,5,0.00013614024882807924,0.00013614024882807924,4.8186023301756353e-05,7.63189902475412e-05,0.00019596150740861727,5,0.0001300481882310462,8.607891561290045e-05,0.00019647704831963496,5
aleatoric,4,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.012241073120504853,0.012241073120504853,0.0010884091851701115,0.01088985127553636,0.013592294965473345,5,0.012203015055750015,0.01094168457830028,0.013609748607283862,5,0.012157756424689596,0.012157756424689596,0.001574506392012876,0.010203061939455346,0.014112450909923847,5,0.012080664110281279,0.010351047916943306,0.014099291831752563,5,0.00015079157878503655,0.00015079157878503655,2.7046993777491198e-05,0.00011721368424791816,0.00018436947332215494,5,0.00014891357645086155,0.00011972046141101417,0.00018522525715346504,5,0.00014979429758487267,0.00014979429758487267,4.0223974609364097e-05,9.985764331533349e-05,0.00019973095185441187,5,0.00014594244534543816,0.00010714419297885638,0.00019879003015692452,5,0.12926194836333194,0.12926194836333194,0.08497444977545934,0.023769148077166527,0.23475474864949736,5,0.0636204595252621,0.005248195646662621,0.7712294172530323,5,0.00013614024882807924,0.00013614024882807924,4.8186023301756353e-05,7.63189902475412e-05,0.00019596150740861727,5,0.0001300481882310462,8.607891561290045e-05,0.00019647704831963496,5,0.0001708258712713192,0.0001708258712713192,2.734038358893939e-05,0.00013688374356920962,0.00020476799897342876,5,0.00016920172277290555,0.00014011923417131333,0.00020432043579624747,5
aleatoric,5,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.015152792536119614,0.015152792536119614,0.0021155508539251393,0.01252641031984071,0.01777917475239852,5,0.015037974617504826,0.01268387508598685,0.01782898988390068,5,0.01325703971557395,0.01325703971557395,0.0013463227756975293,0.011585627190130416,0.014928452241017486,5,0.013205180478904609,0.011696275480568886,0.01490874524716324,5,0.00023318756597511697,0.00023318756597511697,6.618724132856456e-05,0.0001510184263170573,0.0003153567056331766,5,0.00022614068059671942,0.00016088068719691793,0.00031787288028023274,5,0.00017719917003339465,0.00017719917003339465,3.731167770398881e-05,0.0001308780302699759,0.00022352030979681342,5,0.00017437679148044334,0.00013680286011735694,0.00022227068484481253,5,0.49975205368003295,0.49975205368003295,0.24388596712051216,0.19697617587172717,0.8025279314883387,5,0.4558779325517802,0.25230688427777764,0.8236980531965216,5,0.0001708258712713192,0.0001708258712713192,2.734038358893939e-05,0.00013688374356920962,0.00020476799897342876,5,0.00016920172277290555,0.00014011923417131333,0.00020432043579624747,5,0.00019044006668885268,0.00019044006668885268,4.9240140122118406e-05,0.00012931015903200305,0.0002515699743457023,5,0.00018583528660432835,0.0001376029163434977,0.000250973995791658,5
aleatoric,6,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.014936216270157862,0.014936216270157862,0.002183413482293259,0.012225584979948502,0.01764684756036722,5,0.014805149190016336,0.012293139422109214,0.017830469094365246,5,0.013902019283584153,0.013902019283584153,0.001597655766800636,0.01191858566114233,0.015885452906025974,5,0.013831602684478968,0.012042214237943452,0.01588688168480533,5,0.00022690439201665646,0.00022690439201665646,6.494126951872234e-05,0.00014628208267812467,0.00030752670135518825,5,0.00021919244253864136,0.00015112127685141565,0.0003179256281251142,5,0.0001953081433204987,0.0001953081433204987,4.6126188340328256e-05,0.00013804409762904196,0.00025257218901195545,5,0.0001913132328212858,0.000145014923752528,0.000252393009667003,5,0.3825805315320744,0.3825805315320744,0.4211929930855904,-0.14031580282398104,0.9054768658881298,5,0.2744716219548837,0.10076604638896444,0.7476195996392195,5,0.00019107527801346628,0.00019107527801346628,4.8842740707401296e-05,0.0001304387277976047,0.00025171182822932784,5,0.00018654686954662798,0.00013851646432855189,0.000251231755779616,5,0.00020116062966653688,0.00020116062966653688,4.1314924387634375e-05,0.00014986959949476574,0.000252451659838308,5,0.00019808209090498735,0.00015606442846542555,0.00025141228608660244,5
aleatoric,7,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.016413551213985213,0.016413551213985213,0.0009316468154519177,0.015256944355106852,0.017570158072863575,5,0.016392465835128635,0.015278992509487032,0.017587084749796842,5,0.015149872570837278,0.015149872570837278,0.0012734813450573,0.01356889012779373,0.016730855013880826,5,0.015107285504033782,0.013614592826167317,0.016763635770416126,5,0.00027009903608510896,0.00027009903608510896,3.071674307920997e-05,0.00023196527644725158,0.00030823279572296633,5,0.0002687129361558596,0.00023344761210496084,0.00030930554999653666,5,0.00023081604270157492,0.00023081604270157492,3.88242009533756e-05,0.00018261715835143186,0.000279014927051718,5,0.00022823007530038924,0.00018535713782232658,0.0002810194842431751,5,0.27616637003768574,0.27616637003768574,0.1875220840002186,0.04336427706792681,0.5089684630074447,5,0.11064231603921218,0.005397857833873414,2.267885238047563,5,0.00020116062966653688,0.00020116062966653688,4.1314924387634375e-05,0.00014986959949476574,0.000252451659838308,5,0.00019808209090498735,0.00015606442846542555,0.00025141228608660244,5,0.0002467477322644284,0.0002467477322644284,2.5056821340456092e-05,0.00021564056703464836,0.00027785489749420847,5,0.000245752033000862,0.0002170516183491242,0.0002782474610574608,5
aleatoric,8,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.018998468690940427,0.018998468690940427,0.0028322941755607412,0.015482274769077712,0.022514662612803143,5,0.01884318511845354,0.01582820901880055,0.022432457455329673,5,0.016175294897106063,0.016175294897106063,0.0007685138601317668,0.015221211882996986,0.01712937791121514,5,0.016160538705258274,0.015227682271324415,0.01715054245227802,5,0.00036735932483817593,0.00036735932483817593,0.00011571776071983145,0.00022369978184099426,0.0005110188678353576,5,0.00035506562540830897,0.00025053220074283905,0.0005032151474851759,5,0.0002621126558509172,0.0002621126558509172,2.4683045266991673e-05,0.00023146952051216816,0.0002927557911896662,5,0.00026116301124415076,0.0002318823073564079,0.00029414110640739054,5,0.4600506493391152,0.4600506493391152,0.536357730093529,-0.2058186684642056,1.125919967142436,5,0.2707782264585046,0.0641198243419906,1.1434973298265423,5,0.0002467477322644284,0.0002467477322644284,2.5056821340456092e-05,0.00021564056703464836,0.00027785489749420847,5,0.000245752033000862,0.0002170516183491242,0.0002782474610574608,5,0.0003037582807876125,0.0003037582807876125,4.087570933031668e-05,0.00025301252071110796,0.00035450404086411706,5,0.0003012802420220885,0.0002508593641419411,0.00036183534365306366,5
aleatoric,9,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.02170890410628935,0.02170890410628935,0.0024141544669669546,0.018711815973130888,0.024705992239447812,5,0.021600245063475687,0.018786475533823132,0.024835450692291546,5,0.018366399192568068,0.018366399192568068,0.0008008469304107615,0.017372175805269244,0.01936062257986689,5,0.018352581419241523,0.017392842686522397,0.01936527862756367,5,0.0004759390309283679,0.0004759390309283679,0.00010444103754426824,0.00034627914440422676,0.0006055989174525091,5,0.00046657058680220587,0.00035293166298293506,0.0006167996110892447,5,0.0003378377039455235,0.0003378377039455235,2.9680002422676745e-05,0.0003009910214857733,0.00037468438640527374,5,0.00033681724474988914,0.00030251097671811565,0.00037501401632317394,5,0.42980811877978853,0.42980811877978853,0.4070680376650515,-0.07555257862695619,0.9351688161865332,5,0.24839457599451034,0.04809395995425408,1.2829025815753188,5,0.0003037582807876125,0.0003037582807876125,4.087570933031668e-05,0.00025301252071110796,0.00035450404086411706,5,0.0003012802420220885,0.0002508593641419411,0.00036183534365306366,5,0.0003682032469414791,0.0003682032469414791,5.734958992167688e-05,0.00029700574166680326,0.0004394007522161549,5,0.0003647699947601867,0.0003021232689591898,0.00044040682313456546,5
