metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.2559180551043315,0.2559180551043315,0.015302092048329986,0.23692104430072414,0.2749150659079389,5,0.25553668266600804,0.23669224065976122,0.27588143999115566,5
ause,epistemic,0.2932341025816305,0.2932341025816305,0.01579252622399241,0.2736282349430171,0.31283997022024396,5,0.2928929955683762,0.2739061782867728,0.3131959541387226,5
ause,total,0.24954304963705104,0.24954304963705104,0.01810621128531328,0.2270648231100427,0.27202127616405936,5,0.24900396332248229,0.2271376145233037,0.2729753672918968,5
ence,aleatoric,0.4379429418560135,0.4379429418560135,0.19223042709329727,0.19929560600549,0.676590277706537,5,0.4034727792527191,0.2281463637500639,0.7135344211589164,5
ence,epistemic,0.47794039971759705,0.47794039971759705,0.21615898378433912,0.20958659964383264,0.7462941997913615,5,0.43827260028851345,0.24289862596034295,0.7907943958275648,5
ence,total,0.3576077217623287,0.3576077217623287,0.14766337458733284,0.17428881912647426,0.5409266243981832,5,0.3302289339955962,0.18592347291281217,0.5865378219296001,5
rmse,ensemble,0.033969527412974126,0.033969527412974126,0.0024490798381191095,0.03092908065597508,0.03700997416997317,5,0.03390158191209337,0.03107636180252874,0.036983648969129146,5
spearman,aleatoric,0.40067726559524736,0.40067726559524736,0.03520333431298003,0.35697356023558247,0.44438097095491225,5,0.3994200959855609,0.3576091685064587,0.44611947099514404,5
spearman,epistemic,0.3651074992313332,0.3651074992313332,0.029623545951291876,0.32833090550150595,0.4018840929611604,5,0.3641015625123353,0.3280307257144162,0.4041388121042646,5
spearman,total,0.4095996131792032,0.4095996131792032,0.0356861834542836,0.3652964675387659,0.4539027588196405,5,0.4083257810552562,0.3656851576023126,0.4559385034043575,5
