metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.25239120224915534,0.25239120224915534,0.01693898070958345,0.23136205156010475,0.27342035293820594,5,0.25191821904786427,0.2311858013453261,0.27450989082782074,5
ause,epistemic,0.2878924459967027,0.2878924459967027,0.01850779063229159,0.2649156727893478,0.31086921920405763,5,0.28741331539771925,0.26524392621398557,0.3114356473567885,5
ause,total,0.24675775723213755,0.24675775723213755,0.01784898570512938,0.22459886724488365,0.26891664721939146,5,0.24622578071408632,0.22460351432415723,0.26992959246738096,5
ence,aleatoric,0.3345532629861238,0.3345532629861238,0.04391845223114573,0.2800300442734351,0.38907648169881254,5,0.3322288730827756,0.28182970249259004,0.391640849540169,5
ence,epistemic,2.047034577770406,2.047034577770406,0.38410318554971995,1.5701839391425727,2.5238852163982397,5,2.017308251760175,1.586865288327907,2.5645104298095727,5
ence,total,0.3943047930199155,0.3943047930199155,0.055349374117330596,0.32559048554098546,0.46301910049884554,5,0.39085173566423476,0.3234783003776765,0.4722575798543033,5
rmse,ensemble,0.03396952576385383,0.03396952576385383,0.0024489502898354613,0.030929239836507114,0.037009811691200545,5,0.0339015875113523,0.031076512031943105,0.03698348240010046,5
spearman,aleatoric,0.4022323820198711,0.4022323820198711,0.035855678018585475,0.35771881482014467,0.44674594921959754,5,0.4009309974842484,0.35833137862513575,0.4485949998587107,5
spearman,epistemic,0.36981636748228175,0.36981636748228175,0.03200287871954019,0.33008591553744504,0.40954681942711846,5,0.36865841878973393,0.3298572723553951,0.4120237482535041,5
spearman,total,0.41133593058137496,0.41133593058137496,0.03520725103290678,0.36762736275123686,0.45504449841151307,5,0.41009884369110566,0.3679291001770249,0.45710182074715894,5
