epoch,train_loss,train_loss_mean,train_loss_std,train_loss_ci95_low,train_loss_ci95_high,train_loss_n,val_loss,val_loss_mean,val_loss_std,val_loss_ci95_low,val_loss_ci95_high,val_loss_n,train_rmse_e_atom,train_rmse_e_atom_mean,train_rmse_e_atom_std,train_rmse_e_atom_ci95_low,train_rmse_e_atom_ci95_high,train_rmse_e_atom_n,val_rmse_e_atom,val_rmse_e_atom_mean,val_rmse_e_atom_std,val_rmse_e_atom_ci95_low,val_rmse_e_atom_ci95_high,val_rmse_e_atom_n
0,-0.7629876598489285,-0.7629876598489285,0.07145949030150718,-0.8517021117676884,-0.6742732079301685,5,-0.7485523575663566,-0.7485523575663566,0.08406917172273085,-0.8529212868881052,-0.6441834282446081,5,0.10861954507813446,0.10861954507813446,0.003685471858512574,0.10404416097435139,0.11319492918191752,5,0.11176397579848425,0.11176397579848425,0.013006647231211026,0.09561667925957784,0.12791127233739066,5
5,-1.1577051392519473,-1.1577051392519473,0.15934043112552304,-1.3555206981952994,-0.9598895803085952,5,-1.1306815413117408,-1.1306815413117408,0.1722749739920432,-1.3445548817531348,-0.9168082008703469,5,0.0650259085220862,0.0650259085220862,0.006530716310335442,0.05691825318248332,0.07313356386168908,5,0.06847011791344916,0.06847011791344916,0.011255346949502252,0.05449699927563656,0.08244323655126176,5
10,-1.9044188834607603,-1.9044188834607603,0.0527253875592767,-1.969875603621928,-1.8389621632995925,5,-1.84581314098835,-1.84581314098835,0.051969262444681856,-1.910331158328657,-1.781295123648043,5,0.0402207630913037,0.0402207630913037,0.0016682914129156616,0.03814963779061757,0.04229188839198983,5,0.04356677586779759,0.04356677586779759,0.005279404058697415,0.03701258081898209,0.0501209709166131,5
15,-2.130059319118261,-2.130059319118261,0.05703198797523248,-2.200862532711198,-2.0592561055253236,5,-2.0564754524707793,-2.0564754524707793,0.05541568536155225,-2.125272083034612,-1.987678821906947,5,0.03378790506411562,0.03378790506411562,0.0009253374105757776,0.03263913111019024,0.034936679018041004,5,0.03744178709904902,0.03744178709904902,0.004748232477553441,0.0315470229459366,0.043336551252161445,5
20,-2.2378485617017745,-2.2378485617017745,0.055705511921166066,-2.307005001778369,-2.1686921216251798,5,-2.1486913983762266,-2.1486913983762266,0.04993487609645588,-2.2106837963885426,-2.0866990003639105,5,0.03177159241725096,0.03177159241725096,0.0007577458775697486,0.03083087747597909,0.032712307358522826,5,0.035662084779511063,0.035662084779511063,0.004625114202156162,0.02992016764891403,0.041404001910108096,5
25,-2.34264339990139,-2.34264339990139,0.07064226148431745,-2.4303432908947458,-2.2549435089080343,5,-2.231030030596256,-2.231030030596256,0.04655301945455731,-2.288823972151802,-2.1732360890407096,5,0.02966906039627728,0.02966906039627728,0.0011854817547512077,0.0281973263594306,0.031140794433123956,5,0.03331521388207583,0.03331521388207583,0.0030785064139368912,0.029493356098197428,0.03713707166595424,5
30,-2.400092430303097,-2.400092430303097,0.03583748744344272,-2.4445834145415253,-2.355601446064669,5,-2.2842901711583137,-2.2842901711583137,0.028543411022367755,-2.3197258152422155,-2.248854527074412,5,0.3081631249139828,0.3081631249139828,0.5996993868949736,-0.43634263912001914,1.0526688889479847,5,0.030601869994853127,0.030601869994853127,0.0038715633742857016,0.025795459798400092,0.035408280191306166,5
35,-2.4688940080094337,-2.4688940080094337,0.052349531692467456,-2.533884116289048,-2.403903899729819,5,-2.3308496247291566,-2.3308496247291566,0.04382691154523665,-2.3852591988896044,-2.276440050568709,5,0.02677853747907899,0.02677853747907899,0.001648045273201587,0.02473254705104066,0.02882452790711732,5,0.031083695669517693,0.031083695669517693,0.003259167254902093,0.027037553785349923,0.03512983755368546,5
40,-2.5741690284466743,-2.5741690284466743,0.04448513715023354,-2.6293957666190653,-2.5189422902742833,5,-2.4111481019198893,-2.4111481019198893,0.02827459103898993,-2.4462500154189586,-2.37604618842082,5,0.024273638958401924,0.024273638958401924,0.0018459124574327307,0.021982003358144892,0.026565274558658956,5,0.028912538600136928,0.028912538600136928,0.004143069238160044,0.023769063392378685,0.03405601380789517,5
45,-2.6173954975879195,-2.6173954975879195,0.09085826478978136,-2.7301928479343296,-2.5045981472415093,5,-2.438910738968849,-2.438910738968849,0.07768435159613458,-2.5353531379481486,-2.3424683399895496,5,0.026594091723447504,0.026594091723447504,0.005991704696646214,0.019155600405089783,0.034032583041805224,5,0.028369695693310472,0.028369695693310472,0.005126289949230393,0.02200558644338723,0.03473380494323371,5
