uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,330,0.007196682941343789,0.005754893995913776,5.1792245358228683e-05,3.311880490420442e-05,0.5638319531165714,2.550856088814528e-05,5.66189798216025e-05
aleatoric,1,330,0.008800460508253234,0.009115664595840952,7.744810515732476e-05,8.309534102386818e-05,0.06796092051564372,5.66189798216025e-05,9.627697525869513e-05
aleatoric,2,330,0.011112384671602547,0.009812083125345766,0.00012348509308966724,9.627697525869514e-05,0.28260254082416064,9.627697525869513e-05,9.627697525869513e-05
aleatoric,3,330,0.011057936550083573,0.009812083125345766,0.0001222779607456742,9.627697525869514e-05,0.27006442004554765,9.627697525869513e-05,9.627697525869513e-05
aleatoric,4,330,0.011371975515708966,0.010052596909168949,0.0001293218271298842,0.00010105470461823312,0.27972099486549684,9.627697525869513e-05,0.00010719640357863336
aleatoric,5,330,0.009981894758548888,0.011097142056021725,9.963822297074579e-05,0.00012314656181152607,0.19089724061285152,0.00010719640357863336,0.00017300614177487617
aleatoric,6,330,0.013304846905285364,0.013153179911142255,0.00017701895117308155,0.00017300614177487617,0.023194606602042107,0.00017300614177487617,0.00017300614177487617
aleatoric,7,330,0.012907955750923865,0.013644579586162331,0.00016661532166780847,0.0001861745520831178,0.10505856034812477,0.00017300614177487617,0.000237898430833132
aleatoric,8,330,0.01580086074873688,0.015423956393647253,0.00024966720040097383,0.00023789843083313198,0.04946972338836807,0.000237898430833132,0.000237898430833132
aleatoric,9,330,0.014175009535808504,0.016292339588998866,0.00020093089534026204,0.00026544032928325976,0.24302800601998073,0.000237898430833132,0.00028387528844177725
aleatoric,10,330,0.01576712587748977,0.01684859900531131,0.00024860225843660757,0.00028387528844177725,0.12425537354373899,0.00028387528844177725,0.00028387528844177725
aleatoric,11,330,0.018113824505489897,0.01891456978027347,0.00032811063821568636,0.00035776094997283444,0.08287744025556588,0.00028387528844177725,0.00041258611923290626
aleatoric,12,330,0.019779148165820694,0.02031221600990168,0.00039121470216548805,0.0004125861192329062,0.05179868170832456,0.00041258611923290626,0.00041258611923290626
aleatoric,13,330,0.021397099219728637,0.02196269240441549,0.0004578358550189119,0.0004823598576509698,0.050841715460085334,0.00041258611923290626,0.0006016161226268325
aleatoric,14,330,0.026798952234723377,0.02505294657626444,0.0007181838408789851,0.00062765013215316,0.1442423160419775,0.0006016161226268325,0.0007538957787411553
epistemic,0,330,0.008325498503036578,0.008194031617649733,6.931392532406431e-05,6.71421541510435e-05,0.03234586677298414,3.3820846251079016e-05,0.00010711977790508951
epistemic,1,330,0.010030647848231952,0.010367634572029598,0.00010061389625524029,0.00010748784661914336,0.06395095427168815,0.00010711977790508951,0.00010880675951116963
epistemic,2,330,0.010121466743808939,0.010569997953509592,0.00010244408904603034,0.00011172485673719696,0.08306806526498543,0.00010880675951116963,0.00011190211736276503
epistemic,3,330,0.009655882751293187,0.010601457003872602,9.323607170672128e-05,0.00011239089060495944,0.17043035067285892,0.00011190211736276503,0.00011431120543016327
epistemic,4,330,0.01367133137418943,0.011299436312613943,0.00018690530154289622,0.00012767726098281859,0.4638887152196028,0.00011431120543016327,0.0001287152309243272
epistemic,5,330,0.011453801515373355,0.011345273505928677,0.00013118956915356895,0.00012871523092432716,0.019223352290736104,0.0001287152309243272,0.0001287152309243272
epistemic,6,330,0.015354960473133254,0.01318760383494462,0.00023577481113148458,0.00017391289490744602,0.35570632216179593,0.0001287152309243272,0.00018628153361772236
epistemic,7,330,0.014414083822754154,0.01382582533985803,0.00020776581244938303,0.00019115344632826043,0.08690592003554473,0.00018628153361772236,0.0002125764132610389
epistemic,8,330,0.013286553626934705,0.014959144016033715,0.00017653250728141178,0.0002237759896924373,0.21111953286837437,0.0002125764132610389,0.00029653606966870735
epistemic,9,330,0.016493900991391926,0.017220222695096234,0.00027204876991383955,0.00029653606966870746,0.08257781180625118,0.00029653606966870735,0.00029653606966870735
epistemic,10,330,0.018762091193335412,0.017837785489416162,0.00035201606594703416,0.00031818659116642585,0.106319611573179,0.00029653606966870735,0.000341230814921714
epistemic,11,330,0.019572230247798753,0.018758734277369536,0.00038307219687284846,0.00035189011168895875,0.08861313275961574,0.000341230814921714,0.00038881756757435043
epistemic,12,330,0.01970138001118927,0.01971845753537407,0.00038814437434528816,0.0003888175675743504,0.0017313858354239512,0.00038881756757435043,0.00038881756757435043
epistemic,13,330,0.018399149677777102,0.02030517115126778,0.0003385287088652452,0.00041229997548227723,0.17892619695341966,0.00038881756757435043,0.0005554780010369759
epistemic,14,330,0.022462346669799963,0.02388602721179729,0.0005045570179142736,0.0005705422959627206,0.11565361326473605,0.0005554780010369759,0.0010210834443569183
total,0,330,0.006910181427335092,0.006482895469091996,4.775060735868685e-05,4.202793366317353e-05,0.13616357495414397,2.3789816733562585e-05,7.251717150211334e-05
total,1,330,0.009026949199299056,0.009124472716801888,8.148581184672587e-05,8.325600235966203e-05,0.021262016704681794,7.251717150211334e-05,8.45301009359814e-05
total,2,330,0.009651076672278786,0.009194025284715144,9.314328093420376e-05,8.453010093598138e-05,0.10189482684689495,8.45301009359814e-05,8.45301009359814e-05
total,3,330,0.010618078899200694,0.01022744778638408,0.00011274359950965102,0.00010460068822321261,0.07784758804896044,8.45301009359814e-05,0.0001080235059143078
total,4,330,0.012582009903999299,0.010393435712713471,0.00015830697322433645,0.00010802350591430777,0.46548634840566316,0.0001080235059143078,0.0001080235059143078
total,5,330,0.011138969095055337,0.010393435712713471,0.0001240766325005979,0.00010802350591430777,0.14860771690769484,0.0001080235059143078,0.0001080235059143078
total,6,330,0.011009602281675468,0.010762174912069714,0.00012121134240067367,0.00011582440883798276,0.046509484630534496,0.0001080235059143078,0.00014909136419494947
total,7,330,0.013759949750985306,0.013294117848611984,0.00018933621714964057,0.00017673356937278372,0.07130873790181941,0.00014909136419494947,0.000193877462297678
total,8,330,0.013950878564406171,0.015494961854612929,0.00019462701271880757,0.00024009384287590975,0.1893710792933632,0.000193877462297678,0.0002448855077519137
total,9,330,0.01568183091428918,0.016631648347355078,0.0002459198208243558,0.0002766117267500789,0.11095663327915783,0.0002448855077519137,0.0003229561520533429
total,10,330,0.016828291685726166,0.018458834121599973,0.0002831914010598804,0.0003407285571287435,0.16886508296726893,0.0003229561520533429,0.00036793595386876
total,11,330,0.020411275739196058,0.01958661992495831,0.00041662017730149356,0.0003836356800847739,0.0859787004416037,0.00036793595386876,0.0004032595083117485
total,12,330,0.020514984789514086,0.020433734877429506,0.00042086460091399425,0.0004175375210410791,0.007968337467299915,0.0004032595083117485,0.0004187375881973608
total,13,330,0.019700400311558775,0.022096214743181714,0.00038810577243566515,0.00048824270597680095,0.20509662984272795,0.0004187375881973608,0.0005346481506338065
total,14,330,0.02578293752795862,0.02421568959272121,0.000664759867570617,0.0005863996224510263,0.13362942628111096,0.0005346481506338065,0.0007616455356280009
