uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,330,0.016505289682406075,0.010257885533944794,0.0002724245875001405,0.00010522421562751389,1.5889913825967954,6.667119305348024e-05,0.00012296628847252578
aleatoric,1,330,0.01953857537370774,0.011847919333964231,0.00038175592763405855,0.00014037319254412345,1.7195785798920358,0.00012298223737161607,0.00015656019968446344
aleatoric,2,330,0.0227728611559746,0.013131554069570565,0.0005186032052292968,0.00017243771228205525,2.007481358724018,0.0001566288119647652,0.00018773903138935566
aleatoric,3,330,0.028416195206027655,0.014189956436531745,0.0008074801499870691,0.0002013548636706687,3.010234147151095,0.00018779623496811837,0.00021560727327596396
aleatoric,4,330,0.02764744994218048,0.015131554889212851,0.0007643814883053755,0.00022896395336526135,2.3384359287593797,0.00021563454356510192,0.00024239100457634777
aleatoric,5,330,0.03009172679377492,0.01599152643226507,0.0009055120214311914,0.0002557289176338324,2.5409058537828573,0.0002424529375275597,0.0002707743551582098
aleatoric,6,330,0.03460950333742202,0.017018064391598593,0.0011978177212630258,0.000289614515636596,3.1359036118411607,0.0002710021799430251,0.0003073638363275677
aleatoric,7,330,0.04080836431781702,0.01804081188698258,0.0016653225982956813,0.00032547089354149206,4.116655993951055,0.0003074663982260972,0.00034487570519559085
aleatoric,8,330,0.0425899655322117,0.01919297687174379,0.0018139051640349807,0.000368370361199292,3.9241343905343133,0.0003449448850005865,0.0003901522431988269
aleatoric,9,330,0.051140461577474414,0.020515017541235993,0.002615346810357137,0.0004208659447172205,5.214203936396865,0.0003903502074535936,0.0004542943206615746
aleatoric,10,330,0.04610230041317826,0.022241214263606663,0.0021254221033869367,0.0004946716119196605,3.2966324571140464,0.00045459187822416425,0.0005399412475526333
aleatoric,11,330,0.07653855778152004,0.024601498709555455,0.005858150827275081,0.0006052337387562588,8.679154435959642,0.0005400258232839406,0.0006830784259364009
aleatoric,12,330,0.08100266388722775,0.028768974947012815,0.0065614315568271915,0.000827653919501851,6.927747820944763,0.0006831884384155273,0.001045720768161118
aleatoric,13,330,0.11604360170726734,0.03854377798469417,0.013466117497194898,0.0014856228213333948,8.064290951796648,0.0010466844541952014,0.0021940411534160376
aleatoric,14,330,0.24017344975917893,0.07390650647713094,0.05768328596922484,0.005462171699654198,9.560503979191404,0.002194394124671817,0.019286638125777245
epistemic,0,330,0.026686728978540127,0.006066207603593043,0.0007121815035740534,3.679887468989005e-05,18.35335005691668,5.75333842789405e-06,5.240328755462542e-05
epistemic,1,330,0.02131579030788457,0.007984035730626329,0.00045436291644970577,6.374482654791791e-05,6.127839874317559,5.2564962970791385e-05,7.526161789428443e-05
epistemic,2,330,0.03267155867339257,0.009328709678328143,0.001067430746148933,8.702482426253317e-05,11.26581903720654,7.532649033237249e-05,9.922236495185643e-05
epistemic,3,330,0.03671096711050947,0.010578828662520752,0.0013476951061889078,0.00011191161587097062,11.042495282551755,9.923129982780665e-05,0.0001238660915987566
epistemic,4,330,0.04023495432000895,0.011721002349941551,0.001618851549133207,0.00013738189608733536,10.783587177338731,0.00012393947690725327,0.00015222742513287812
epistemic,5,330,0.04331095231093763,0.012922812213906896,0.0018758385900803135,0.00016699907551590126,10.232628589621747,0.00015223174705170095,0.00018220915808342397
epistemic,6,330,0.07698733039433127,0.014078114114385564,0.005927049041245923,0.00019819329701766203,28.90539604736346,0.00018236898176837713,0.0002149671345250681
epistemic,7,330,0.05801931865674413,0.015221175686149932,0.003366241337392818,0.00023168418926864184,13.529439181927096,0.0002149671345250681,0.0002493776264600456
epistemic,8,330,0.061211032533366225,0.016489970443436062,0.0037467905038008186,0.00027191912522539496,12.7790620674257,0.00024942291202023625,0.00029191895737312734
epistemic,9,330,0.10197374676928009,0.017725319547701995,0.01039864503016526,0.0003141869530681464,32.09699823184516,0.00029195137904025614,0.00033656490268185735
epistemic,10,330,0.0741086511109371,0.019113445550233768,0.0054920921694825995,0.00036532380080175105,14.033491268374746,0.00033662692294456065,0.00039922966971062124
epistemic,11,330,0.06984879416310284,0.020981846468163756,0.004878854046039509,0.0004402378812135959,10.082313118058035,0.00039962903247214854,0.00048715510638430715
epistemic,12,330,0.09893202805174565,0.023392659790511045,0.009787546174431389,0.0005472165320745923,16.886057165204992,0.0004876624734606594,0.00061836838722229
epistemic,13,330,0.1123795120980396,0.027131654593191792,0.012629154739393429,0.0007361266809642654,16.156224690633785,0.0006188154220581055,0.0008945884183049202
epistemic,14,330,0.1825766254875471,0.04182425857184471,0.03333422417442004,0.0017492686050845255,18.056092402006673,0.000897535472176969,0.011681614443659782
total,0,330,0.014050236345243374,0.012468775690512201,0.0001974091413571979,0.000155470367220308,0.26975413312982593,0.00011680261377478018,0.00018662691581994295
total,1,330,0.015575261971375718,0.014818716486459061,0.0002425887854769826,0.00021959435830605357,0.10471319640589848,0.0001870551786851138,0.00025314599042758346
