uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,330,0.007491035016231207,0.010198457539945102,5.611560561440208e-05,0.0001040085361940631,0.46047115296671964,7.125100091798231e-05,0.00012228656851220876
aleatoric,1,330,0.008491247795477401,0.01153421149573771,7.210128912419983e-05,0.00013303803482840796,0.458040031805973,0.00012240941578056663,0.00014354550512507558
aleatoric,2,330,0.009734993781137386,0.012287904050011551,9.477010391878359e-05,0.00015099258594229026,0.37235260044486584,0.00014365521201398224,0.00015803237329237163
aleatoric,3,330,0.010745993641369104,0.012843696779649836,0.0001154763793403452,0.00016496054696758756,0.2999757732190674,0.00015806085139047354,0.00017232514801435173
aleatoric,4,330,0.011187374855135561,0.013430282845833464,0.00012515735614931944,0.00018037249731908862,0.3061172960980334,0.00017233603284694254,0.0001878888433566317
aleatoric,5,330,0.011820915435615866,0.013981266264367392,0.00013973404173598145,0.0001954758063551377,0.28515940493364894,0.0001879554329207167,0.00020241019956301898
aleatoric,6,330,0.014106765630277445,0.014489284268245183,0.00019900083654757702,0.00020993935860601733,0.05210324605672482,0.00020244554616510868,0.00021709692373406142
aleatoric,7,330,0.013903709864118064,0.015004014686505905,0.00019331314798557396,0.0002251204567128849,0.14129017501007238,0.00021712573652621359,0.00023432714806403965
aleatoric,8,330,0.01510183663044591,0.015622858680584824,0.00022806546961267788,0.0002440737133535246,0.06558774200177736,0.00023438762582372874,0.00025473281857557595
aleatoric,9,330,0.017285126713990545,0.016374046018598928,0.00029877560551870954,0.00026810938301919534,0.1143795198593204,0.00025488308165222406,0.0002796165645122528
aleatoric,10,330,0.01705799661111047,0.017161834290411414,0.00029097524838465633,0.0002945285562115411,0.012064391557104684,0.0002796439512167126,0.0003094377170782536
aleatoric,11,330,0.01735220101287314,0.018142200642662126,0.0003010988799911557,0.00032913944415861006,0.08519356967116283,0.00030954714748077095,0.00035050930455327034
aleatoric,12,330,0.018776980679104775,0.019429414907099922,0.00035257500342347406,0.00037750216363223666,0.06603183401366326,0.0003505758650135249,0.0004068831040058285
aleatoric,13,330,0.020715073574889276,0.02125277258982927,0.0004291142732130759,0.0004516803427549982,0.049960264828621655,0.00040727853775024414,0.0005118830595165491
aleatoric,14,330,0.02396819301865893,0.030690719671103015,0.0005744742765796907,0.0009419202739302295,0.3901030772141087,0.0005119870766066015,0.00377411930821836
epistemic,0,330,0.009695768773090417,0.004832610752648413,9.400793210123525e-05,2.335412668661306e-05,3.025324233387927,4.976987838745117e-06,3.0627288651885465e-05
epistemic,1,330,0.009699850231837477,0.005919291941250523,9.408709452007756e-05,3.5038017085753384e-05,1.6852859364103057,3.065709097427316e-05,3.936439679819159e-05
epistemic,2,330,0.010698445642417407,0.006578111943007844,0.00011445673916375999,4.327155673474243e-05,1.6450802282290777,3.93915906897746e-05,4.69746082671918e-05
epistemic,3,330,0.012820217375102756,0.007129000693911377,0.00016435797354488662,5.0822650893788895e-05,2.2339512137682105,4.698457269114442e-05,5.4431518947239965e-05
epistemic,4,330,0.011423815093948604,0.00762673463331832,0.00013050355130072796,5.8167081167057126e-05,1.2435980744146147,5.443412737804465e-05,6.198007758939639e-05
epistemic,5,330,0.011931036068847262,0.008132165102978333,0.00014234962167613435,6.613210926209859e-05,1.152503878440745,6.202701479196548e-05,7.029157131910324e-05
epistemic,6,330,0.013922903798897608,0.008654518442690584,0.00019384725019335746,7.490068947487143e-05,1.5880569531792044,7.03094556229189e-05,7.97906905063428e-05
epistemic,7,330,0.013791253279117472,0.009262104300066994,0.00019019866700876843,8.57865760653195e-05,1.2171145618860881,7.982067472767085e-05,9.238556958734989e-05
epistemic,8,330,0.01655844292207293,0.009950322844671724,0.0002741820320035472,9.9008924713196e-05,1.769265829295528,9.244288958143443e-05,0.00010603633563732728
epistemic,9,330,0.01608485419454117,0.010648606619320225,0.0002587225344596487,0.00011339282293303052,1.2816482363478112,0.00010604727867757902,0.000121719014714472
epistemic,10,330,0.016313204617951577,0.011510703519374147,0.0002661206449071566,0.00013249629551093236,1.0085138522623736,0.00012178644828964025,0.00014363377704285085
epistemic,11,330,0.015762314195935583,0.012536593338014724,0.0002484505488113924,0.00015716617252275518,0.5808144006015077,0.00014366806135512888,0.00017216448031831533
epistemic,12,330,0.01895087327953905,0.0138375191160821,0.0003591355980571472,0.00019147693528793753,0.8756076157010211,0.00017217546701431274,0.00021766257123090327
epistemic,13,330,0.019680536381724997,0.01616582249273018,0.0003873235122724013,0.00026133381686646096,0.4821025342859467,0.0002179434522986412,0.0003165587841067463
epistemic,14,330,0.023516033192683278,0.023199332219548282,0.0005530038171193816,0.000538209015432971,0.027488951805292126,0.0003166729584336281,0.001556507544592023
total,0,330,0.006875544738600126,0.012195623005117477,4.727311545249188e-05,0.00014873322048295062,0.6821616899103531,0.00011251057003391907,0.00016998473438434303
total,1,330,0.008971854043004816,0.013509662259814158,8.049416496898188e-05,0.000182510974374247,0.5589626035093924,0.00017018979997374117,0.00019426811195444316
total,2,330,0.00949468271378805,0.01434664020709832,9.014899983550563e-05,0.00020582608523193012,0.5620137275898561,0.00019432292901910841,0.00021684564126189798
total,3,330,0.010778494893533665,0.015089054809548703,0.0001161759521699313,0.00022767957504556485,0.48973924364238053,0.00021689025743398815,0.0002381356607656926
total,4,330,0.010621093471275028,0.01576217440184276,0.00011280762652556101,0.00024844614187410723,0.545947360363024,0.00023815316671971232,0.00025876995641738176
