config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,20.0,-525.7099609375,-525.7035522460938,0.00640869140625,4.10713255405426e-05,0.00640869140625,0.0001821285841288045,0.00011645108315860853,0.0002985796600114554
1,20.0,-525.4158935546875,-525.62158203125,-0.2056884765625,0.04230774939060211,0.2056884765625,0.009587837383151054,0.0004244660958647728,0.010012303479015827
2,20.0,-525.6416015625,-525.6798095703125,-0.0382080078125,0.001459851861000061,0.0382080078125,0.0004683552251663059,0.00013109501742292196,0.0005994502571411431
3,20.0,-525.7855834960938,-525.792236328125,-0.00665283203125,4.4260174036026e-05,0.00665283203125,0.00020993190992157906,3.968868259107694e-05,0.0002496205852366984
4,22.0,-613.0756225585938,-613.1784057617188,-0.102783203125,0.01056438684463501,0.102783203125,0.0008769370033405721,0.00016799141303636134,0.001044928445480764
5,22.0,-613.1875610351562,-613.1923828125,-0.00482177734375,2.3249536752700806e-05,0.00482177734375,0.00030115648405626416,6.56235934002325e-05,0.0003667800920084119
6,24.0,-732.4359741210938,-732.45068359375,-0.01470947265625,0.00021636858582496643,0.01470947265625,0.0002575241378508508,0.00017375126481056213,0.00043127540266141295
7,21.0,-597.9862670898438,-598.0208740234375,-0.03460693359375,0.0011976398527622223,0.03460693359375,0.00033337538479827344,0.0002674335555639118,0.0006008089403621852
8,22.0,-663.8435668945312,-663.85888671875,-0.01531982421875,0.00023469701409339905,0.01531982421875,0.00026819659979082644,0.00011278707825113088,0.00038098369259387255
9,23.0,-723.9738159179688,-723.9677734375,0.00604248046875,3.651157021522522e-05,0.00604248046875,0.00021998390730004758,9.868703637039289e-05,0.00031867093639448285
10,22.0,-546.2630615234375,-546.2913208007812,-0.02825927734375,0.0007985867559909821,0.02825927734375,0.0003439340798649937,0.00021844562434125692,0.0005623797187581658
11,23.0,-611.5162353515625,-611.4996948242188,0.01654052734375,0.00027358904480934143,0.01654052734375,0.0002319526392966509,8.637849532533437e-05,0.00031833112007007003
12,24.0,-671.2863159179688,-671.2923583984375,-0.00604248046875,3.651157021522522e-05,0.00604248046875,0.00018586342048365623,0.000139021867653355,0.00032488530268892646
13,24.0,-624.7723999023438,-624.7730712890625,-0.00067138671875,4.507601261138916e-07,0.00067138671875,0.00025882627232931554,0.00010924171510851011,0.00036806799471378326
14,24.0,-563.445556640625,-563.47314453125,-0.027587890625,0.0007610917091369629,0.027587890625,0.00022419460583478212,9.157788008451462e-05,0.00031577248591929674
15,25.0,-622.7860717773438,-622.7968139648438,-0.0107421875,0.00011539459228515625,0.0107421875,0.0002158488641725853,0.00019286703900434077,0.0004087159177288413
16,26.0,-634.6435546875,-634.6520385742188,-0.00848388671875,7.197633385658264e-05,0.00848388671875,0.0001787395594874397,0.00010707006003940478,0.0002858096268028021
17,23.0,-547.3438720703125,-547.3737182617188,-0.02984619140625,0.0008907951414585114,0.02984619140625,0.0014584680320695043,0.00012815743684768677,0.001586625468917191
18,24.0,-609.7899780273438,-609.8326416015625,-0.04266357421875,0.0018201805651187897,0.04266357421875,0.0003021505835931748,0.00014475415810011327,0.0004469047416932881
19,25.0,-667.259765625,-667.3158569335938,-0.05609130859375,0.0031462348997592926,0.05609130859375,0.0024570359382778406,9.892545494949445e-05,0.002555961487814784
20,26.0,-720.1127319335938,-720.2319946289062,-0.1192626953125,0.01422359049320221,0.1192626953125,0.0012440342688933015,0.0007819471647962928,0.0020259814336895943
21,25.0,-563.7022094726562,-563.7659301757812,-0.063720703125,0.004060328006744385,0.063720703125,0.0005672164843417704,0.00015867948241066188,0.0007258959813043475
22,25.0,-563.8202514648438,-563.9572143554688,-0.136962890625,0.018758833408355713,0.136962890625,0.0007165470160543919,7.841363549232483e-05,0.0007949606515467167
23,26.0,-620.91943359375,-620.93798828125,-0.0185546875,0.00034427642822265625,0.0185546875,0.00013744813622906804,3.612767977756448e-05,0.00017357581236865371
24,27.0,-673.4961547851562,-673.5555419921875,-0.05938720703125,0.0035268403589725494,0.05938720703125,0.0005593639216385782,0.00033879000693559647,0.0008981539285741746
25,26.0,-577.9220581054688,-577.9471435546875,-0.02508544921875,0.000629279762506485,0.02508544921875,0.00023572715872433037,0.00014197845302987844,0.0003777056117542088
26,26.0,-578.0374755859375,-578.0359497070312,0.00152587890625,2.3283064365386963e-06,0.00152587890625,0.00023190956562757492,0.00012037921987939626,0.00035228877095505595
27,27.0,-632.20068359375,-632.21044921875,-0.009765625,9.5367431640625e-05,0.009765625,0.0002881879627238959,0.00012972690456081182,0.00041791488183662295
28,26.0,-521.368408203125,-521.3670654296875,0.0013427734375,1.8030405044555664e-06,0.0013427734375,0.0002452000044286251,0.00017900690727401525,0.0004242068971507251
29,27.0,-577.67724609375,-577.7055053710938,-0.02825927734375,0.0007985867559909821,0.02825927734375,0.0002598899300210178,0.00013862046762369573,0.0003985103976447135
30,27.0,-619.0122680664062,-619.0406494140625,-0.02838134765625,0.0008055008947849274,0.02838134765625,0.00020782211504410952,0.00012756287469528615,0.00033538497518748045
31,26.0,-464.7734375,-464.7709045410156,0.002532958984375,6.4158812165260315e-06,0.002532958984375,0.0004118609649594873,0.00016687740571796894,0.0005787383997812867
32,27.0,-523.0660400390625,-523.2243041992188,-0.15826416015625,0.02504754438996315,0.15826416015625,0.0019481268245726824,0.00028080883203074336,0.0022289357148110867
33,29.0,-628.239501953125,-628.292724609375,-0.05322265625,0.002832651138305664,0.05322265625,0.0006011458463035524,0.00013252627104520798,0.0007336721173487604
34,34.0,-771.32958984375,-771.3259887695312,0.00360107421875,1.2967735528945923e-05,0.00360107421875,0.0001219683836097829,7.255449600052088e-05,0.00019452287233434618
35,34.0,-771.2910766601562,-771.3051147460938,-0.0140380859375,0.00019706785678863525,0.0140380859375,0.00011791309952968732,5.867574509466067e-05,0.00017658884462434798
36,26.0,-408.2227783203125,-408.2315368652344,-0.008758544921875,7.671210914850235e-05,0.008758544921875,0.0002518078254070133,0.0001078022614819929,0.00035961007233709097
37,28.0,-485.0813293457031,-485.2684631347656,-0.1871337890625,0.035019055008888245,0.1871337890625,0.0003913012915290892,0.0017193816602230072,0.0021106828935444355
38,29.0,-538.7460327148438,-539.0233154296875,-0.27728271484375,0.07688570022583008,0.2772827081262553,0.0063440534286201,0.0005447218427434564,0.0068887751549482346
39,31.0,-636.4154663085938,-636.434814453125,-0.01934814453125,0.0003743506968021393,0.01934814453125,0.00012243461969774216,9.319670789409429e-05,0.00021563132759183645
40,35.0,-797.505615234375,-797.51025390625,-0.004638671875,2.1517276763916016e-05,0.004638671875,0.00010144770203623921,7.113422907423228e-05,0.0001725819311104715
41,35.0,-797.4868774414062,-797.4913330078125,-0.00445556640625,1.985207200050354e-05,0.00445556640625,0.00012024336319882423,2.8222426408319734e-05,0.00014846578415017575
42,35.0,-797.502685546875,-797.5040893554688,-0.00140380859375,1.9706785678863525e-06,0.00140380859375,0.00015170546248555183,6.691888120258227e-05,0.0002186243364121765
43,34.0,-728.005126953125,-728.0183715820312,-0.01324462890625,0.00017542019486427307,0.01324462890625,0.00018198692123405635,2.518910878279712e-05,0.00020717602455988526
44,27.0,-468.36187744140625,-468.64605712890625,-0.2841796875,0.08075809478759766,0.2841796875,0.015245020389556885,0.0019899518229067326,0.01723497174680233
45,27.0,-468.3499755859375,-468.64697265625,-0.2969970703125,0.08820725977420807,0.2969970703125,0.011958441697061062,0.0005568147753365338,0.012515256181359291
46,28.0,-525.1221313476562,-525.13623046875,-0.01409912109375,0.0001987852156162262,0.01409912109375,0.0001991798635572195,0.00014471114263869822,0.0003438910061959177
47,28.0,-432.7991027832031,-432.8006896972656,-0.0015869140625,2.518296241760254e-06,0.0015869140625,0.00021540108718909323,5.92181459069252e-05,0.00027461923309601843
48,28.0,-432.6701354980469,-432.6631774902344,0.0069580078125,4.8413872718811035e-05,0.0069580078125,0.00036442166310735047,0.00012700031220447272,0.000491421960759908
49,34.0,-684.6823120117188,-684.7033081054688,-0.02099609375,0.00044083595275878906,0.02099609375,0.00015031012299004942,5.497820529853925e-05,0.00020528832101263106
50,36.0,-760.2944946289062,-760.3219604492188,-0.0274658203125,0.0007543712854385376,0.0274658203125,0.00012614733714144677,7.149018347263336e-05,0.00019763752061408013
51,35.0,-681.5530395507812,-681.5529174804688,0.0001220703125,1.4901161193847656e-08,0.0001220703125,0.00012526274076662958,4.596803410095163e-05,0.0001712307712296024
52,37.0,-725.1795043945312,-725.1868286132812,-0.00732421875,5.364418029785156e-05,0.00732421875,9.386702731717378e-05,6.133504211902618e-05,0.00015520206943619996
53,29.0,-437.5097961425781,-437.5376892089844,-0.02789306640625,0.0007780231535434723,0.02789306640625,0.00029239512514322996,9.181750647258013e-05,0.0003842126461677253
54,30.0,-491.1014709472656,-491.110107421875,-0.008636474609375,7.458869367837906e-05,0.008636474609375,0.00026796606834977865,8.11544741736725e-05,0.0003491205279715359
55,31.0,-541.2398071289062,-541.2584838867188,-0.0186767578125,0.0003488212823867798,0.0186767578125,0.00039186925278045237,0.00013258848048280925,0.0005244577187113464
56,31.0,-541.2742309570312,-541.3023681640625,-0.02813720703125,0.0007917024195194244,0.02813720703125,0.00019486091332510114,0.00012616273306775838,0.0003210236318409443
57,32.0,-588.3016357421875,-588.2954711914062,0.00616455078125,3.8001686334609985e-05,0.00616455078125,0.00016051136481110007,6.240718357730657e-05,0.00022291854838840663
58,36.0,-647.5804443359375,-647.5917358398438,-0.01129150390625,0.000127498060464859,0.01129150390625,0.00010587134602246806,9.308270819019526e-05,0.0001989540469367057
60,37.0,-685.3289184570312,-685.3342895507812,-0.00537109375,2.8848648071289062e-05,0.00537109375,0.00010961927910102531,6.161593046272174e-05,0.00017123520956374705
