uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,334.0,334.0,0.0,334.0,334.0,5,334.0000000000001,334.0000000000001,334.0000000000001,5,0.0072772574858399105,0.0072772574858399105,0.00013829825599696733,0.007105565049603312,0.007448949922076509,5,0.007276212935521925,0.007107354329659822,0.007449083333599693,5,0.006247417303547664,0.006247417303547664,0.0005141169276611425,0.005609159162226258,0.00688567544486907,5,0.0062304975939873235,0.005624859105633994,0.00690134624524189,5,5.2973777641302456e-05,5.2973777641302456e-05,2.0227931401671633e-06,5.04625508746714e-05,5.548500440793351e-05,5,5.294327468305659e-05,5.0514485567334216e-05,5.54888425109127e-05,5,3.9241675936912954e-05,3.9241675936912954e-05,6.443512266975978e-06,3.12422813598637e-05,4.7241070513962207e-05,5,3.881910026868182e-05,3.1639039958233655e-05,4.762857999671434e-05,5,0.38201015185720616,0.38201015185720616,0.2497183017259488,0.07199363511144058,0.6920266686029717,5,0.29642646704081255,0.0974472303056237,0.9017049544324198,5,1.3380835771985045e-05,1.3380835771985045e-05,7.41055250874445e-06,4.180894638139741e-06,2.258077690583035e-05,5,1.1902050715596597e-05,6.0728367217209405e-06,2.3326629337811295e-05,5,5.1343088905190894e-05,5.1343088905190894e-05,5.741922693407284e-06,4.4214693186774e-05,5.847148462360779e-05,5,5.1086653646297846e-05,4.4460316648169956e-05,5.870057564882912e-05,5
aleatoric,1,334.0,334.0,0.0,334.0,334.0,5,334.0000000000001,334.0000000000001,334.0000000000001,5,0.008540345576645037,0.008540345576645037,0.0005991539201208496,0.007796516990487649,0.009284174162802425,5,0.008524176985799986,0.007832378706401955,0.009277078651195798,5,0.008358217549572958,0.008358217549572958,0.001277873993843466,0.006771781787062784,0.009944653312083131,5,0.008276680379841644,0.006799749536150062,0.010074406085969082,5,7.322469090451737e-05,7.322469090451737e-05,1.0560668162938982e-05,6.011399162555443e-05,8.633539018348031e-05,5,7.266159328524214e-05,6.134615620049878e-05,8.606418830047285e-05,5,7.116617016130256e-05,7.116617016130256e-05,2.080613470399489e-05,4.533608336632486e-05,9.699625695628026e-05,5,6.850343811005563e-05,4.623659375437298e-05,0.00010149365798501089,5,0.1994448358623836,0.1994448358623836,0.1559096297377007,0.005888496561917145,0.39300117516285005,5,0.06296495679226538,0.0017524240911687237,2.2623438035525942,5,5.1343088905190894e-05,5.1343088905190894e-05,5.741922693407284e-06,4.4214693186774e-05,5.847148462360779e-05,5,5.1086653646297846e-05,4.4460316648169956e-05,5.870057564882912e-05,5,8.196389533706526e-05,8.196389533706526e-05,2.6081028793972367e-05,4.958521246132335e-05,0.00011434257821280717,5,7.833612896240067e-05,5.102885233801772e-05,0.00012025645923143745,5
aleatoric,2,334.0,334.0,0.0,334.0,334.0,5,334.0000000000001,334.0000000000001,334.0000000000001,5,0.010419271966761751,0.010419271966761751,0.0008280346802769095,0.009391295941176494,0.011447247992347009,5,0.010393346197243735,0.009426688989536665,0.011459129000188882,5,0.009639564273514799,0.009639564273514799,0.0006100163187473085,0.008882250400286324,0.010396878146743274,5,0.009624157221237753,0.008897643578062907,0.010409992421753975,5,0.00010910974146274034,0.00010910974146274034,1.7474854235828252e-05,8.741532257798898e-05,0.0001308041603474917,5,0.00010802164517576081,8.886246530545178e-05,0.00013131163744296983,5,9.321889531053331e-05,9.321889531053331e-05,1.180632630207258e-05,7.856175512323032e-05,0.0001078760354978363,5,9.262440221910279e-05,7.916806124224409e-05,0.00010836794222097519,5,0.17115831334284332,0.17115831334284332,0.12187657508684738,0.019852818230219837,0.3224638084554668,5,0.136884071628553,0.05269288462342263,0.3555935341084343,5,8.196389533706526e-05,8.196389533706526e-05,2.6081028793972367e-05,4.958521246132335e-05,0.00011434257821280717,5,7.833612896240067e-05,5.102885233801772e-05,0.00012025645923143745,5,0.00010195909263604615,0.00010195909263604615,1.3503596929180433e-05,8.519485046961658e-05,0.00011872333480247572,5,0.00010126321212237722,8.616308116614699e-05,0.00011900964996328846,5
aleatoric,3,333.8,333.8,0.4472135954999579,333.2448,334.3552,5,333.7997600478609,333.24452289967473,334.35592230739786,5,0.010789501793467103,0.010789501793467103,0.0008184401736968986,0.009773437011428156,0.011805566575506049,5,0.010764659879831924,0.00979620724738597,0.011828853698392714,5,0.010381641870642696,0.010381641870642696,0.0005218621202038232,0.00973376834431742,0.01102951539696797,5,0.010371234616049066,0.00974727432289265,0.011035136992965397,5,0.00011694922440556663,0.00011694922440556663,1.7687155583576992e-05,9.499124084063526e-05,0.00013890720797049802,5,0.00011587790232846305,9.596567643373743e-05,0.00013992177981797898,5,0.00010799635998828444,0.00010799635998828444,1.09153369487209e-05,9.444535184606794e-05,0.00012154736813050093,5,0.00010756250746113442,9.500935672572236e-05,0.00012177424845351337,5,0.17023354087060033,0.17023354087060033,0.0984511525112861,0.048009886616173336,0.2924571951250273,5,0.0984924528270336,0.01210029704720403,0.8016962910945195,5,0.00010195909263604615,0.00010195909263604615,1.3503596929180433e-05,8.519485046961658e-05,0.00011872333480247572,5,0.00010126321212237722,8.616308116614699e-05,0.00011900964996328846,5,0.00011469358551482369,0.00011469358551482369,1.4130218660570336e-05,9.715141443753722e-05,0.00013223575659211014,5,0.00011400007687422078,9.783313233190844e-05,0.00013283861221204688,5
aleatoric,4,333.8,333.8,0.4472135954999579,333.2448,334.3552,5,333.7997600478609,333.24452289967473,334.35592230739786,5,0.01162411873647263,0.01162411873647263,0.0012109946169237631,0.010120711375691408,0.013127526097253853,5,0.01157489790465907,0.01019219524603756,0.013145182001430748,5,0.011412244531953247,0.011412244531953247,0.000915844745367997,0.010275255389081002,0.012549233674825492,5,0.011381831212005682,0.010275063269541784,0.012607813532652225,5,0.00013629334276938872,0.00013629334276938872,2.8893022511550237e-05,0.00010042366827865827,0.0001721630172601192,5,0.00013397826150328095,0.00010388084393335063,0.00017279580985073888,5,0.00013091034253519132,0.00013091034253519132,2.043046873363621e-05,0.00010554663187198119,0.00015627405319840144,5,0.00012954608173858673,0.0001055769251930867,0.0001589569620741286,5,0.2518060724460123,0.2518060724460123,0.19200434062753852,0.013439415016387263,0.4901727298756373,5,0.17554065748076933,0.04572389465879811,0.673926021803821,5,0.00011469358551482369,0.00011469358551482369,1.4130218660570336e-05,9.715141443753722e-05,0.00013223575659211014,5,0.00011400007687422078,9.783313233190844e-05,0.00013283861221204688,5,0.00013595985212581964,0.00013595985212581964,2.0989283267848927e-05,0.0001099023928098029,0.00016201731144183638,5,0.0001345857665951083,0.00011008977051244765,0.00016453234924261134,5
aleatoric,5,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.012144121908611031,0.012144121908611031,0.001205491961509719,0.01064754590160934,0.013640697915612721,5,0.012091794787328773,0.010597182737819814,0.013797204860595972,5,0.01177494007227373,0.01177494007227373,0.0007007855470340393,0.010904939384395861,0.012644940760151598,5,0.011757995469733197,0.010910745715509155,0.012671036524089213,5,0.0001486422656266181,0.0001486422656266181,2.7497590698566837e-05,0.00011450497080941315,0.00018277956044382307,5,0.00014621150117887126,0.00011230028197874624,0.0001903628619652531,5,0.00013904209401198307,0.00013904209401198307,1.6322111461618385e-05,0.0001187787648675287,0.00015930542315643743,5,0.00013825045746626664,0.00011904437206850138,0.0001605551665948034,5,0.14335246113424294,0.14335246113424294,0.12872380539426911,-0.01645363034873598,0.30315855261722185,5,0.09361962039556454,0.0232105768737139,0.377613765082056,5,0.00013595985212581964,0.00013595985212581964,2.0989283267848927e-05,0.0001099023928098029,0.00016201731144183638,5,0.0001345857665951083,0.00011008977051244765,0.00016453234924261134,5,0.00014902059390302743,0.00014902059390302743,1.882245881149699e-05,0.00012565317118310676,0.0001723880166229481,5,0.00014802019297591366,0.00012570284791990697,0.00017429977038059563,5
aleatoric,6,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.01274833647571417,0.01274833647571417,0.0016487216375632556,0.010701506365033411,0.01479516658639493,5,0.012664957562456907,0.010810320157550277,0.014837779799408165,5,0.012414197467873627,0.012414197467873627,0.0009253371214874962,0.011265423872841214,0.01356297106290604,5,0.012385541101228298,0.011259710802016102,0.013623940354022968,5,0.00016469470932855976,0.00016469470932855976,4.3158968807199993e-05,0.00011111436266005226,0.00021827505599706726,5,0.0001604011500588344,0.00011686302190873785,0.000220159709375725,5,0.00015479729780208212,0.00015479729780208212,2.2392518554784126e-05,0.00012699777107320987,0.00018259682453095438,5,0.0001534016283702155,0.0001267810873450381,0.0001856117507699755,5,0.15518368563223892,0.15518368563223892,0.22098362741926705,-0.11915974036762786,0.42952711163210566,5,0.07305139658759185,0.013323295800959796,0.40053952288691136,5,0.00014912179976506821,0.00014912179976506821,1.898095970002286e-05,0.00012555760374890823,0.0001726859957812282,5,0.0001481069347394513,0.00012564305588949037,0.00017458715853910497,5,0.0001585333436965326,0.0001585333436965326,2.4388727521201402e-05,0.0001282555935207281,0.0001888110938723371,5,0.00015688599760948292,0.00012772668670453036,0.00019270222128959106,5
aleatoric,7,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.014437148504807646,0.014437148504807646,0.0013661079697869733,0.012741173354549051,0.01613312365506624,5,0.014385190886834386,0.012783374318349045,0.016187722560359812,5,0.01295262541699806,0.01295262541699806,0.0006351763735920306,0.012164076217763511,0.013741174616232608,5,0.012940128997624476,0.012173933840091022,0.013754546449375963,5,0.00020992425773796197,0.00020992425773796197,3.9416785630581535e-05,0.00016098970028643003,0.0002588588151894939,5,0.00020693371685066308,0.00016341465896302593,0.00026204236169118203,5,0.0001680932644135198,0.0001680932644135198,1.6428869184225407e-05,0.00014769739929925628,0.00018848912952778332,5,0.00016744693847516184,0.00014820466514291336,0.0001891875480280409,5,0.31108958263686703,0.31108958263686703,0.25621416287591753,-0.006991317988889523,0.6291704832626236,5,0.24251398604653177,0.0933038109095057,0.6303390274725166,5,0.0001585333436965326,0.0001585333436965326,2.4388727521201402e-05,0.0001282555935207281,0.0001888110938723371,5,0.00015688599760948292,0.00012772668670453036,0.00019270222128959106,5,0.00020131329580527256,0.00020131329580527256,4.950534743264052e-05,0.0001398541425702842,0.0002627724490402609,5,0.0001966073689878379,0.00014563558350959996,0.00026541904532398727,5
aleatoric,8,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.01487201747902408,0.01487201747902408,0.001251673732631606,0.0133181084222563,0.016425926535791863,5,0.014829711879729889,0.013352813918194595,0.016469963243937482,5,0.014521664467885295,0.014521664467885295,0.0014318844825341186,0.012744030083102783,0.016299298852667805,5,0.014466747124043028,0.012830445324362515,0.016311730969587813,5,0.0002224302536027657,0.0002224302536027657,3.720454589348884e-05,0.00017624211422616006,0.00026861839297937136,5,0.0002199203544358018,0.0001782976395339313,0.00027125968925665163,5,0.0002125189734548999,0.0002125189734548999,4.2596128114999814e-05,0.0001596373737731878,0.00026540057313661195,5,0.0002092867723510072,0.0001646203272214559,0.0002660725672242102,5,0.1511535161806012,0.1511535161806012,0.19427805730038952,-0.09003588078438082,0.3923429131455832,5,0.07573731613354073,0.014807914024925548,0.3873699594322659,5,0.00020131329580527256,0.00020131329580527256,4.950534743264052e-05,0.0001398541425702842,0.0002627724490402609,5,0.0001966073689878379,0.00014563558350959996,0.00026541904532398727,5,0.0002309806761501118,0.0002309806761501118,4.4404323178169376e-05,0.00017585426569079033,0.00028610708660943324,5,0.00022747214874570889,0.00017807608195599732,0.00029057006357415124,5
aleatoric,9,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.01612708492636498,0.01612708492636498,0.0016378628159781237,0.014093735661983908,0.018160434190746054,5,0.01606086800613709,0.014161617119730338,0.01821483231255936,5,0.015972878585300256,0.015972878585300256,0.0013918396778960307,0.014244958421549445,0.017700798749051068,5,0.01592042622855595,0.014193425087268547,0.017857562198023997,5,0.0002622289439053596,0.0002622289439053596,5.328247249723884e-05,0.00019608062232449262,0.0003283772654862266,5,0.000257951481110558,0.00020055139944583943,0.00033178011617465654,5,0.0002566826244519161,0.0002566826244519161,4.206067904004038e-05,0.00020446576602451482,0.00030889948287931744,5,0.0002534599712988922,0.00020145331570790417,0.0003188925276562956,5,0.14739015722463839,0.14739015722463839,0.11729981418493982,0.0017665503155664397,0.29301376413371033,5,0.06930517377519076,0.006971457130634407,0.6889818042347047,5,0.0002309806761501118,0.0002309806761501118,4.4404323178169376e-05,0.00017585426569079033,0.00028610708660943324,5,0.00022747214874570889,0.00017807608195599732,0.00029057006357415124,5,0.00026938791208222637,0.00026938791208222637,3.929369385095601e-05,0.00022060616875963808,0.00031816965540481466,5,0.00026687083454687697,0.00021958855174914735,0.0003243340409344593,5
