metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.35295462788509113,0.35295462788509113,0.006712892193252625,0.3446208075737312,0.36128844819645106,5,0.35290341641161443,0.34465095501095233,0.3613534780747428,5
ause,epistemic,0.4045657406866462,0.4045657406866462,0.008076075540483866,0.39453957604139656,0.4145919053318958,5,0.404501189759152,0.39459190979235065,0.4146593187951401,5
ause,total,0.3472332929127032,0.3472332929127032,0.0073775051708200225,0.338074378890288,0.3563922069351184,5,0.3471708952692759,0.3381649926689722,0.356416640205139,5
ence,aleatoric,0.17669473633609512,0.17669473633609512,0.02556873856506471,0.1449520438192142,0.20843742885297603,5,0.1751670178686409,0.1456561983090157,0.2106569065045654,5
ence,epistemic,0.17271572112781958,0.17271572112781958,0.023951991444039544,0.1429801634803285,0.20245127877531066,5,0.17136073282497655,0.14380883715602047,0.20419121199384282,5
ence,total,0.19957317224077853,0.19957317224077853,0.042694824625497674,0.14656904430147366,0.2525773001800834,5,0.1955690582989768,0.14683756941141804,0.26047323390913124,5
rmse,ensemble,0.015597457543029098,0.015597457543029098,0.0002835623664095897,0.015245424806514005,0.01594949027954419,5,0.015595404195351477,0.015248439095799522,0.015950264186934723,5
spearman,aleatoric,0.30764648184681825,0.30764648184681825,0.014431005390578847,0.28973089458947576,0.32556206910416075,5,0.3073766017133208,0.2900226800803626,0.32576892005359653,5
spearman,epistemic,0.25075021696203875,0.25075021696203875,0.016873348490112166,0.22980254637246886,0.2716978875516086,5,0.2502949384443109,0.2301866753202685,0.27215978563345233,5
spearman,total,0.31177604402437803,0.31177604402437803,0.01601898245160095,0.29188903891849305,0.331663049130263,5,0.3114410680733934,0.291943544976153,0.33224073815579314,5
