metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.34865551346597307,0.34865551346597307,0.008537238689726771,0.33805683093880745,0.3592541959931387,5,0.3485714879433857,0.33809619149018744,0.35937134243226826,5
ause,epistemic,0.39628743857643534,0.39628743857643534,0.007506693325584458,0.3869681419890737,0.40560673516379697,5,0.3962308048456132,0.3870504452292572,0.4056289112795337,5
ause,total,0.34269420527163047,0.34269420527163047,0.007688001679603847,0.3331498207192238,0.35223858982403716,5,0.3426254413755695,0.3332366168793701,0.3522787927003207,5
ence,aleatoric,0.208109321969907,0.208109321969907,0.03299641406878037,0.16714543072123725,0.24907321321857676,5,0.2059277970942842,0.16794073158688202,0.2525072816785149,5
ence,epistemic,1.3505708336255275,1.3505708336255275,0.12763601479128714,1.1921151960394174,1.5090264712116377,5,1.3454681379422107,1.1902952475634754,1.5208701487494947,5
ence,total,0.43384582558620866,0.43384582558620866,0.03587560306517833,0.3893075221396872,0.4783841290327301,5,0.4326124909842548,0.3891850154493843,0.48088585101227344,5
rmse,ensemble,0.015597233801701521,0.015597233801701521,0.0002832617345745271,0.015245574289069839,0.015948893314333204,5,0.015595184781146756,0.015248584013772076,0.015949663794254693,5
spearman,aleatoric,0.31013940863628975,0.31013940863628975,0.016232229842571846,0.28998766437073165,0.33029115290184785,5,0.30979941703441505,0.29029292692679964,0.3306166630062767,5
spearman,epistemic,0.25467914493078975,0.25467914493078975,0.01595933441155596,0.23486619077542642,0.2744920990861531,5,0.25428249384281626,0.23535601490370225,0.27473097172119376,5
spearman,total,0.3149978540850135,0.3149978540850135,0.017485315791198837,0.2932904475460401,0.3367052606239869,5,0.31460421911982944,0.29343278260185895,0.33730319363222583,5
