uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.013626436598448616,0.013626436598448616,0.001157220166633481,0.012189788332430127,0.015063084864467105,5,0.01358669532212399,0.012214565516304302,0.015112964069808263,5,0.0074909752046185395,0.0074909752046185395,0.0007103726153146396,0.006609072507582298,0.008372877901654781,5,0.0074637809570633155,0.006628371381113012,0.008404481730422698,5,0.0001867511011827905,0.0001867511011827905,3.1449486752948986e-05,0.00014770766596316755,0.00022579453640241345,5,0.00018459828977622592,0.00014919561075209015,0.00022840168297531553,5,5.6518412918280944e-05,5.6518412918280944e-05,1.0603424556021564e-05,4.335463307629775e-05,6.968219276026413e-05,5,5.5708026175020975e-05,4.393530716595801e-05,7.063531315700891e-05,5,2.355291585756581,2.355291585756581,0.5932884271729354,1.618744803456344,3.0918383680568176,5,2.295830407274315,1.6766924201265034,3.143592226991563,5,1.1916239948376365e-05,1.1916239948376365e-05,7.987112296282323e-06,2.000520051850182e-06,2.183195984490255e-05,5,1.0254036596888149e-05,4.943080422908623e-06,2.1271202880500895e-05,5,8.662412573017492e-05,8.662412573017492e-05,2.2539550512199255e-05,5.8642063980949315e-05,0.00011460618747940053,5,8.382249578087216e-05,5.7664381036496865e-05,0.00012184663517826215,5
aleatoric,1,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.0184123202834722,0.0184123202834722,0.000917804245663977,0.017272898489680406,0.019551742077263994,5,0.018393901012235016,0.017284433605214325,0.019574583823552774,5,0.010387173193560546,0.010387173193560546,0.0005185919323614967,0.009743359490792356,0.011030986896328735,5,0.010377029082213662,0.009762451636327904,0.011030296137130205,5,0.00033968742992784883,0.00033968742992784883,3.36751596380574e-05,0.00029788089985098934,0.0003814939600047083,5,0.0003383355944478991,0.00029875164505306124,0.0003831643318652926,5,0.00010810851702687113,0.00010810851702687113,1.0955501172881879e-05,9.450764640847199e-05,0.00012170938764527028,5,0.00010768273257310812,9.530546195164135e-05,0.00012166743287278953,5,2.145875382005899,2.145875382005899,0.1734645336807089,1.9305252449156713,2.3612255190961267,5,2.140082587333631,1.9307915651590906,2.3720600210055482,5,8.662412573017492e-05,8.662412573017492e-05,2.2539550512199255e-05,5.8642063980949315e-05,0.00011460618747940053,5,8.382249578087216e-05,5.7664381036496865e-05,0.00012184663517826215,5,0.00013293991220547137,0.00013293991220547137,1.907541494194158e-05,0.00010925845331796543,0.0001566213710929773,5,0.00013180148384102876,0.00010964963966687652,0.0001584285292270292,5
aleatoric,2,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.023688413986197497,0.023688413986197497,0.003950499318942096,0.018784007581860315,0.02859282039053468,5,0.023414456715281848,0.018901387345116875,0.029005108104588034,5,0.012073044883976102,0.012073044883976102,0.0006470680146500904,0.011269732629275733,0.012876357138676471,5,0.012058637859465648,0.011260456253722117,0.012913397445833788,5,0.0005736261130766467,0.0005736261130766467,0.00018386459353251976,0.0003453646662949722,0.0008018875598583212,5,0.0005482367832718071,0.00035726244357014433,0.0008412962961588384,5,0.00014609337038296808,0.00014609337038296808,1.5208210687688598e-05,0.00012721290999722048,0.00016497383076871568,5,0.00014541074702573828,0.00012679787504198952,0.00016675583359406662,5,2.9401118417225987,2.9401118417225987,1.1837221859333316,1.4705622478747806,4.409661435570417,5,2.6851197892553014,1.4059433324557518,5.128135762098609,5,0.00013293991220547137,0.00013293991220547137,1.907541494194158e-05,0.00010925845331796543,0.0001566213710929773,5,0.00013180148384102876,0.00010964963966687652,0.0001584285292270292,5,0.00016109197616128427,0.00016109197616128427,1.9518164816037505e-05,0.00013686085882740832,0.00018532309349516022,5,0.00016009862150357282,0.00013691925175363074,0.00018720207917484902,5
aleatoric,3,333.0,333.0,0.0,333.0,333.0,5,333.0,333.0,333.0,5,0.028201962968931803,0.028201962968931803,0.0023474347810540225,0.025287704986715974,0.031116220951147633,5,0.028120554483930277,0.025275199321956997,0.03128622545804177,5,0.013661308958780215,0.013661308958780215,0.001124410512947011,0.01226539272754337,0.015057225190017062,5,0.01362416115422642,0.012296179567349125,0.015095564125398394,5,0.0007997590753420425,0.0007997590753420425,0.0001289262363582448,0.0006397016729142932,0.0009598164777697919,5,0.0007907655844836912,0.0006388357007646554,0.0009788279034114212,5,0.0001876428016685492,0.0001876428016685492,3.071945028537589e-05,0.00014950568112914847,0.0002257799222079499,5,0.00018561776715633217,0.0001511960319524941,0.00022787605626401497,5,3.395309491601629,3.395309491601629,1.2700921295457785,1.818534640793493,4.972084342409765,5,3.2226603764750443,2.0749318365329503,5.0052438924720075,5,0.00016109197616128427,0.00016109197616128427,1.9518164816037505e-05,0.00013686085882740832,0.00018532309349516022,5,0.00016009862150357282,0.00013691925175363074,0.00018720207917484902,5,0.00020302450238027253,0.00020302450238027253,5.2422824293671894e-05,0.00013794340390582027,0.0002681056008547248,5,0.00019785060700404884,0.00014471558593677348,0.0002704951400948136,5
aleatoric,4,332.6,332.6,0.5477225575051662,331.9200216474034,333.27997835259663,5,332.59963906135687,331.9201514590409,333.2805176711175,5,0.028262849239370624,0.028262849239370624,0.002410744586967545,0.025269994352684812,0.03125570412605644,5,0.028176219536168085,0.02523565419953037,0.03145943200335635,5,0.015299831296220973,0.015299831296220973,0.00124014556011829,0.013760234061463518,0.016839428530978428,5,0.015258736200216935,0.01377350232510543,0.016904126846766156,5,0.0008034379986982673,0.0008034379986982673,0.00013149540778376948,0.0006401910600180329,0.0009666849373785016,5,0.0007938993473503399,0.0006368382428782749,0.000989695861973802,5,0.00023531520650104765,0.00023531520650104765,3.745448125449963e-05,0.00018881678113620397,0.0002818136318658913,5,0.0002328290304278108,0.00018970936629968436,0.0002857495044515608,5,2.4322074333618993,2.4322074333618993,0.43589573930696823,1.8910581550339969,2.9733567116898016,5,2.4002678213288235,1.9120281014407297,3.013180407633883,5,0.00020302450238027253,0.00020302450238027253,5.2422824293671894e-05,0.00013794340390582027,0.0002681056008547248,5,0.00019785060700404884,0.00014471558593677348,0.0002704951400948136,5,0.0002693864782193754,0.0002693864782193754,3.92924795125635e-05,0.00022060624245532804,0.0003181667139834227,5,0.00026686954577846396,0.00021958862627710323,0.00032433079832709807,5
aleatoric,5,332.2,332.2,0.447213595499958,331.6448,332.7552,5,332.199759470705,331.64552324042063,332.7549219242531,5,0.034630592925832,0.034630592925832,0.0062837833228333966,0.02682949623301594,0.042431689618648065,5,0.0341886392113926,0.027413283985303686,0.04263856354289406,5,0.01648720041929682,0.01648720041929682,0.0010118233393774693,0.015231057216864989,0.017743343621728653,5,0.016461647032258133,0.015228199972991923,0.017795000295193247,5,0.001230866712673341,0.001230866712673341,0.00044815370923781156,0.000674499594427142,0.0017872338309195403,5,0.0011688630511267712,0.0007514881388589075,0.0018180471010014144,5,0.0002726468068421484,0.0002726468068421484,3.273957437647483e-05,0.00023200177306696094,0.0003132918406173359,5,0.000270985823014653,0.0002318980744174312,0.0003166620355059277,5,3.478354650824108,3.478354650824108,1.386785009077495,1.7567096812004206,5.199999620447795,5,3.265861020624085,1.998634265958903,5.3365682694900345,5,0.0002693864782193754,0.0002693864782193754,3.92924795125635e-05,0.00022060624245532804,0.0003181667139834227,5,0.00026686954577846396,0.00021958862627710323,0.00032433079832709807,5,0.0002774044715731582,0.0002774044715731582,2.3954455534975607e-05,0.00024766585484315833,0.0003071430883031581,5,0.00027657725183491134,0.00024842522841521635,0.00030791951655046384,5
aleatoric,6,332.2,332.2,0.447213595499958,331.6448,332.7552,5,332.199759470705,331.64552324042063,332.7549219242531,5,0.031249215742528636,0.031249215742528636,0.003166591105620106,0.027318003902077226,0.035180427582980046,5,0.031116580806365406,0.02734571327902072,0.035407436302708935,5,0.01784503373216799,0.01784503373216799,0.0010489439946077088,0.01654280653767686,0.019147260926659117,5,0.017820679241425795,0.016577188914360354,0.01915744643234876,5,0.0009845353239072536,0.0009845353239072536,0.00019420438495711465,0.0007434373885735766,0.0012256332592409306,5,0.000968241601079068,0.0007477880347384102,0.0012536865455303906,5,0.0003193254557052723,0.0003193254557052723,3.785854245972583e-05,0.0002723254025200785,0.00036632550889046614,5,0.0003175766086257843,0.00027480319230239184,0.0003670077538083122,5,2.06946751498392,2.06946751498392,0.39911112625326944,1.5739850441344039,2.5649499858334357,5,2.0387115110724183,1.6020393768870935,2.5944085303666724,5,0.0002774044715731582,0.0002774044715731582,2.3954455534975607e-05,0.00024766585484315833,0.0003071430883031581,5,0.00027657725183491134,0.00024842522841521635,0.00030791951655046384,5,0.00035305065987892585,0.00035305065987892585,5.8140740427003254e-05,0.00028087096898874754,0.00042523035076910416,5,0.00034912329403925064,0.00028320162634851793,0.00043038974038524274,5
aleatoric,7,332.0,332.0,0.0,332.0,332.0,5,331.9999999999999,331.9999999999999,331.9999999999999,5,0.03933581680052871,0.03933581680052871,0.005398928882619045,0.03263323587322241,0.04603839772783501,5,0.039046494334877474,0.03301071290059314,0.046185876822315584,5,0.01920552297005352,0.01920552297005352,0.0011982533015227948,0.017717933505646197,0.020693112434460842,5,0.01917588186793105,0.017755020190199804,0.020710449296803008,5,0.0015706252298284186,0.0015706252298284186,0.00043721426739882683,0.0010278390451006077,0.0021134114145562296,5,0.0015246287198436188,0.0010897071662053866,0.002133135217846108,5,0.00037000076133294156,0.00037000076133294156,4.637909400541207e-05,0.0003124227421248757,0.00042757878054100744,5,0.00036771444541284674,0.0003152407419544027,0.0004289227100754482,5,3.236470844127939,3.236470844127939,0.9690081835541253,2.0334811565988598,4.4394605316570175,5,3.116657702845203,2.118649213070339,4.584786937252103,5,0.0003539636141683416,0.0003539636141683416,5.926650091699165e-05,0.0002803863310977583,0.00042754089723892494,5,0.00034989888392036265,0.0002828942490338492,0.00043277383469915063,5,0.00039895566923857606,0.00039895566923857606,6.06659013514251e-05,0.00032364107959007243,0.0004742702588870797,5,0.0003952653411624666,0.00032704396624129976,0.000477717695635479,5
aleatoric,8,332.0,332.0,0.0,332.0,332.0,5,331.9999999999999,331.9999999999999,331.9999999999999,5,0.0395959944827539,0.0395959944827539,0.004722549292610152,0.033733115103324565,0.04545887386218324,5,0.039381475340440404,0.03413186330746302,0.04543849792257333,5,0.020324004643653987,0.020324004643653987,0.0010807266817065937,0.018982320357395395,0.02166568892991258,5,0.020301165883545715,0.019009669238296795,0.02168040543288099,5,0.0015856847565351843,0.0015856847565351843,0.0003907715411253503,0.0011005555882453646,0.0020708139248250042,5,0.0015509005999897155,0.0011649840928393406,0.002064657093459701,5,0.0004139995408837109,0.0004139995408837109,4.4217387979386486e-05,0.00035910520391993744,0.00046889387784748433,5,0.0004121373362312405,0.0003613675245494475,0.0004700399797340956,5,2.7972284730020287,2.7972284730020287,0.5810740912082775,2.0758453605808276,3.51861158542323,5,2.7513009293396435,2.1427926039366687,3.532612904243957,5,0.00039895566923857606,0.00039895566923857606,6.06659013514251e-05,0.00032364107959007243,0.0004742702588870797,5,0.0003952653411624666,0.00032704396624129976,0.000477717695635479,5,0.00043676817302642563,0.00043676817302642563,2.8128243470460944e-05,0.0004018479449029016,0.00047168840114994963,5,0.00043606050932333264,0.00040310130524386805,0.00047171459213283406,5
aleatoric,9,332.0,332.0,0.0,332.0,332.0,5,331.9999999999999,331.9999999999999,331.9999999999999,5,0.04739229074186981,0.04739229074186981,0.007322279109741212,0.03830193793811946,0.056482643545620166,5,0.04695431538133066,0.03891133646154725,0.05665977921648075,5,0.021726851141969296,0.021726851141969296,0.0010812426724713076,0.020384526271266374,0.023069176012672218,5,0.02170580196194087,0.020425751911244145,0.02306607075510586,5,0.002288921838850681,0.002288921838850681,0.0007188203303548207,0.0013965315997595843,0.0031813120779417775,5,0.0022047077329294647,0.0015140921052237367,0.003210330580860344,5,0.0004729913291187107,0.0004729913291187107,4.783332424224532e-05,0.00041360793405531733,0.0005323747241821041,5,0.0004711418388109962,0.0004172113411396938,0.0005320436200795499,5,3.761046004176292,3.761046004176292,0.9951852418141478,2.5255584165560565,4.996533591796528,5,3.657690538368961,2.636291841508015,5.074817538721707,5,0.00043676817302642563,0.00043676817302642563,2.8128243470460944e-05,0.0004018479449029016,0.00047168840114994963,5,0.00043606050932333264,0.00040310130524386805,0.00047171459213283406,5,0.0005114857825247719,0.0005114857825247719,7.601064894937377e-05,0.0004171212267032656,0.0006058503383462782,5,0.0005070203483856727,0.0004220459643242592,0.0006091034043856455,5
