config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-525.6405029296875,-525.6453247070312,-0.00482177734375,2.3249536752700806e-05,4.440885079040956e-05,0.00015311217317299814,4.9420765468052453e-05,0.0001115151317208074,8.797496411716565e-05,0.00019949009583797306
1,20.0,-525.4736938476562,-525.7057495117188,-0.2320556640625,0.053849831223487854,0.0014461725950241089,0.0005953760176408486,0.0024100318551063538,0.008115093223750591,0.00034866126952692866,0.008463754318654537
2,22.0,-613.2091674804688,-613.2465209960938,-0.037353515625,0.0013952851295471191,0.00014979656112931643,0.0003671855087471164,0.00022257628107938586,0.0001925065298564732,0.00018256324983667582,0.00037506979424506426
3,22.0,-613.2172241210938,-613.23828125,-0.02105712890625,0.0004434026777744293,0.00014979656112931643,0.00024149288587710436,0.00022257628107938586,0.0002302243810845539,0.00013239328109193593,0.00036261766217648983
4,23.0,-675.474609375,-675.4963989257812,-0.02178955078125,0.0004747845232486725,0.00014979656112931643,0.00024149288587710436,0.00022257628107938586,0.00021824408031534404,0.0001316392736043781,0.0003498833393678069
5,24.0,-686.0390625,-686.0391845703125,-0.0001220703125,1.4901161193847656e-08,0.00034323445398290204,0.0003671855087471164,0.0003410785169411106,0.0003351897175889462,0.0002479281392879784,0.0005831178277730942
6,21.0,-598.0975952148438,-598.1327514648438,-0.03515625,0.0012359619140625,0.0002704443425958992,0.00015311217317299814,0.00022257628107938586,0.0002743431832641363,8.711554255569354e-05,0.00036145871854387224
7,22.0,-663.79443359375,-663.870849609375,-0.076416015625,0.005839407444000244,0.0014461725950241089,0.0005953760176408486,0.0007614973932504654,0.0022683434654027224,0.000350436195731163,0.0026187796611338854
8,23.0,-723.851318359375,-723.8672485351562,-0.01593017578125,0.00025377050042152405,0.00034323445398290204,0.0003671855087471164,0.0003410785169411106,0.00031009441590867937,0.00020077991939615458,0.0005108743207529187
9,22.0,-546.2491455078125,-546.25390625,-0.0047607421875,2.2664666175842285e-05,0.00014979656112931643,0.00024149288587710436,0.00022257628107938586,0.00023729288659524173,0.00012033768143737689,0.0003576305753085762
10,23.0,-611.469970703125,-611.4817504882812,-0.01177978515625,0.00013876333832740784,0.00014979656112931643,0.00015311217317299814,0.00022257628107938586,0.00023524361313320696,0.00010802727047121152,0.0003432708908803761
11,24.0,-671.1885986328125,-671.2113647460938,-0.02276611328125,0.0005182959139347076,0.0005813103169202804,0.0004906432957134464,0.0006934127956628799,0.0007022556965239346,0.0002585262118373066,0.0009607819374650717
12,24.0,-671.1324462890625,-671.1781616210938,-0.04571533203125,0.0020898915827274323,0.0014461725950241089,0.0005953760176408486,0.0007614973932504654,0.0022556509356945753,0.0003808433248195797,0.0026364943478256464
13,24.0,-624.5414428710938,-624.64453125,-0.10308837890625,0.01062721386551857,0.0014461725950241089,0.0007930018193686958,0.0018048349239388728,0.003518132958561182,0.0005044480785727501,0.004022581037133932
14,25.0,-681.5875244140625,-681.6068725585938,-0.01934814453125,0.0003743506968021393,0.00012114778574970033,0.00015311217317299814,0.00010732008135675835,0.00016839556337799877,0.0001081122100003995,0.0002765077806543559
15,24.0,-563.2901000976562,-563.4987182617188,-0.2086181640625,0.043521538376808167,0.0014461725950241089,0.00015311217317299814,0.0007614973932504654,0.0027034038212150335,9.22668696148321e-05,0.00279567064717412
