uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,23,0.0031936054822165136,0.004595107277888151,1.019911597604337e-05,2.1115010895300657e-05,0.5169732079885747,1.930917460413184e-05,2.1849582481081598e-05
aleatoric,1,23,0.0032303585515821394,0.004708797170261705,1.0435216371779857e-05,2.217277079066464e-05,0.5293679590025178,2.191985367971938e-05,2.2537942641065456e-05
aleatoric,2,23,0.0032236689457804534,0.004785466912929515,1.0392041471989259e-05,2.2900693574743144e-05,0.5462128062596979,2.268911339342594e-05,2.3110556867322885e-05
aleatoric,3,23,0.0036256314063577238,0.0048406789584929414,1.3145203094767487e-05,2.3432172779196307e-05,0.4390104913173848,2.3123351638787426e-05,2.3662949388381094e-05
aleatoric,4,23,0.003249955430969146,0.004887116123890674,1.0562210303285848e-05,2.3883904008392204e-05,0.5577686838979694,2.370058609812986e-05,2.4071732696029358e-05
aleatoric,5,23,0.004140463955777417,0.004932660984702905,1.714344176909198e-05,2.4331144390010234e-05,0.2954116134327553,2.408130058029201e-05,2.455878166074399e-05
aleatoric,6,23,0.0030644278190562215,0.004986388425791379,9.39071785820567e-06,2.4864069532866225e-05,0.6223177446558907,2.4622166165499948e-05,2.5062659915420227e-05
aleatoric,7,23,0.0033895543551413234,0.0050349380839448035,1.1489078726457512e-05,2.535060150915777e-05,0.5467926580634727,2.507307544874493e-05,2.5602692403481342e-05
aleatoric,8,23,0.003651889417107059,0.005098483387533985,1.3336296314778535e-05,2.599453285296002e-05,0.4869576464321836,2.5604005713830702e-05,2.628390211611986e-05
aleatoric,9,23,0.0038424021541153025,0.00515185204779157,1.4764054313949917e-05,2.65415795223342e-05,0.44373867043119025,2.6297595468349755e-05,2.681703153939452e-05
aleatoric,10,23,0.003490800447766524,0.005236738527886367,1.2185687766126964e-05,2.7423430409449477e-05,0.5556468470870786,2.687117739696987e-05,2.7935666366829537e-05
aleatoric,11,23,0.004183561063926912,0.005342619886955864,1.7502183175605275e-05,2.8543587256496288e-05,0.38682608397015966,2.8111482606618665e-05,2.9029837605776265e-05
aleatoric,12,23,0.0032097417600904237,0.005454208885951188,1.030244216646837e-05,2.97483945715889e-05,0.6536807342098494,2.9047698262729682e-05,3.0350447559612803e-05
aleatoric,13,22,0.0038397765682470987,0.005696404565818222,1.4743884094059467e-05,3.2449024977474686e-05,0.5456293646944921,3.0419030736084096e-05,3.462279346422292e-05
aleatoric,14,22,0.013826987035913084,0.010090167445649828,0.0001911855704913085,0.00010181147908125158,0.8778390434612106,3.5466724511934444e-05,0.0006473442772403359
epistemic,0,23,0.0032629386018155557,0.0007433456728472793,1.0646768319218054e-05,5.525627893407743e-07,18.267979177389055,1.9251601202086022e-07,7.326365221160813e-07
epistemic,1,23,0.0031820306071872655,0.0009039010681998978,1.0125318785076557e-05,8.170371410929163e-07,11.392727669065746,7.343711558860377e-07,9.092502182284079e-07
epistemic,2,23,0.003950179102002247,0.0009893029453212398,1.5603914937895276e-05,9.7872031762128e-07,14.94318076058709,9.132199920713902e-07,1.052871766660246e-06
epistemic,3,23,0.004522566213223473,0.0010626826556543983,2.045360515299051e-05,1.1292944266286846e-06,17.111844591362456,1.0601012263578014e-06,1.1925701528525678e-06
epistemic,4,23,0.0030961073225818465,0.0011194163709790446,9.58588055294493e-06,1.253093011615894e-06,6.649775766113087,1.206283968713251e-06,1.2941193290316733e-06
epistemic,5,23,0.0040516410739743864,0.0011741105473835256,1.641579539231632e-05,1.3785355774772419e-06,10.90814053733577,1.2990319646632997e-06,1.4719669252372114e-06
epistemic,6,23,0.003629255117976339,0.0012359506541563142,1.3171492711357448e-05,1.5275740195094207e-06,7.622490657171207,1.4727236248290865e-06,1.5825614809727995e-06
epistemic,7,23,0.003690418072091289,0.0012932487624468312,1.3619185546817986e-05,1.6724923615702605e-06,7.14304798021994,1.5837489399928018e-06,1.7620623111724854e-06
epistemic,8,23,0.0033136387924867917,0.001344657603898306,1.0980202047073323e-05,1.8081040717215333e-06,5.07277104166844,1.7623533494770527e-06,1.8781981907523004e-06
