config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,48.0,-156.03668212890625,-156.0376434326172,-0.0009613037109375,9.241048246622086e-07,0.0009613037109375,2.919025246228557e-05,4.449940661288565e-06,3.364019357832149e-05
1,48.0,-156.03651428222656,-156.0362091064453,0.00030517578125,9.313225746154785e-08,0.00030517578125,2.7824647986562923e-05,1.3874494015908567e-06,2.9212096706032753e-05
2,48.0,-156.0232696533203,-156.03855895996094,-0.015289306640625,0.00023376289755105972,0.015289306640625,3.1421997846337035e-05,1.1657108188956045e-05,4.3079104216303676e-05
3,48.0,-156.0347442626953,-156.03880310058594,-0.004058837890625,1.64741650223732e-05,0.004058837890625,3.068771547987126e-05,1.38930045068264e-06,3.20770159305539e-05
4,48.0,-156.0460968017578,-156.04345703125,0.0026397705078125,6.968388333916664e-06,0.0026397705078125,2.771124491118826e-05,8.016941137611866e-07,2.8512939024949446e-05
5,48.0,-156.0613250732422,-156.0548858642578,0.006439208984375,4.146341234445572e-05,0.006439208984375,2.57857063843403e-05,1.0906253464781912e-06,2.687633241293952e-05
6,48.0,-156.04571533203125,-156.04556274414062,0.000152587890625,2.3283064365386963e-08,0.000152587890625,3.139968612231314e-05,8.985283557194634e-07,3.2298215955961496e-05
7,48.0,-156.03726196289062,-156.0430450439453,-0.0057830810546875,3.344402648508549e-05,0.0057830810546875,2.5434268536628224e-05,7.461640052497387e-07,2.6180432541877963e-05
8,48.0,-156.04310607910156,-156.0458221435547,-0.002716064453125,7.377006113529205e-06,0.002716064453125,3.945527714677155e-05,1.1743744607883855e-06,4.0629653085488826e-05
9,48.0,-156.05052185058594,-156.04612731933594,0.00439453125,1.9311904907226562e-05,0.00439453125,3.10224131681025e-05,1.899467292787449e-06,3.292188193881884e-05
10,48.0,-156.0415802001953,-156.0517578125,-0.0101776123046875,0.0001035837922245264,0.0101776123046875,2.884993409679737e-05,4.94212144985795e-06,3.379205736564472e-05
11,48.0,-156.0478973388672,-156.0488739013672,-0.0009765625,9.5367431640625e-07,0.0009765625,3.114914215984754e-05,2.6098919079231564e-06,3.375903543201275e-05
12,48.0,-156.0525665283203,-156.0488739013672,0.003692626953125,1.3635493814945221e-05,0.003692626953125,2.846471033990383e-05,2.89801982944482e-06,3.1362731533590704e-05
13,48.0,-156.05795288085938,-156.05857849121094,-0.0006256103515625,3.9138831198215485e-07,0.0006256103515625,2.8467755328165367e-05,1.608103048056364e-06,3.007585837622173e-05
14,48.0,-156.0510711669922,-156.0532989501953,-0.002227783203125,4.963018000125885e-06,0.002227783203125,2.450551255606115e-05,6.160815360090055e-07,2.512159335310571e-05
15,48.0,-156.04505920410156,-156.04493713378906,0.0001220703125,1.4901161193847656e-08,0.0001220703125,2.8237351216375828e-05,1.920305749081308e-06,3.0157656510709785e-05
16,48.0,-156.04689025878906,-156.04425048828125,0.0026397705078125,6.968388333916664e-06,0.0026397705078125,2.7435002266429365e-05,7.848255449971475e-07,2.8219827072462067e-05
17,48.0,-156.05235290527344,-156.04678344726562,0.0055694580078125,3.101886250078678e-05,0.0055694580078125,2.9676943086087704e-05,5.390494948187552e-07,3.0215993319870904e-05
18,48.0,-156.04429626464844,-156.04612731933594,-0.0018310546875,3.3527612686157227e-06,0.0018310546875,2.602158929221332e-05,1.6836099803185789e-06,2.7705198590410873e-05
