uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,23,0.003677425972478828,0.0019277171701361138,1.3523461783061856e-05,3.7160934880375862e-06,2.6391608086812144,3.7160934880375862e-06,3.7160934880375862e-06
aleatoric,1,23,0.003564450171391602,0.0020392279638078987,1.2705305024333622e-05,4.158450688376109e-06,2.055297748233031,3.7160934880375862e-06,5.043486246874859e-06
aleatoric,2,23,0.0034804628457118115,0.002526948574620479,1.211362162038036e-05,6.385469098776471e-06,0.8970605656366685,5.292359698531557e-06,7.20837851986289e-06
aleatoric,3,23,0.004719598935216135,0.0033901445205851252,2.2274614109293275e-05,1.149307987045335e-05,0.9380892119750528,7.20837851986289e-06,1.2135785073041917e-05
aleatoric,4,23,0.004689178434090819,0.003934926307579062,2.1988394386742424e-05,1.548364504607779e-05,0.4201045245681585,1.2135785073041917e-05,1.768320604848365e-05
aleatoric,5,23,0.003950509674754991,0.004205140431481885,1.5606526690332785e-05,1.7683206048483658e-05,0.11743794380142669,1.768320604848365e-05,1.768320604848365e-05
aleatoric,6,23,0.003299411799229407,0.004205140431481885,1.0886118220894232e-05,1.7683206048483658e-05,0.38438096626557594,1.768320604848365e-05,1.768320604848365e-05
aleatoric,7,23,0.0038724556992615574,0.004205140431481885,1.4995913142743317e-05,1.7683206048483658e-05,0.15196864744845162,1.768320604848365e-05,1.768320604848365e-05
aleatoric,8,23,0.004806746009515301,0.004205140431481885,2.3104807199991267e-05,1.7683206048483658e-05,0.30659605145371893,1.768320604848365e-05,1.768320604848365e-05
aleatoric,9,23,0.002916078124643932,0.004205140431481885,8.50351162902687e-06,1.7683206048483658e-05,0.5191193494148054,1.768320604848365e-05,1.768320604848365e-05
aleatoric,10,23,0.004394545071345169,0.004205140431481885,1.931202638408412e-05,1.7683206048483658e-05,0.09211114382395237,1.768320604848365e-05,1.768320604848365e-05
aleatoric,11,23,0.0043836449574086,0.0047951048946742155,1.9216343112613845e-05,2.299303095092862e-05,0.1642535882448436,1.768320604848365e-05,6.34518510196358e-05
aleatoric,12,23,0.004476539909461518,0.007965667016617993,2.0039409561001737e-05,6.34518510196358e-05,0.6841792754824387,6.34518510196358e-05,6.34518510196358e-05
aleatoric,13,22,0.004248171040186263,0.009416677163136013,1.804695718667724e-05,8.867380879472731e-05,0.7964792825302622,6.34518510196358e-05,0.0001492366179221571
aleatoric,14,22,0.01964751717411274,0.013864479731074,0.00038602493110705507,0.0001922237982133618,1.0082057200772856,0.00015446900151431018,0.00020379043417051435
epistemic,0,23,0.0032447994056467562,0.0033720049716628253,1.0528723182885543e-05,1.1370417528918813e-05,0.07402492862663637,1.1370417528918811e-05,1.1370417528918811e-05
epistemic,1,23,0.0033912279029236258,0.0033720049716628253,1.1500426689567773e-05,1.1370417528918813e-05,0.011433982992999404,1.1370417528918811e-05,1.1370417528918811e-05
epistemic,2,23,0.002656359627600502,0.0033720049716628253,7.0562464711458786e-06,1.1370417528918813e-05,0.37942063664773434,1.1370417528918811e-05,1.1370417528918811e-05
epistemic,3,23,0.0033911696934510235,0.00406642179000402,1.1500031889780708e-05,1.6535786174219502e-05,0.3045367321143704,1.1370417528918811e-05,1.73105914710146e-05
epistemic,4,23,0.0032671335066993368,0.004160599893166202,1.0674161350597506e-05,1.7310591471014607e-05,0.38337396683003844,1.73105914710146e-05,1.73105914710146e-05
epistemic,5,23,0.004209782520782631,0.004160599893166202,1.7722268872286964e-05,1.7310591471014607e-05,0.023781821780132842,1.73105914710146e-05,1.73105914710146e-05
epistemic,6,23,0.004197798701940533,0.004160599893166202,1.7621513942013617e-05,1.7310591471014607e-05,0.017961400771292456,1.73105914710146e-05,1.73105914710146e-05
epistemic,7,23,0.0031811826712697063,0.004160599893166202,1.0119923187986664e-05,1.7310591471014607e-05,0.4153912530989031,1.73105914710146e-05,1.73105914710146e-05
epistemic,8,23,0.0029037962430971515,0.004160599893166202,8.432032621425131e-06,1.7310591471014607e-05,0.5128974861694363,1.73105914710146e-05,1.73105914710146e-05
epistemic,9,23,0.004248635576778581,0.004160599893166202,1.8050904264268667e-05,1.7310591471014607e-05,0.04276646436337327,1.73105914710146e-05,1.73105914710146e-05
epistemic,10,23,0.00531695050673735,0.006379507198072627,2.8269962691094566e-05,4.069811209026046e-05,0.3053741011770445,1.73105914710146e-05,9.424502674776774e-05
epistemic,11,23,0.005399332898923834,0.009707987780573673,2.9152795753401257e-05,9.424502674776775e-05,0.6906701949226011,9.424502674776774e-05,9.424502674776774e-05
epistemic,12,23,0.004797407298408924,0.009707987780573673,2.301511678682721e-05,9.424502674776775e-05,0.7557948935764683,9.424502674776774e-05,9.424502674776774e-05
epistemic,13,22,0.01699735272487151,0.009707987780573673,0.000288909999653697,9.424502674776775e-05,2.0655198435766797,9.424502674776774e-05,9.424502674776774e-05
epistemic,14,22,0.011237029469952529,0.009707987780573673,0.00012627083130858162,9.424502674776775e-05,0.3398142657068365,9.424502674776774e-05,9.424502674776774e-05
total,0,23,0.0032091093491515093,0.00170536946470748,1.0298382814811623e-05,2.9082850111566766e-06,2.54105006053577,2.8687063604593277e-06,3.3653779009107212e-06
total,1,23,0.003447633456553193,0.0023337321902905067,1.188617645074492e-05,5.446305935998125e-06,1.182429079531057,3.5968147108681226e-06,6.207148544490337e-06
total,2,23,0.0036171433040137354,0.0027847192477369223,1.3083725681771403e-05,7.75466128871649e-06,0.6872078862824132,6.207148544490337e-06,1.0359566658735275e-05
total,3,23,0.0040640060777182825,0.0032633437799648073,1.6516145399731137e-05,1.0649412626234996e-05,0.5508973104341315,1.0359566658735275e-05,1.276604749315248e-05
total,4,23,0.004626113074765668,0.004025636500286293,2.140092218051786e-05,1.6205749232437273e-05,0.32057591867964846,1.5467806102201716e-05,1.6254140064120293e-05
total,5,23,0.0036813424409470005,0.004031642353200528,1.3552282167517621e-05,1.6254140064120293e-05,0.16622582837013972,1.6254140064120293e-05,1.6254140064120293e-05
total,6,23,0.003180729179389476,0.004031642353200528,1.011703811261965e-05,1.6254140064120293e-05,0.3775716172796986,1.6254140064120293e-05,1.6254140064120293e-05
total,7,23,0.004150911332659695,0.004031642353200528,1.7230064891602684e-05,1.6254140064120293e-05,0.06004161546735201,1.6254140064120293e-05,1.6254140064120293e-05
total,8,23,0.0042863926699765326,0.004031642353200528,1.837316212122855e-05,1.6254140064120293e-05,0.1303681430545703,1.6254140064120293e-05,1.6254140064120293e-05
total,9,23,0.0028392563039992768,0.004031642353200528,8.061376359799635e-06,1.6254140064120293e-05,0.5040416578177227,1.6254140064120293e-05,1.6254140064120293e-05
total,10,23,0.004227000703546671,0.004031642353200528,1.786753494778405e-05,1.6254140064120293e-05,0.09926055006903736,1.6254140064120293e-05,1.6254140064120293e-05
