uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.0038925931360461255,0.0038925931360461255,0.0004944449482897283,0.0032787570674365275,0.004506429204655723,5,0.0038666791201653035,0.0032886889953011853,0.004546251542692033,5,0.002888651807895126,0.002888651807895126,0.0014426127218869938,0.0010976986900762065,0.004679604925714046,5,0.0025290576150912352,0.0011681461123449622,0.005475455812296656,5,1.53478619683048e-05,1.53478619683048e-05,3.7968329365275616e-06,1.0634226990362142e-05,2.006149694624746e-05,5,1.4951207418322328e-05,1.0815475307815119e-05,2.0668403089429693e-05,5,1.000921443953594e-05,1.000921443953594e-05,8.025220003256308e-06,4.618516081554284e-08,1.997224371825634e-05,5,6.396132420450965e-06,1.364565339786649e-06,2.998061635241323e-05,5,4.693536736030603,4.693536736030603,8.778686474375096,-6.204894750884045,15.591968222945251,5,0.49029653958312386,0.01843135813615847,13.042484170257074,5,8.356643407197867e-06,8.356643407197867e-06,8.91188694315018e-06,-2.7071517918401832e-06,1.942043860623592e-05,5,4.355055124900939e-06,7.906034969322561e-07,2.3989907981081327e-05,5,1.0484762056322966e-05,1.0484762056322966e-05,8.071107346326626e-06,4.6476524994017843e-07,2.0504758862705753e-05,5,6.683387030860396e-06,1.3874901675254074e-06,3.2193137832419985e-05,5
aleatoric,1,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.004187375137540654,0.004187375137540654,0.0007613462238803062,0.003242190492548381,0.005132559782532927,5,0.004132926933041079,0.0033038045880188654,0.005170125707737168,5,0.0033696250134151867,0.0033696250134151867,0.0014044086484049795,0.0016261009134316971,0.005113149113398677,5,0.003101166015472256,0.0017211712643375357,0.005587608191461215,5,1.799782900058705e-05,1.799782900058705e-05,6.516848716538387e-06,9.907389792500738e-06,2.608826820867336e-05,5,1.7081085033856338e-05,1.0915124755814484e-05,2.67301998338048e-05,5,1.2932263652405056e-05,1.2932263652405056e-05,8.949192744978683e-06,1.8221546082970009e-06,2.404237269651311e-05,5,9.61723065552007e-06,2.962430521181271e-06,3.1221365301284466e-05,5,2.1545002334706798,2.1545002334706798,3.3944870893405357,-2.059636480988938,6.368636947930297,5,0.6715627298806275,0.07727219709655277,5.836465340841723,5,1.0484762056322966e-05,1.0484762056322966e-05,8.071107346326626e-06,4.6476524994017843e-07,2.0504758862705753e-05,5,6.683387030860396e-06,1.3874901675254074e-06,3.2193137832419985e-05,5,1.4322080302259523e-05,1.4322080302259523e-05,7.556651611359256e-06,4.940762254590614e-06,2.3703398349928432e-05,5,1.2397095265102525e-05,5.590516168467776e-06,2.749083740762162e-05,5
aleatoric,2,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.00392839466386663,0.00392839466386663,0.0006887557398095835,0.0030733285599062092,0.004783460767827051,5,0.0038820215473800617,0.0031408403343094445,0.0047981080507985925,5,0.003913640108656143,0.003913640108656143,0.0008714450941797119,0.002831771576131573,0.004995508641180712,5,0.0038234452862861584,0.002797638246979875,0.005225383901226384,5,1.581179221039233e-05,1.581179221039233e-05,5.61077968475735e-06,8.84620593948574e-06,2.277737848129892e-05,5,1.5070091294323089e-05,9.864878005625062e-06,2.302184086713827e-05,5,1.592411214181797e-05,1.592411214181797e-05,6.28237430287436e-06,8.124764697882374e-06,2.3723459585753565e-05,5,1.4618733857223844e-05,7.826779760964629e-06,2.7304636915195872e-05,5,0.419503900800834,0.419503900800834,0.3145208967996973,0.0290372341781992,0.8099705674234687,5,0.21116847565603258,0.02076491999487584,2.147473966762041,5,1.4359651739283004e-05,1.4359651739283004e-05,7.508157049096343e-06,5.038537990497876e-06,2.3680765488068132e-05,5,1.2473316663076666e-05,5.687359382181656e-06,2.735603961740581e-05,5,1.633600129445084e-05,1.633600129445084e-05,5.9016008823010745e-06,9.009370702662707e-06,2.3662631886238976e-05,5,1.5244649979036453e-05,8.743248331069459e-06,2.6580436032852504e-05,5
aleatoric,3,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.004156388826099607,0.004156388826099607,0.001081165428734588,0.0028141598507877424,0.005498617801411471,5,0.004042370828083101,0.002906808230175847,0.005621547972137372,5,0.004112655301146225,0.004112655301146225,0.000543324172360385,0.00343813738950435,0.004787173212788099,5,0.004083207330144923,0.003452872793495242,0.004828611738132428,5,1.8210703021158344e-05,1.8210703021158344e-05,9.138270595769133e-06,6.865860454153918e-06,2.955554558816277e-05,5,1.6340761911737253e-05,8.449534087018038e-06,3.1601801603041796e-05,5,1.7150094551063027e-05,1.7150094551063027e-05,4.423323609239361e-06,1.1658693367017575e-05,2.264149573510848e-05,5,1.6672582100949232e-05,1.1922330528059634e-05,2.3315491317630267e-05,5,0.512018608771476,0.512018608771476,0.36343171084247783,0.06083088127368208,0.9632063362692699,5,0.385834694684809,0.12002665977324274,1.2402945470928342,5,1.633600129445084e-05,1.633600129445084e-05,5.9016008823010745e-06,9.009370702662707e-06,2.3662631886238976e-05,5,1.5244649979036453e-05,8.743248331069459e-06,2.6580436032852504e-05,5,1.7321482605086643e-05,1.7321482605086643e-05,4.146927284727062e-06,1.2173217767774288e-05,2.2469747442399e-05,5,1.6918564671707863e-05,1.2490896049383447e-05,2.291571632804439e-05,5
aleatoric,4,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.0038402867061246805,0.0038402867061246805,0.0005896914738200634,0.0031082054153068347,0.004572367996942526,5,0.0038048342210654762,0.003151770736124662,0.004593215897293086,5,0.004221807153016739,0.004221807153016739,0.000385941250655136,0.003742674621001058,0.004700939685032421,5,0.0042080457829856985,0.0037641246240485557,0.004704320680184604,5,1.5025990812674815e-05,1.5025990812674815e-05,4.649704018240898e-06,9.25354628750029e-06,2.079843533784934e-05,5,1.4476763449790928e-05,9.933658773091795e-06,2.1097632279145922e-05,5,1.7942816156429107e-05,1.7942816156429107e-05,3.3274860113154424e-06,1.3811858931354077e-05,2.207377338150414e-05,5,1.7707649311703717e-05,1.4168634185368681e-05,2.2130633062012534e-05,5,0.31592456070263025,0.31592456070263025,0.189407707010424,0.08078153287355505,0.5510675885317055,5,0.24169837956965695,0.0718048947801387,0.8135671929534872,5,1.7321482605086643e-05,1.7321482605086643e-05,4.146927284727062e-06,1.2173217767774288e-05,2.2469747442399e-05,5,1.6918564671707863e-05,1.2490896049383447e-05,2.291571632804439e-05,5,1.843096680017499e-05,1.843096680017499e-05,2.9946883259844037e-06,1.4713166233920299e-05,2.2148767366429682e-05,5,1.824156697309548e-05,1.4959124472894128e-05,2.224426745274284e-05,5
aleatoric,5,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.0040417996333923355,0.0040417996333923355,0.0006324466913218602,0.003256639238996567,0.004826960027788104,5,0.004001703379494742,0.0032855786556392464,0.004873914648177555,5,0.004283838577273381,0.004283838577273381,0.0003435705189119423,0.0038573078232459618,0.0047103693313008,5,0.0042729667557113455,0.003871599319343651,0.004715943823058025,5,1.66561353303816e-05,1.66561353303816e-05,5.154497493930466e-06,1.0257007402638483e-05,2.3055263258124717e-05,5,1.601362993745964e-05,1.0795027102392197e-05,2.3755043997719736e-05,5,1.8445705517307956e-05,1.8445705517307956e-05,2.9804408644386117e-06,1.4745592675062147e-05,2.2145818359553766e-05,5,1.8258244895414346e-05,1.498928128954222e-05,2.224012614223914e-05,5,0.28444246850476684,0.28444246850476684,0.2655168351821224,-0.04518737364775821,0.6140723106572918,5,0.1441432860173778,0.01894423470869015,1.0967604246560865,5,1.843096680017499e-05,1.843096680017499e-05,2.9946883259844037e-06,1.4713166233920299e-05,2.2148767366429682e-05,5,1.824156697309548e-05,1.4959124472894128e-05,2.224426745274284e-05,5,1.8483702940962592e-05,1.8483702940962592e-05,2.9450933539586955e-06,1.4827472793733042e-05,2.213993308819214e-05,5,1.830096288527349e-05,1.5064834057035045e-05,2.223225567969352e-05,5
aleatoric,6,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.003597401105448193,0.003597401105448193,0.0003541775851312815,0.003157702050581454,0.0040371001603149315,5,0.0035842147851666436,0.003187327179597474,0.004030523037747747,5,0.00429126650521955,0.00429126650521955,0.00033678967502054385,0.0038731539311544277,0.004709379079284673,5,0.004280832019549108,0.0038867894873115625,0.004714822564849634,5,1.3041648122927415e-05,1.3041648122927415e-05,2.6689482589048064e-06,9.728242429866172e-06,1.6355053815988658e-05,5,1.2846595626207168e-05,1.0159054549800787e-05,1.624511595781532e-05,5,1.8505710046979566e-05,1.8505710046979566e-05,2.9255542903883117e-06,1.4873736962154726e-05,2.2137683131804408e-05,5,1.8325522779596893e-05,1.510713251867568e-05,2.222955181801528e-05,5,0.30528425700365747,0.30528425700365747,0.15292175691156112,0.11543725706533223,0.4951312569419827,5,0.25479684492315385,0.09655257791083359,0.6723946018587792,5,1.8483702940962592e-05,1.8483702940962592e-05,2.9450933539586955e-06,1.4827472793733042e-05,2.213993308819214e-05,5,1.830096288527349e-05,1.5064834057035045e-05,2.223225567969352e-05,5,1.8671751118700716e-05,1.8671751118700716e-05,2.8017022989712697e-06,1.5193535939106528e-05,2.2149966298294904e-05,5,1.8506709880534074e-05,1.539098632325157e-05,2.225317490438129e-05,5
aleatoric,7,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.004187411945215325,0.004187411945215325,0.0007158617692789779,0.0032986946559760135,0.005076129234454636,5,0.004141930334718133,0.003385061798717582,0.005068027680959206,5,0.004435904045146629,0.004435904045146629,0.00034707034391562124,0.004005028381077129,0.004866779709216128,5,0.004424814987000148,0.004008776728057956,0.004884030465489686,5,1.794438525710417e-05,1.794438525710417e-05,6.4200077377488135e-06,9.974170729047683e-06,2.5914599785160655e-05,5,1.7155586897658264e-05,1.1458643381137113e-05,2.5684904574968746e-05,5,1.9773610956648786e-05,1.9773610956648786e-05,3.0381438641819944e-06,1.600186186322481e-05,2.3545360050072763e-05,5,1.9578987669181122e-05,1.607029085541905e-05,2.3853753587831402e-05,5,0.25661853963203607,0.25661853963203607,0.10465463824445638,0.1266934753272152,0.38654360393685694,5,0.2399942254830071,0.144127067640328,0.39962811433119216,5,1.8898956801096256e-05,1.8898956801096256e-05,2.70659309549287e-06,1.5538816363197196e-05,2.2259097238995317e-05,5,1.8743686442266795e-05,1.5677306027286204e-05,2.2409831181105786e-05,5,2.0068476967646333e-05,2.0068476967646333e-05,2.995136545629386e-06,1.635011995241648e-05,2.3786833982876186e-05,5,1.9885926672722176e-05,1.6464571407654015e-05,2.401824316234842e-05,5
aleatoric,8,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.0045932963214699064,0.0045932963214699064,0.0007107069243459371,0.0037109785914918128,0.005475614051448,5,0.004548999175172445,0.003747443034042005,0.0055220034855071876,5,0.004505843920524413,0.004505843920524413,0.0003013823089005327,0.004131688350154255,0.00487999949089457,5,0.004497723309215639,0.00413729408812439,0.004889552092593101,5,2.1502454562679583e-05,2.1502454562679583e-05,6.555480059657821e-06,1.3364055896482585e-05,2.964085322887658e-05,5,2.069339349571958e-05,1.4043329293389949e-05,3.0492522493953524e-05,5,2.037529447302138e-05,2.037529447302138e-05,2.7046974833393765e-06,1.7017507371152822e-05,2.3733081574889938e-05,5,2.0229514966261676e-05,1.7117202371629033e-05,2.390771966618157e-05,5,0.3127351407860418,0.3127351407860418,0.08915710183405609,0.2020497246082758,0.4234205569638078,5,0.3026881388938398,0.21224509934785787,0.43167125982426663,5,2.0111416469315344e-05,2.0111416469315344e-05,2.9302936914739613e-06,1.647355958420082e-05,2.3749273354429867e-05,5,1.993771202014795e-05,1.6590828035763215e-05,2.395976618776795e-05,5,2.062100692445776e-05,2.062100692445776e-05,2.6628208526053194e-06,1.7315208191497255e-05,2.3926805657418266e-05,5,2.0479841353664962e-05,1.7385119561743868e-05,2.4125453976988e-05,5
aleatoric,9,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.003739281811142278,0.003739281811142278,0.0005596393228562722,0.0030445092121508606,0.004434054410133696,5,0.0037050069741046254,0.0030649744710256974,0.004478692011281297,5,0.004533302634233529,0.004533302634233529,0.0002961717215339572,0.0041656158254015545,0.004900989443065503,5,0.004525465871450691,0.004169546685401652,0.0049117668895203035,5,1.4232785400489101e-05,1.4232785400489101e-05,4.1472011817628826e-06,9.0841805296093e-06,1.9381390271368902e-05,5,1.372707667816391e-05,9.394068508039255e-06,2.005868213191491e-05,5,2.062100692445776e-05,2.062100692445776e-05,2.6628208526053147e-06,1.731520819149726e-05,2.392680565741826e-05,5,2.0479841353664962e-05,1.73851195617439e-05,2.4125453976987957e-05,5,0.33489910865645234,0.33489910865645234,0.17459445413987895,0.11814621492992453,0.5516520023829802,5,0.2844506631061945,0.11705189602996355,0.6912504836388248,5,2.062100692445776e-05,2.062100692445776e-05,2.6628208526053194e-06,1.7315208191497255e-05,2.3926805657418266e-05,5,2.0479841353664962e-05,1.7385119561743868e-05,2.4125453976988e-05,5,2.062100692445776e-05,2.062100692445776e-05,2.6628208526053194e-06,1.7315208191497255e-05,2.3926805657418266e-05,5,2.0479841353664962e-05,1.7385119561743868e-05,2.4125453976988e-05,5
