config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,48.0,-156.0384521484375,-156.04063415527344,-0.0021820068359375,4.76115383207798e-06,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.4125220079440624e-05,1.2738513532895013e-06,2.539907109166961e-05
1,48.0,-156.04811096191406,-156.0471649169922,0.000946044921875,8.950009942054749e-07,7.157409563660622e-05,1.757360240888028e-05,8.006102871149778e-05,6.331673648674041e-05,2.0146603674220387e-06,6.53313982184045e-05
2,48.0,-156.0486297607422,-156.0469970703125,0.0016326904296875,2.6656780391931534e-06,7.157409563660622e-05,0.000127855921164155,8.006102871149778e-05,3.3033109502866864e-05,4.153791905991966e-06,3.718690277310088e-05
3,48.0,-156.0550079345703,-156.0496826171875,0.0053253173828125,2.8359005227684975e-05,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.4635939553263597e-05,8.359435241800384e-07,2.547188341850415e-05
4,48.0,-156.0314483642578,-156.0364532470703,-0.0050048828125,2.504885196685791e-05,2.2551272360777315e-05,4.218217445630078e-05,2.205287002854877e-05,2.934078838734422e-05,2.5982967599702533e-06,3.193908560206182e-05
5,48.0,-156.04627990722656,-156.0473175048828,-0.00103759765625,1.0766088962554932e-06,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.739581759669818e-05,1.313153234150377e-06,2.8708971512969583e-05
6,48.0,-156.05911254882812,-156.05484008789062,0.0042724609375,1.825392246246338e-05,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.5469595129834488e-05,1.6311066701746313e-06,2.7100701117888093e-05
7,48.0,-156.06019592285156,-156.0535430908203,0.00665283203125,4.4260174036026e-05,2.2551272360777315e-05,1.757360240888028e-05,2.193258805747273e-05,2.2470596377388574e-05,1.1122086789328023e-06,2.3582804715260863e-05
8,48.0,-156.05638122558594,-156.05638122558594,0.0,0.0,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.6604277081787586e-05,8.166534826159477e-07,2.7420930564403534e-05
9,48.0,-156.03952026367188,-156.03665161132812,0.00286865234375,8.229166269302368e-06,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.39418131968705e-05,2.2059189177525695e-06,2.614773256937042e-05
10,48.0,-156.0347442626953,-156.0369873046875,-0.0022430419921875,5.031237378716469e-06,2.2551272360777315e-05,4.792376421391964e-05,2.205287002854877e-05,2.555113132984843e-05,3.2055540941655636e-06,2.8756685424013995e-05
11,48.0,-156.05043029785156,-156.0478973388672,0.002532958984375,6.4158812165260315e-06,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.6171122954110615e-05,9.092502182284079e-07,2.7080373911303468e-05
12,48.0,-156.03807067871094,-156.03634643554688,0.0017242431640625,2.9730144888162613e-06,2.2551272360777315e-05,2.4554999838663196e-05,2.205287002854877e-05,2.9047694624750875e-05,2.3420084289682563e-06,3.138970350846648e-05
13,48.0,-156.05191040039062,-156.0460205078125,0.005889892578125,3.469083458185196e-05,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.5239640308427624e-05,8.097384238681116e-07,2.604937799333129e-05
14,48.0,-156.0426025390625,-156.04483032226562,-0.002227783203125,4.963018000125885e-06,7.157409563660622e-05,1.757360240888028e-05,7.116434738064884e-05,3.261700476286933e-05,1.7878949165606173e-06,3.440490036155097e-05
15,48.0,-156.0433807373047,-156.0487518310547,-0.00537109375,2.8848648071289062e-05,1.2057134881615639e-05,1.757360240888028e-05,2.205287002854877e-05,2.1534257029998116e-05,2.1760818071925314e-06,2.3710339519311674e-05
16,48.0,-156.0463104248047,-156.04150390625,0.0048065185546875,2.3102620616555214e-05,2.2551272360777315e-05,4.792376421391964e-05,2.205287002854877e-05,2.416199458821211e-05,3.2665091111994116e-06,2.7428503017290495e-05
17,48.0,-156.04844665527344,-156.0416717529297,0.00677490234375,4.589930176734924e-05,7.157409563660622e-05,1.757360240888028e-05,7.0884924072265e-05,3.3540924050612375e-05,8.593080451646529e-07,3.440023283474147e-05
18,48.0,-156.0232696533203,-156.0366668701172,-0.013397216796875,0.00017948541790246964,7.157409563660622e-05,4.38266348317327e-05,8.006102871149778e-05,3.708393342094496e-05,2.6215100206172792e-06,3.970544275944121e-05
19,48.0,-156.04039001464844,-156.04489135742188,-0.0045013427734375,2.0262086763978004e-05,2.2551272360777315e-05,0.000127855921164155,2.205287002854877e-05,2.5456271032453515e-05,4.072603587701451e-06,2.9528873710660264e-05
20,48.0,-156.05279541015625,-156.04933166503906,0.0034637451171875,1.1997530236840248e-05,2.2551272360777315e-05,4.792376421391964e-05,2.205287002854877e-05,2.9693363103433512e-05,2.681300884432858e-06,3.237466444261372e-05
21,48.0,-156.04197692871094,-156.03782653808594,0.004150390625,1.722574234008789e-05,2.2551272360777315e-05,4.792376421391964e-05,2.205287002854877e-05,2.6516474463278428e-05,3.25394785249955e-06,2.977042277052533e-05
22,48.0,-156.04908752441406,-156.0475616455078,0.00152587890625,2.3283064365386963e-06,1.2057134881615639e-05,1.757360240888028e-05,2.205287002854877e-05,2.157512972189579e-05,2.2221006474865135e-06,2.3797230824129656e-05
23,48.0,-156.04458618164062,-156.0441131591797,0.0004730224609375,2.2375024855136871e-07,2.2551272360777315e-05,1.757360240888028e-05,2.2042281031786716e-05,2.208670775871724e-05,1.512886910859379e-06,2.359959398745559e-05
24,48.0,-156.04470825195312,-156.03904724121094,0.0056610107421875,3.204704262316227e-05,2.2551272360777315e-05,0.00011086115062593612,2.205287002854877e-05,2.3468823201255873e-05,3.873277364618843e-06,2.7342101020622067e-05
25,48.0,-156.05052185058594,-156.04495239257812,0.0055694580078125,3.101886250078678e-05,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.7769050575443543e-05,1.0268413461744785e-06,2.8795891921618022e-05
26,48.0,-156.0413360595703,-156.04071044921875,0.0006256103515625,3.9138831198215485e-07,1.2057134881615639e-05,3.466418800112055e-05,2.205287002854877e-05,2.1849582481081598e-05,2.4921725980675546e-06,2.4341754397028126e-05
27,48.0,-156.07180786132812,-156.07025146484375,0.001556396484375,2.4223700165748596e-06,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.3463913748855703e-05,1.9177327885699924e-06,2.5381646992173046e-05
28,48.0,-156.0643768310547,-156.05845642089844,0.00592041015625,3.505125641822815e-05,1.2057134881615639e-05,4.792376421391964e-05,2.205287002854877e-05,2.1767662474303506e-05,2.945878122773138e-06,2.471354127919767e-05
29,48.0,-156.0493621826172,-156.0481414794922,0.001220703125,1.4901161193847656e-06,2.2551272360777315e-05,1.0222977776802919e-05,2.205287002854877e-05,2.4533796022296883e-05,6.789458097955503e-07,2.5212741093127988e-05
30,48.0,-156.0525360107422,-156.0454864501953,0.007049560546875,4.969630390405655e-05,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.4532195311621763e-05,2.100865913234884e-06,2.6633060770109296e-05
31,48.0,-156.06211853027344,-156.06163024902344,0.00048828125,2.384185791015625e-07,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.670742651389446e-05,1.8522957816458074e-06,2.8559721613419242e-05
32,48.0,-156.04420471191406,-156.038330078125,0.0058746337890625,3.4511322155594826e-05,2.2551272360777315e-05,4.707596341072566e-05,2.205287002854877e-05,2.3474791305488907e-05,2.6673776574170915e-06,2.6142168280784972e-05
33,48.0,-156.0375518798828,-156.03721618652344,0.000335693359375,1.126900315284729e-07,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.7935670004808344e-05,1.7742277123034e-06,2.9709897717111744e-05
34,48.0,-156.06639099121094,-156.0603485107422,0.00604248046875,3.651157021522522e-05,2.2551272360777315e-05,3.605299054419515e-05,2.205287002854877e-05,2.4411894628428854e-05,2.5117769837379456e-06,2.69236716121668e-05
35,48.0,-156.0319061279297,-156.0375213623047,-0.005615234375,3.153085708618164e-05,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.9093982448102906e-05,1.7759157344698906e-06,3.08698981825728e-05
36,48.0,-156.04612731933594,-156.0477294921875,-0.0016021728515625,2.5669578462839127e-06,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.8894335628137924e-05,8.314498813888349e-07,2.9725784770562313e-05
37,48.0,-156.0509796142578,-156.052734375,-0.0017547607421875,3.079185262322426e-06,1.2057134881615639e-05,3.603319445825972e-05,2.205287002854877e-05,2.1584774003713392e-05,2.511497541490826e-06,2.409627086308319e-05
38,48.0,-156.03079223632812,-156.03538513183594,-0.0045928955078125,2.1094689145684242e-05,2.2551272360777315e-05,0.000127855921164155,2.205287002854877e-05,2.723946272453759e-05,4.4165180952404626e-06,3.165598172927275e-05
39,48.0,-156.04469299316406,-156.0401611328125,0.0045318603515625,2.0537758246064186e-05,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.7911271899938583e-05,1.2514180980360834e-06,2.916268931585364e-05
40,48.0,-156.0576934814453,-156.0599822998047,-0.002288818359375,5.238689482212067e-06,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.4977440261864103e-05,1.985882363442215e-06,2.6963321943185292e-05
41,48.0,-156.05409240722656,-156.05496215820312,-0.0008697509765625,7.564667612314224e-07,2.2551272360777315e-05,1.6294043997566106e-05,2.205287002854877e-05,2.3920019884826615e-05,7.35837943466322e-07,2.4655857487232424e-05
42,48.0,-156.03968811035156,-156.0377960205078,0.00189208984375,3.5800039768218994e-06,7.157409563660622e-05,1.757360240888028e-05,8.006102871149778e-05,6.253605533856899e-05,2.1978280528855976e-06,6.473388202721253e-05
43,48.0,-156.0482940673828,-156.0477752685547,0.000518798828125,2.691522240638733e-07,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.9661026928806677e-05,1.8157297745347023e-06,3.147675670334138e-05
44,48.0,-156.0425262451172,-156.0452880859375,-0.0027618408203125,7.627764716744423e-06,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.6100757168023847e-05,8.344417210537358e-07,2.693519854801707e-05
45,48.0,-156.0454559326172,-156.0419921875,0.0034637451171875,1.1997530236840248e-05,2.2551272360777315e-05,1.8971897269614496e-05,2.205287002854877e-05,2.4103943360387348e-05,2.2581079974770546e-06,2.6362051357864402e-05
46,48.0,-156.03953552246094,-156.03770446777344,0.0018310546875,3.3527612686157227e-06,2.2551272360777315e-05,2.220307865578243e-05,2.205287002854877e-05,2.593793578853365e-05,2.306664782736334e-06,2.8244599889148958e-05
47,48.0,-156.0509796142578,-156.05264282226562,-0.0016632080078125,2.766260877251625e-06,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.279197178722825e-05,1.210265281770262e-06,2.4002236386877485e-05
48,48.0,-156.0570831298828,-156.0567169189453,0.0003662109375,1.341104507446289e-07,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.516013955755625e-05,7.603550216117583e-07,2.5920495318132453e-05
49,48.0,-156.0373992919922,-156.03269958496094,0.00469970703125,2.208724617958069e-05,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.5334133169963025e-05,1.9053811683988897e-06,2.7239513656240888e-05
50,48.0,-156.0422821044922,-156.04330444335938,-0.0010223388671875,1.0451767593622208e-06,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.3739641619613394e-05,1.1553638614714146e-06,2.489500548108481e-05
51,48.0,-156.05612182617188,-156.0561981201172,-7.62939453125e-05,5.820766091346741e-09,1.4165416359901428e-06,1.757360240888028e-05,1.4165416359901428e-06,1.9873788914992474e-05,8.138595148921013e-07,2.0687648429884575e-05
52,48.0,-156.04551696777344,-156.04441833496094,0.0010986328125,1.2069940567016602e-06,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.319449959031772e-05,1.2220232292747824e-06,2.4416522137471475e-05
53,48.0,-156.04698181152344,-156.0425567626953,0.004425048828125,1.9581057131290436e-05,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.2689115212415345e-05,1.5122466265893308e-06,2.420136115688365e-05
54,48.0,-156.03724670410156,-156.0391387939453,-0.00189208984375,3.5800039768218994e-06,2.2551272360777315e-05,7.460126653313637e-06,2.205287002854877e-05,2.440507523715496e-05,6.092479338803969e-07,2.5014323909999803e-05
55,48.0,-156.07977294921875,-156.07095336914062,0.008819580078125,7.778499275445938e-05,2.2551272360777315e-05,0.000127855921164155,2.205287002854877e-05,2.439347554172855e-05,5.190982392377919e-06,2.9584458388853818e-05
56,48.0,-156.0436553955078,-156.04078674316406,0.00286865234375,8.229166269302368e-06,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.645090535224881e-05,1.8114573094862862e-06,2.8262362320674583e-05
57,48.0,-156.05783081054688,-156.05862426757812,-0.00079345703125,6.295740604400635e-07,2.2551272360777315e-05,1.757360240888028e-05,2.205287002854877e-05,2.3865632101660594e-05,1.1574244354051189e-06,2.5023056878126226e-05
58,48.0,-156.0189208984375,-156.0333251953125,-0.014404296875,0.00020748376846313477,7.157409563660622e-05,0.000127855921164155,8.006102871149778e-05,3.660587390186265e-05,4.3903478399442974e-06,4.0996223106049e-05
