uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.003817988262303098,0.003817988262303098,0.00042840292176227966,0.0032861410542670447,0.004349835470339152,5,0.0037986513348404662,0.003301825026855766,0.0043702352021440394,5,0.005524707555493248,0.005524707555493248,0.001687793747306909,0.003429370790390623,0.007620044320595873,5,0.0053587651279877,0.0038714689601569135,0.0074174335355572975,5,1.4723857621783794e-05,1.4723857621783794e-05,3.2733950954999963e-06,1.0660052372326056e-05,1.878766287124153e-05,5,1.4429751963685255e-05,1.0902048507971077e-05,1.9098955722058953e-05,5,3.280131176048282e-05,3.280131176048282e-05,2.2404210088525045e-05,4.987270402363435e-06,6.0615353118602204e-05,5,2.8716363696936978e-05,1.4988271909458399e-05,5.5018320254410035e-05,5,0.47055557789843866,0.47055557789843866,0.16689834380622334,0.26335713533404237,0.677754020462835,5,0.44898250623466096,0.2950306872631351,0.6832688923812368,5,2.9859941787435672e-05,2.9859941787435672e-05,2.0336202582954856e-05,4.6132592454296395e-06,5.5106624329441706e-05,5,2.6143189751005304e-05,1.362942005054448e-05,5.014640152130061e-05,5,3.3972327582887377e-05,3.3972327582887377e-05,2.3172603613092697e-05,5.204352603042934e-06,6.274030256273183e-05,5,2.9750323982555496e-05,1.553731502386883e-05,5.6964911614865944e-05,5
aleatoric,1,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.0042480095342123745,0.0042480095342123745,0.0009221106968557519,0.0031032414322453993,0.00539277763617935,5,0.004168502078280214,0.003182058436549356,0.005460744962141408,5,0.005672794924802507,0.005672794924802507,0.0017226961353495206,0.003534128068584037,0.0078114617810209775,5,0.005504131826511197,0.0039825574828392975,0.007607038264772222,5,1.872581551256387e-05,1.872581551256387e-05,8.011430989875672e-06,8.779904810527999e-06,2.8671726214599737e-05,5,1.737640957662646e-05,1.0125495893614932e-05,2.9819735541552765e-05,5,3.455474783866362e-05,3.455474783866362e-05,2.3447781052053885e-05,5.4451497157650094e-06,6.366434596156223e-05,5,3.0295467163613482e-05,1.5860764104119286e-05,5.7867031161708786e-05,5,0.4282280852577289,0.4282280852577289,0.21474397429108574,0.16163096986117337,0.6948252006542843,5,0.37664893156223134,0.17809024786410454,0.7965872323072009,5,3.4034322379739026e-05,3.4034322379739026e-05,2.3162709384614702e-05,5.278630737669324e-06,6.279001402180873e-05,5,2.982057906772511e-05,1.5592671312535982e-05,5.7031083264065486e-05,5,3.5074939660262316e-05,3.5074939660262316e-05,2.3731328877339363e-05,5.613326853144399e-06,6.453655246738024e-05,5,3.077324642363271e-05,1.6137090168683594e-05,5.8684229036992215e-05,5
aleatoric,2,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.0035965429483322715,0.0035965429483322715,0.00037363691655835986,0.0031326858157214163,0.004060400080943127,5,0.0035808476226672128,0.003143578225825455,0.004078940867900447,5,0.005755977146873041,0.005755977146873041,0.001739542255857059,0.0035963964226507833,0.0079155578710953,5,0.0055863438977634605,0.004047637574881216,0.007709988250367221,5,1.3046804815530777e-05,1.3046804815530777e-05,2.6761039581807524e-06,9.724515572689336e-06,1.6369094058372218e-05,5,1.282246969676143e-05,9.882084061883915e-06,1.6637758603828457e-05,5,3.5552078723254526e-05,3.5552078723254526e-05,2.400520447056403e-05,5.750458968923059e-06,6.5353698477586e-05,5,3.120723814407905e-05,1.6383369937590325e-05,5.944391882080049e-05,5,0.5612265648288235,0.5612265648288235,0.15474870949060968,0.36911146731454286,0.7533416623431042,5,0.5451781705817856,0.3915137431979781,0.7591540344181652,5,3.5103749542031434e-05,3.5103749542031434e-05,2.372969867588564e-05,5.644160572865262e-06,6.45633385111976e-05,5,3.080545837133082e-05,1.6162710281151883e-05,5.871393157213509e-05,5,3.595046619011555e-05,3.595046619011555e-05,2.4305161780604045e-05,5.77645995154038e-06,6.612447242869072e-05,5,3.154522071879486e-05,1.654445691904374e-05,6.0147090658023296e-05,5
aleatoric,3,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.004241608725922989,0.004241608725922989,0.00041076978832488585,0.0037316524348513375,0.004751565016994641,5,0.004225759273720667,0.0037476561359520147,0.0047648558970312255,5,0.0058231048640882,0.0058231048640882,0.0017657674859955883,0.0036309664360764725,0.008015243292099928,5,0.0056504204297282475,0.0040900371505781605,0.007806102941675522,5,1.8126230039026428e-05,1.8126230039026428e-05,3.511337555023558e-06,1.3767027568069208e-05,2.2485432509983647e-05,5,1.7857041439436215e-05,1.4044926513338786e-05,2.2703851719473245e-05,5,3.640289810984699e-05,3.640289810984699e-05,2.466387339317863e-05,5.7835639802922045e-06,6.702223223940178e-05,5,3.192725103269035e-05,1.672840389310952e-05,6.0935243136035236e-05,5,0.41296324429672404,0.41296324429672404,0.17276475319241594,0.19848186014918343,0.6274446284442646,5,0.39000333807206694,0.24974083587172452,0.6090417819594393,5,3.597437498683576e-05,3.597437498683576e-05,2.4295323179641946e-05,5.812583026424581e-06,6.613616694724694e-05,5,3.1573838796099965e-05,1.6568203480886513e-05,6.016990903522908e-05,5,3.6824006019742225e-05,3.6824006019742225e-05,2.5052896884070314e-05,5.721712864978007e-06,6.792629917450644e-05,5,3.226417875386017e-05,1.686609657535284e-05,6.172010376024216e-05,5
aleatoric,4,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.003797259619569954,0.003797259619569954,0.000627679009870952,0.003018018134545858,0.00457650110459405,5,0.0037558352230175874,0.0030573513386183584,0.004613895054938082,5,0.005889196429174996,0.005889196429174996,0.0017942354350507143,0.0036617160404660842,0.008116676817883908,5,0.005713018884749147,0.004129607554932931,0.00790355605062585,5,1.4734365369962609e-05,1.4734365369962609e-05,4.8193577348780845e-06,8.751301703454366e-06,2.0717429036470852e-05,5,1.410629822245957e-05,9.34739720775147e-06,2.1288027577982087e-05,5,3.725805921852082e-05,3.725805921852082e-05,2.5363740462011565e-05,5.769864659574007e-06,6.874625377746764e-05,5,3.263858477750039e-05,1.705365855775914e-05,6.246619824538447e-05,5,0.548937703994696,0.548937703994696,0.13963372076168198,0.3755873350726199,0.7222880729167721,5,0.5344390284217936,0.3863311567272697,0.7393270517450592,5,3.6855325743090364e-05,3.6855325743090364e-05,2.5058975213932953e-05,5.745486554901187e-06,6.796516493127953e-05,5,3.229667130364934e-05,1.688941603863959e-05,6.175909071750145e-05,5,3.777041856665164e-05,3.777041856665164e-05,2.5893084458360215e-05,5.625061994452033e-06,6.991577513885126e-05,5,3.302863508920152e-05,1.7185480604597903e-05,6.347746455014885e-05,5
aleatoric,5,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.004379250037067987,0.004379250037067987,0.0006598376518532255,0.0035600847254692583,0.005198415348666716,5,0.004339431985099049,0.0035957313523053737,0.005236951292600751,5,0.005958476436547601,0.005958476436547601,0.0018343825105803344,0.0036811548610806554,0.008235798012014546,5,0.00577675281202174,0.004162827965653005,0.00801639494270245,5,1.9526139468602512e-05,1.9526139468602512e-05,5.840884317066015e-06,1.2274886363898193e-05,2.677739257330683e-05,5,1.8830669953300638e-05,1.2929283957951807e-05,2.742565884107263e-05,5,3.819540880099141e-05,3.819540880099141e-05,2.627828402808233e-05,5.571840467651961e-06,7.081897713433086e-05,5,3.337087305120108e-05,1.7329136671622736e-05,6.426258787738543e-05,5,0.3799135734217401,0.3799135734217401,0.27684190812070186,0.03622405026047898,0.7236030965830011,5,0.21610918429857914,0.029003786355480253,1.6102442269360013,5,3.7815353061887434e-05,3.7815353061887434e-05,2.5949491454124336e-05,5.599969182013451e-06,7.003073694176142e-05,5,3.3059941230729156e-05,1.7192419294867992e-05,6.35721881507112e-05,5,3.8573910569539296e-05,3.8573910569539296e-05,2.660678712079258e-05,5.542517163554557e-06,7.160530397552404e-05,5,3.3680017370106326e-05,1.7464373206177314e-05,6.495186266687403e-05,5
aleatoric,6,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.003828168787134858,0.003828168787134858,0.0005736939401473754,0.0031159478735158473,0.004540389700753869,5,0.0037942073088774028,0.0031534931653825673,0.004565099192467171,5,0.0060313446248758725,0.0060313446248758725,0.001868354045504136,0.003711848579805405,0.00835084066994634,5,0.00584529898835543,0.00420458531428864,0.00812625210556578,5,1.4918176052363023e-05,1.4918176052363023e-05,4.473524762956914e-06,9.364451895974061e-06,2.0471900208751984e-05,5,1.4396009102738703e-05,9.944519144114565e-06,2.084013063706442e-05,5,3.916971545550041e-05,3.916971545550041e-05,2.7119692560102876e-05,5.501567928508394e-06,7.283786298249243e-05,5,3.4167520263269017e-05,1.76785376651317e-05,6.603597328321227e-05,5,0.5186115267367105,0.5186115267367105,0.22426435326882216,0.24019519461323474,0.7970278588601862,5,0.4815218350615652,0.28169331239798906,0.8231053682718256,5,3.8601557025685904e-05,3.8601557025685904e-05,2.660685419890312e-05,5.570080344578608e-06,7.16330337067932e-05,5,3.370994302980484e-05,1.748643901626443e-05,6.49852298696001e-05,5,3.96506606193725e-05,3.96506606193725e-05,2.756537115278797e-05,5.429218744559648e-06,7.387210249418535e-05,5,3.455254648802243e-05,1.783900292826787e-05,6.692517926072642e-05,5
aleatoric,7,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.004126238460805469,0.004126238460805469,0.000683146452395877,0.0032781360905137624,0.004974340831097176,5,0.004080959729987346,0.0033195838049227353,0.005016963961892212,5,0.006099721409907869,0.006099721409907869,0.0018941396112864169,0.0037482134889320687,0.008451229330883669,5,0.005910749499486103,0.004248764659789966,0.00822285121515822,5,1.7399195095767145e-05,1.7399195095767145e-05,5.681831500821416e-06,1.034540048621497e-05,2.4452989705319322e-05,5,1.665423231777839e-05,1.1019636637905306e-05,2.51699273949252e-05,5,4.0076813172123835e-05,4.0076813172123835e-05,2.7818737800854124e-05,5.540825486490827e-06,7.461280085775684e-05,5,3.493695964567522e-05,1.8052001134280145e-05,6.7615282106629e-05,5,0.4945559718962647,0.4945559718962647,0.1857443949387822,0.2639608175724701,0.7251511262200594,5,0.46128907601679464,0.26605521653419645,0.7997874066306017,5,3.967563898186199e-05,3.967563898186199e-05,2.756907109357771e-05,5.4496037602744975e-06,7.39016742034495e-05,5,3.457772394951438e-05,1.7854996293778765e-05,6.696271306118452e-05,5,4.0502338742953724e-05,4.0502338742953724e-05,2.814337074625002e-05,5.563330636883128e-06,7.544134684902431e-05,5,3.529995215744927e-05,1.8231682036726923e-05,6.834732087845875e-05,5
aleatoric,8,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.004166870522565864,0.004166870522565864,0.0004187877907811196,0.003646960162547081,0.0046867808825846475,5,0.004150521194846069,0.003672946636792601,0.004690192342110845,5,0.006166260676443292,0.006166260676443292,0.0019141887875899208,0.0037898624059886006,0.008542658946897983,5,0.0059754232424092954,0.004296168300523013,0.008311053112509216,5,1.7503116522794182e-05,1.7503116522794182e-05,3.580826918988303e-06,1.3057645442694846e-05,2.1948587602893518e-05,5,1.722682618886644e-05,1.349053699672608e-05,2.199790420599521e-05,5,4.095406570147885e-05,4.095406570147885e-05,2.842512331239491e-05,5.665271662472188e-06,7.624285974048552e-05,5,3.570568292592521e-05,1.8457062066418794e-05,6.907360383894913e-05,5,0.4903197305153918,0.4903197305153918,0.16864569073664903,0.28095201799691955,0.699687443033864,5,0.4672586288228833,0.3020794083634282,0.7227590499871808,5,4.0560593333793804e-05,4.0560593333793804e-05,2.8218170693519767e-05,5.528723715591096e-06,7.559246295199651e-05,5,3.534019212964424e-05,1.8240654371416064e-05,6.846953811686153e-05,5,4.1319605224998666e-05,4.1319605224998666e-05,2.858597839178261e-05,5.831115244333051e-06,7.680809520566428e-05,5,3.605521116744149e-05,1.8675077558574848e-05,6.96103268246883e-05,5
aleatoric,9,23.0,23.0,0.0,23.0,23.0,5,23.0,23.0,23.0,5,0.003557309183641311,0.003557309183641311,0.0005825968857025402,0.002834035575242971,0.0042805827920396515,5,0.0035184610744754103,0.0028610457407077295,0.004326938278706567,5,0.006226493712583636,0.006226493712583636,0.001931179925947065,0.003829001539549037,0.008623985885618236,5,0.00603412860326529,0.004339654646839694,0.008390231703635684,5,1.292598393300305e-05,1.292598393300305e-05,4.124689667870751e-06,7.805326317391596e-06,1.8046641548614505e-05,5,1.2379568332598659e-05,8.185582730421841e-06,1.8722394867736153e-05,5,4.175278867794828e-05,4.175278867794828e-05,2.895537216182866e-05,5.805709282306827e-06,7.769986807358974e-05,5,3.641070800074432e-05,1.883260245383735e-05,7.039598804069335e-05,5,0.6110010576852971,0.6110010576852971,0.21464571619604633,0.34452592626891304,0.8774761891016811,5,0.5771884423661638,0.3553979364384875,0.9373900741788342,5,4.1357723603141494e-05,4.1357723603141494e-05,2.8633476224720793e-05,5.810266728104522e-06,7.690518047817846e-05,5,3.608211508614781e-05,1.8681932998204123e-05,6.96886681488028e-05,5,4.2123713865294124e-05,4.2123713865294124e-05,2.9221122081984533e-05,5.846715260676938e-06,7.840071246991131e-05,5,3.6733290743508034e-05,1.900030693526495e-05,7.10164658625962e-05,5
