epoch,au_var,eu_var,tu_var,rmse_energy
0,6.592477238882566e-05,7.4363274135381426e-06,7.336110021032465e-05,0.007867650543880906
10,5.7111226669803725e-05,6.525103142743879e-06,6.363633009851373e-05,0.007756668737737389
20,5.828930626683779e-05,7.345797848756775e-06,6.563510459482831e-05,0.007495248349427344
30,5.970588717201071e-05,1.062469593674765e-05,7.033058182759515e-05,0.007312474249023853
40,5.663995172234046e-05,8.749000265267499e-06,6.538894999371572e-05,0.007232274011118589
50,6.16277582314349e-05,9.12719997271639e-06,7.075495868076149e-05,0.0072812465463537555
60,6.216926360418886e-05,8.070370037453008e-06,7.023963517685143e-05,0.007127068104743163
70,6.717828046021168e-05,8.668105584337564e-06,7.584638697153424e-05,0.0070824445872703454
80,6.934233489608652e-05,9.495579245839717e-06,7.88379130076814e-05,0.007018267611032688
90,7.037010476639038e-05,8.926540269709012e-06,7.929664433014785e-05,0.007200125543227895
