config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,48.0,-156.22341918945312,-156.22882080078125,-0.005401611328125,2.9177404940128326e-05,0.005401611328125,2.3960401449585333e-05,5.944818440184463e-06,2.9905218980275095e-05
1,48.0,-156.22621154785156,-156.2288818359375,-0.0026702880859375,7.130438461899757e-06,0.0026702880859375,1.4823256606177893e-05,1.7252866655326216e-06,1.654854349908419e-05
2,48.0,-156.24191284179688,-156.2386474609375,0.003265380859375,1.0662712156772614e-05,0.003265380859375,1.695241007837467e-05,2.1975488380121533e-06,1.914995846163947e-05
3,48.0,-156.22340393066406,-156.2251434326172,-0.001739501953125,3.0258670449256897e-06,0.001739501953125,2.297219543834217e-05,3.0037365377211245e-06,2.597593265818432e-05
4,48.0,-156.24049377441406,-156.23483276367188,0.0056610107421875,3.204704262316227e-05,0.0056610107421875,1.4734888281964231e-05,1.53791620505217e-06,1.6272804714390077e-05
5,48.0,-156.22779846191406,-156.22447204589844,0.003326416015625,1.10650435090065e-05,0.003326416015625,1.7295902580372058e-05,1.4524790685754851e-06,1.8748381990008056e-05
6,48.0,-156.24261474609375,-156.23838806152344,0.0042266845703125,1.7864862456917763e-05,0.0042266845703125,1.3195926840126049e-05,3.1811068765819073e-06,1.6377034626202658e-05
7,48.0,-156.2252960205078,-156.22976684570312,-0.0044708251953125,1.9988277927041054e-05,0.0044708251953125,2.125178616552148e-05,3.2849027320480673e-06,2.453668821544852e-05
8,48.0,-156.22303771972656,-156.2297821044922,-0.006744384765625,4.5486725866794586e-05,0.006744384765625,1.7002676031552255e-05,4.522094968706369e-06,2.1524771000258625e-05
9,48.0,-156.23440551757812,-156.2327423095703,0.0016632080078125,2.766260877251625e-06,0.0016632080078125,1.6348516510333866e-05,2.6416614673507866e-06,1.8990178432432003e-05
10,48.0,-156.23316955566406,-156.23228454589844,0.000885009765625,7.832422852516174e-07,0.000885009765625,1.71748579305131e-05,5.511334393304423e-07,1.7725991710904054e-05
11,48.0,-156.2290802001953,-156.22634887695312,0.0027313232421875,7.460126653313637e-06,0.0027313232421875,1.8051161532639526e-05,2.4698558718228014e-06,2.0521018086583354e-05
12,48.0,-156.233154296875,-156.2286834716797,0.0044708251953125,1.9988277927041054e-05,0.0044708251953125,1.6809031876618974e-05,3.2923417165875435e-06,2.0101373593206517e-05
13,48.0,-156.2049560546875,-156.2150115966797,-0.0100555419921875,0.00010111392475664616,0.0100555419921875,5.556526593863964e-05,2.1400477635324933e-05,7.696574175497517e-05
14,48.0,-156.2360382080078,-156.23001098632812,0.0060272216796875,3.632740117609501e-05,0.0060272216796875,2.3406177206197754e-05,2.123159447364742e-06,2.5529336198815145e-05
15,48.0,-156.2326202392578,-156.2327423095703,-0.0001220703125,1.4901161193847656e-08,0.0001220703125,1.6384163245675154e-05,8.44872545258113e-07,1.7229036529897712e-05
16,48.0,-156.23008728027344,-156.23020935058594,-0.0001220703125,1.4901161193847656e-08,0.0001220703125,2.5441209800192155e-05,8.15193652670132e-06,3.359314723638818e-05
17,48.0,-156.23033142089844,-156.23085021972656,-0.000518798828125,2.691522240638733e-07,0.000518798828125,1.9959237761213444e-05,4.1069115468417294e-06,2.4066150217549875e-05
18,48.0,-156.23265075683594,-156.22962951660156,0.003021240234375,9.127892553806305e-06,0.003021240234375,3.518887751852162e-05,2.827285698003834e-06,3.80161618522834e-05
19,48.0,-156.20828247070312,-156.22061157226562,-0.0123291015625,0.00015200674533843994,0.0123291015625,4.488652848522179e-05,1.5535473721683957e-05,6.042200402589515e-05
20,48.0,-156.1792449951172,-156.2192840576172,-0.0400390625,0.0016031265258789062,0.0400390625,0.0011047779116779566,2.7500418582349084e-05,0.001132278353907168
21,48.0,-156.24008178710938,-156.23704528808594,0.0030364990234375,9.220326319336891e-06,0.0030364990234375,1.8568656741990708e-05,2.2653257474303246e-06,2.0833982489421032e-05
22,48.0,-156.235595703125,-156.23451232910156,0.0010833740234375,1.1736992746591568e-06,0.0010833740234375,1.5518175132456236e-05,1.8664519529920653e-06,1.7384627426508814e-05
23,48.0,-156.23507690429688,-156.2315673828125,0.003509521484375,1.2316741049289703e-05,0.003509521484375,2.1728863430325873e-05,1.3782060932499007e-06,2.3107069864636287e-05
24,48.0,-156.2307586669922,-156.232177734375,-0.0014190673828125,2.0137522369623184e-06,0.0014190673828125,2.2290343622444198e-05,3.7041959330963437e-06,2.599453910079319e-05
25,48.0,-156.2406463623047,-156.2386932373047,0.001953125,3.814697265625e-06,0.001953125,1.560236887598876e-05,1.7727376189213828e-06,1.7375106835970655e-05
26,48.0,-156.23167419433594,-156.2270965576172,0.00457763671875,2.0954757928848267e-05,0.00457763671875,2.32156253332505e-05,5.1130073188687675e-06,2.8328631742624566e-05
27,48.0,-156.22206115722656,-156.22434997558594,-0.002288818359375,5.238689482212067e-06,0.002288818359375,3.9057373214745894e-05,3.0066353247093502e-06,4.20640099036973e-05
28,48.0,-156.22665405273438,-156.22891235351562,-0.00225830078125,5.09992241859436e-06,0.00225830078125,3.180950807291083e-05,1.8629827991389902e-06,3.367249155417085e-05
29,48.0,-156.2262420654297,-156.2303009033203,-0.004058837890625,1.64741650223732e-05,0.004058837890625,1.6589903680142015e-05,9.184412192553282e-06,2.5774315872695297e-05
30,48.0,-156.1923370361328,-156.2196502685547,-0.027313232421875,0.0007460126653313637,0.027313232421875,0.00020213318930473179,1.8374703358858824e-05,0.0002205078926635906
31,48.0,-156.2303924560547,-156.2273712158203,0.003021240234375,9.127892553806305e-06,0.003021240234375,1.7175509128719568e-05,3.458792434685165e-06,2.0634301108657382e-05
32,48.0,-156.22744750976562,-156.2294158935547,-0.0019683837890625,3.8745347410440445e-06,0.0019683837890625,2.1573614503722638e-05,3.7871766380703775e-06,2.536079045967199e-05
33,48.0,-156.23422241210938,-156.23062133789062,0.00360107421875,1.2967735528945923e-05,0.00360107421875,1.8604385331855156e-05,2.9622926831507357e-06,2.1566678697126918e-05
34,48.0,-156.2333526611328,-156.23301696777344,0.000335693359375,1.126900315284729e-07,0.000335693359375,2.2950951461098157e-05,9.900425084197195e-07,2.3940994651638903e-05
35,48.0,-156.2368621826172,-156.2324981689453,0.004364013671875,1.904461532831192e-05,0.004364013671875,4.982625978300348e-05,2.042925871137413e-06,5.1869184972019866e-05
36,48.0,-156.2253875732422,-156.2271270751953,-0.001739501953125,3.0258670449256897e-06,0.001739501953125,1.6444035281892866e-05,2.735946281973156e-06,1.9179980881744996e-05
37,48.0,-156.2299041748047,-156.231689453125,-0.0017852783203125,3.1872186809778214e-06,0.0017852783203125,1.871802487585228e-05,1.103826775761263e-06,1.982185131055303e-05
38,48.0,-156.1982421875,-156.210205078125,-0.011962890625,0.0001431107521057129,0.011962890625,9.738839435158297e-05,3.976816151407547e-05,0.00013715655950363725
39,48.0,-156.22959899902344,-156.22813415527344,0.00146484375,2.1457672119140625e-06,0.00146484375,1.883637742139399e-05,5.918321903664037e-07,1.942820927069988e-05
40,48.0,-156.22117614746094,-156.22756958007812,-0.0063934326171875,4.0875980630517006e-05,0.0063934326171875,2.0649886209866963e-05,2.671161155376467e-06,2.3321046683122404e-05
41,48.0,-156.2325439453125,-156.2329864501953,-0.0004425048828125,1.9581057131290436e-07,0.0004425048828125,1.466138110117754e-05,2.302601842529839e-06,1.6963982488960028e-05
42,48.0,-156.2344512939453,-156.2334747314453,0.0009765625,9.5367431640625e-07,0.0009765625,1.7926868167705834e-05,2.4935463898145827e-06,2.0420415239641443e-05
43,48.0,-156.2315673828125,-156.2321014404297,-0.0005340576171875,2.852175384759903e-07,0.0005340576171875,2.0049585145898163e-05,1.226027961820364e-06,2.1275613107718527e-05
44,48.0,-156.2267608642578,-156.2312469482422,-0.004486083984375,2.0124949514865875e-05,0.004486083984375,2.111270987370517e-05,1.6384990431106417e-06,2.2751208234694786e-05
45,48.0,-156.23350524902344,-156.22926330566406,0.004241943359375,1.799408346414566e-05,0.004241943359375,1.8113838450517505e-05,1.9554863683879375e-06,2.0069324818905443e-05
46,48.0,-156.2266082763672,-156.2238311767578,0.002777099609375,7.712282240390778e-06,0.002777099609375,1.954254366864916e-05,2.0458828657865524e-06,2.1588426534435712e-05
47,48.0,-156.2234649658203,-156.2238006591797,-0.000335693359375,1.126900315284729e-07,0.000335693359375,1.7836286133388057e-05,2.1874789126741234e-06,2.002376459131483e-05
48,48.0,-156.2340850830078,-156.236083984375,-0.0019989013671875,3.995606675744057e-06,0.0019989013671875,1.7677462892606854e-05,1.3957964029032155e-06,1.9073258954449557e-05
49,48.0,-156.2346954345703,-156.2335662841797,0.001129150390625,1.27498060464859e-06,0.001129150390625,1.8164861103286967e-05,1.941085884027416e-06,2.010594653256703e-05
50,48.0,-156.23577880859375,-156.23008728027344,0.0056915283203125,3.239349462091923e-05,0.0056915283203125,4.249051562510431e-05,7.222406566143036e-07,4.321275628171861e-05
51,48.0,-156.2266082763672,-156.225830078125,0.0007781982421875,6.055925041437149e-07,0.0007781982421875,1.6723815861041658e-05,8.583871931477915e-06,2.530768688302487e-05
52,48.0,-156.2333526611328,-156.2340087890625,-0.0006561279296875,4.3050386011600494e-07,0.0006561279296875,1.8516500858822837e-05,3.6165233723295387e-06,2.2133024685899727e-05
53,48.0,-156.2252960205078,-156.22129821777344,0.003997802734375,1.5982426702976227e-05,0.003997802734375,2.789675818348769e-05,7.379567250609398e-06,3.5276323615107685e-05
54,48.0,-156.242431640625,-156.2371826171875,0.0052490234375,2.7552247047424316e-05,0.0052490234375,2.0075152860954404e-05,3.7059769510960905e-06,2.3781129129929468e-05
55,48.0,-156.23294067382812,-156.22885131835938,0.00408935546875,1.6722828149795532e-05,0.00408935546875,1.9154686015099287e-05,2.5812537387537304e-06,2.1735939299105667e-05
56,48.0,-156.22572326660156,-156.2258758544922,-0.000152587890625,2.3283064365386963e-08,0.000152587890625,2.7886300813406706e-05,8.35433638712857e-06,3.624063538154587e-05
57,48.0,-156.2310028076172,-156.23167419433594,-0.00067138671875,4.507601261138916e-07,0.00067138671875,1.531704401713796e-05,2.6964000880980166e-06,1.8013444787357002e-05
58,48.0,-156.21627807617188,-156.22230529785156,-0.0060272216796875,3.632740117609501e-05,0.0060272216796875,3.382529394002631e-05,4.282279405742884e-06,3.81075733457692e-05
59,48.0,-156.2277069091797,-156.22918701171875,-0.0014801025390625,2.1907035261392593e-06,0.0014801025390625,1.5943365724524483e-05,1.167331333817856e-06,1.7110696717281826e-05
60,48.0,-156.22901916503906,-156.2269744873047,0.002044677734375,4.180707037448883e-06,0.002044677734375,2.27584478125209e-05,2.9303948849701555e-06,2.568884337961208e-05
61,48.0,-156.22776794433594,-156.22793579101562,-0.0001678466796875,2.8172507882118225e-08,0.0001678466796875,2.135136310243979e-05,2.0703416794276563e-06,2.342170409974642e-05
62,48.0,-156.2281036376953,-156.2287139892578,-0.0006103515625,3.725290298461914e-07,0.0006103515625,1.93969262909377e-05,2.88042929241783e-06,2.227735603810288e-05
63,48.0,-156.2393035888672,-156.23281860351562,0.0064849853515625,4.20550350099802e-05,0.0064849853515625,1.8376413208898157e-05,2.400821585979429e-06,2.0777235476998612e-05
64,48.0,-156.2333221435547,-156.2300262451172,0.0032958984375,1.0862946510314941e-05,0.0032958984375,1.3785235751129221e-05,3.013562036358053e-06,1.6798798242234625e-05
65,48.0,-156.2203826904297,-156.2198028564453,0.000579833984375,3.3620744943618774e-07,0.000579833984375,2.1782267140224576e-05,2.8606270916498033e-06,2.4642893549753353e-05
66,48.0,-156.22171020507812,-156.22622680664062,-0.0045166015625,2.039968967437744e-05,0.0045166015625,2.0614394088624977e-05,1.2033036682623788e-06,2.1817697415826842e-05
67,48.0,-156.2326202392578,-156.2293243408203,0.0032958984375,1.0862946510314941e-05,0.0032958984375,1.8340482711209916e-05,8.984352461993694e-07,1.9238917957409285e-05
68,48.0,-156.24530029296875,-156.2438507080078,0.0014495849609375,2.1012965589761734e-06,0.0014495849609375,1.7456655768910423e-05,1.759035512804985e-06,1.9215691281715408e-05
69,48.0,-156.23141479492188,-156.2308807373047,0.0005340576171875,2.852175384759903e-07,0.0005340576171875,2.7613938073045574e-05,1.2863310985267162e-06,2.890026917157229e-05
70,48.0,-156.2285919189453,-156.23202514648438,-0.0034332275390625,1.178705133497715e-05,0.0034332275390625,1.7270938769797795e-05,2.0578736439347267e-06,1.932881241373252e-05
71,48.0,-156.23202514648438,-156.23037719726562,0.00164794921875,2.7157366275787354e-06,0.00164794921875,1.6650314137223177e-05,2.4341511561942752e-06,1.9084465748164803e-05
72,48.0,-156.23199462890625,-156.2329559326172,-0.0009613037109375,9.241048246622086e-07,0.0009613037109375,1.9516681277309544e-05,1.5263212844729424e-06,2.1043002561782487e-05
73,48.0,-156.22914123535156,-156.22987365722656,-0.000732421875,5.364418029785156e-07,0.000732421875,1.5122258446353953e-05,2.3944303393363953e-06,1.751668969518505e-05
74,48.0,-156.2357635498047,-156.23611450195312,-0.0003509521484375,1.2316741049289703e-07,0.0003509521484375,3.8998241507215425e-05,2.2276769868767587e-06,4.122591781197116e-05
75,48.0,-156.2206573486328,-156.22703552246094,-0.006378173828125,4.068110138177872e-05,0.006378173828125,1.7592070435057394e-05,3.2816315069794655e-06,2.087370194203686e-05
76,48.0,-156.2242889404297,-156.22386169433594,0.00042724609375,1.825392246246338e-07,0.00042724609375,1.8834281945601106e-05,2.8504059628176037e-06,2.168468745367136e-05
77,48.0,-156.24549865722656,-156.24127197265625,0.0042266845703125,1.7864862456917763e-05,0.0042266845703125,2.2757281840313226e-05,2.4490059331583325e-06,2.5206287318724208e-05
78,48.0,-156.22886657714844,-156.2268524169922,0.00201416015625,4.056841135025024e-06,0.00201416015625,2.2192241885932162e-05,3.849470431305235e-06,2.604171277198475e-05
79,48.0,-156.2317352294922,-156.2357635498047,-0.0040283203125,1.6227364540100098e-05,0.0040283203125,1.7638605640968308e-05,1.7523649376016692e-06,1.939097091963049e-05
80,48.0,-156.2367401123047,-156.23373413085938,0.0030059814453125,9.035924449563026e-06,0.0030059814453125,1.9986719053122215e-05,3.297685225334135e-06,2.3284404960577376e-05
81,48.0,-156.2367706298828,-156.2335205078125,0.0032501220703125,1.0563293471932411e-05,0.0032501220703125,1.6234813301707618e-05,1.419021259607689e-06,1.7653834220254794e-05
82,48.0,-156.2272186279297,-156.22898864746094,-0.00177001953125,3.1329691410064697e-06,0.00177001953125,1.4816766451986041e-05,3.947492132283514e-06,1.8764258129522204e-05
83,48.0,-156.2342987060547,-156.2305908203125,0.0037078857421875,1.3748416677117348e-05,0.0037078857421875,1.7169117199955508e-05,2.696900537557667e-06,1.9866018192260526e-05
84,48.0,-156.22970581054688,-156.2321014404297,-0.0023956298828125,5.7390425354242325e-06,0.0023956298828125,1.7366810425301082e-05,1.2471922445911332e-06,1.8614002328831702e-05
85,48.0,-156.22781372070312,-156.22264099121094,0.0051727294921875,2.675713039934635e-05,0.0051727294921875,1.8064751202473417e-05,4.0584591260994785e-06,2.2123211238067597e-05
86,48.0,-156.22276306152344,-156.22776794433594,-0.0050048828125,2.504885196685791e-05,0.0050048828125,1.7874908735393547e-05,1.0208820640400518e-05,2.8083730285288766e-05
87,48.0,-156.2250518798828,-156.2233123779297,0.001739501953125,3.0258670449256897e-06,0.001739501953125,1.8785582142299972e-05,3.0912110560166184e-06,2.187679274356924e-05
88,48.0,-156.22572326660156,-156.22154235839844,0.004180908203125,1.7479993402957916e-05,0.004180908203125,5.0328941142652184e-05,5.176128070161212e-06,5.5505068303318694e-05
89,48.0,-156.22769165039062,-156.2261505126953,0.0015411376953125,2.375105395913124e-06,0.0015411376953125,1.8594726498122327e-05,4.06589833801263e-06,2.2660624381387606e-05
90,48.0,-156.2305450439453,-156.23521423339844,-0.004669189453125,2.1801330149173737e-05,0.004669189453125,1.949423131009098e-05,2.056465064015356e-06,2.1550697056227364e-05
91,48.0,-156.23077392578125,-156.2308807373047,-0.0001068115234375,1.1408701539039612e-08,0.0001068115234375,2.0021469026687555e-05,1.5322118542826502e-06,2.155368019884918e-05
92,48.0,-156.13168334960938,-156.1608428955078,-0.0291595458984375,0.0008502791170030832,0.0291595458984375,0.007060599513351917,0.0007150829769670963,0.007775682490319014
93,48.0,-156.23927307128906,-156.23318481445312,0.0060882568359375,3.70668713003397e-05,0.0060882568359375,2.4073870008578524e-05,4.0794025153445546e-06,2.8153272069175728e-05
94,48.0,-156.23011779785156,-156.2295684814453,0.00054931640625,3.0174851417541504e-07,0.00054931640625,1.9397410142119043e-05,1.70638088548003e-06,2.1103791368659586e-05
95,48.0,-156.2327117919922,-156.23426818847656,-0.001556396484375,2.4223700165748596e-06,0.001556396484375,2.4068283892120235e-05,6.832531767031469e-07,2.4751536329858936e-05
96,48.0,-156.23399353027344,-156.22911071777344,0.0048828125,2.384185791015625e-05,0.0048828125,1.9815384803223424e-05,3.656023181974888e-06,2.347140798519831e-05
97,48.0,-156.2287139892578,-156.22418212890625,0.0045318603515625,2.0537758246064186e-05,0.0045318603515625,2.1242083676042967e-05,1.3872282806914882e-06,2.2629312297794968e-05
98,48.0,-156.2289276123047,-156.2313690185547,-0.00244140625,5.9604644775390625e-06,0.00244140625,1.4292924788605887e-05,1.563841919960396e-06,1.5856767277000472e-05
99,48.0,-156.22018432617188,-156.22915649414062,-0.00897216796875,8.04997980594635e-05,0.00897216796875,2.052046693279408e-05,6.582669357158011e-06,2.710313674469944e-05
100,48.0,-156.2299346923828,-156.22756958007812,0.0023651123046875,5.593756213784218e-06,0.0023651123046875,1.5023263586044777e-05,4.051427822560072e-06,1.9074690499110147e-05
