epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,magnitude_aleatoric,magnitude_epistemic,magnitude_total,rmse_e_atom,nll_energy
0,0.5879264285792799,0.45000745391203,0.5749112700059978,0.12822655753603582,0.17390568115507346,0.1663102466089124,0.4351338272412545,0.4638465033094882,0.45418017704631725,0.40793379265552576,3.3491492961415457,0.49471636986512757,7.125121774151922e-05,1.1854107368400526e-05,8.310532525334006e-05,0.007269407489511359,-3.7446661857458263
5,0.734096666058503,0.6090002501518578,0.7207495107611237,0.1434851305532626,0.18231228608662475,0.19947533092143394,0.3737362460304417,0.37795309699854807,0.37096999734046454,0.4240116671585095,4.824155228129863,0.5007667397651309,6.545746050855647e-05,8.849239015244865e-06,7.430670006075301e-05,0.00721305856364393,-3.8811901982013994
10,0.7473949563517792,0.6153720673985853,0.7350101821882927,0.15048923554208174,0.178967996662924,0.16628406392626038,0.361162441077554,0.35129699916047946,0.3452786398564637,0.41573702095422066,3.437878174843891,0.5174829587520314,6.992634800833632e-05,1.0292407583060244e-05,8.021875748034709e-05,0.007029750019025845,-3.8951294981516327
15,0.7445379989598784,0.6196567038011447,0.7319735728047768,0.15479745945917206,0.17481185300358712,0.19018590066481972,0.36400857596925507,0.3838503742493823,0.35804565192522864,0.447498279296716,3.602712445998393,0.5188446033125305,7.085071294848324e-05,8.724379123000639e-06,7.957509089744865e-05,0.007002642937952184,-3.9358834055753853
20,0.7068014717626053,0.5946800154375158,0.6956348044608182,0.18590753787260988,0.30425876515464856,0.2545426737182156,0.35231443413271346,0.31230208316457575,0.31860346549681506,0.43130795300118635,3.379708076886387,0.5096415029725916,7.313434261260016e-05,9.391992250584735e-06,8.252633367821825e-05,0.006986875278381522,-3.960096571078667
25,0.672729049738615,0.5574067158323825,0.6608827470730444,0.19074801137455843,0.2133597351169692,0.22394319078816644,0.3545319419758834,0.3309906728211891,0.3326215142690947,0.43635200656989676,2.2560614580011404,0.5133042303565606,7.548640412726224e-05,1.097105909086447e-05,8.645746388188294e-05,0.006899075482936786,-3.963144927758437
30,0.6619025325500121,0.5745221570285044,0.6534014161083488,0.17997459960008635,0.15722342857544536,0.20488344470749645,0.3542252522968845,0.3605974218577481,0.3605110994301043,0.4589676385762796,0.9589087007314493,0.5844099071841048,8.101555294370673e-05,1.535220611423518e-05,9.636775848775869e-05,0.006668672299594159,-3.942866104382735
35,0.6270580526244012,0.5094079972647876,0.6168969896947086,0.1972756137111162,0.24579563693661777,0.2335625277878972,0.3472881307050616,0.35826406162202246,0.3349185297275137,0.43873498254055804,3.4287968593472673,0.5081662041688355,8.166344098824014e-05,8.996027045126399e-06,9.065946887858445e-05,0.006633222319264015,-3.9993027274425215
40,0.613621660696198,0.508789963067288,0.6042881264512182,0.21052804082841187,0.16933575324150302,0.23801778851189134,0.34153930947927336,0.3457079539433102,0.32153639936205825,0.4451810074355006,2.3243322215611286,0.5342044547224787,8.387760450344873e-05,1.0185149479779144e-05,9.406275436888861e-05,0.0066138233702882935,-3.9983717707487254
45,0.5917608327093336,0.49131559827981114,0.5829876190381414,0.21328384365132602,0.2723984088635694,0.2701096449729826,0.3437850212550172,0.3162438953031782,0.3097172774310176,0.4323452849391947,2.8696577354081994,0.5166961841129102,8.577399563504374e-05,9.624706840091117e-06,9.539870258707266e-05,0.006506391864526773,-4.022026965251336
50,0.5902148592179792,0.48876182454682987,0.5809288665713467,0.21553008534418386,0.17285451118653083,0.22298363042426295,0.33667337306905154,0.34426987588930114,0.3244015246414311,0.4606250222470875,2.699104731235982,0.5397236686213166,8.546115645563427e-05,9.972414084831354e-06,9.543356931177327e-05,0.006485191100295925,-4.0134382550533
