epoch,au_var,au_var_mean,au_var_std,au_var_ci95_low,au_var_ci95_high,au_var_n,au_var_geometric_mean,au_var_geometric_ci95_low,au_var_geometric_ci95_high,au_var_geometric_n,eu_var,eu_var_mean,eu_var_std,eu_var_ci95_low,eu_var_ci95_high,eu_var_n,eu_var_geometric_mean,eu_var_geometric_ci95_low,eu_var_geometric_ci95_high,eu_var_geometric_n,tu_var,tu_var_mean,tu_var_std,tu_var_ci95_low,tu_var_ci95_high,tu_var_n,tu_var_geometric_mean,tu_var_geometric_ci95_low,tu_var_geometric_ci95_high,tu_var_geometric_n,rmse_energy,rmse_energy_mean,rmse_energy_std,rmse_energy_ci95_low,rmse_energy_ci95_high,rmse_energy_n,rmse_energy_geometric_mean,rmse_energy_geometric_ci95_low,rmse_energy_geometric_ci95_high,rmse_energy_geometric_n
0,5.528935858399983e-05,5.528935858399983e-05,1.329191020431505e-05,3.878791806498858e-05,7.179079910301109e-05,5,5.399760981654166e-05,3.986532967028839e-05,7.313979064050178e-05,5,6.905330756913267e-06,6.905330756913267e-06,2.9674371185650454e-06,3.221361609272566e-06,1.0589299904553966e-05,5,6.482297311996487e-06,4.033465042478016e-06,1.0417885862053038e-05,5,6.219468939749416e-05,6.219468939749416e-05,1.5910692316330463e-05,4.244212269801532e-05,8.194725609697301e-05,5,6.05896442896302e-05,4.411889247626557e-05,8.320936426767385e-05,5,0.007635155743955747,0.007635155743955747,0.00032575878693260306,0.0072307376307210874,0.008039573857190407,5,0.007629592138188235,0.0072356711807023966,0.008044958752458534,5
10,5.3230375997372896e-05,5.3230375997372896e-05,1.057760772506058e-05,4.0098646845918274e-05,6.636210514882752e-05,5,5.245209838348e-05,4.150345205774068e-05,6.628900702049295e-05,5,5.981256131672825e-06,5.981256131672825e-06,2.64385576697832e-06,2.699001887623348e-06,9.263510375722302e-06,5,5.576186182693807e-06,3.3576038241287356e-06,9.260726986494268e-06,5,5.9211632685149266e-05,5.9211632685149266e-05,1.3124812496189801e-05,4.2917638112514986e-05,7.550562725778355e-05,5,5.815181699101749e-05,4.4916085898908905e-05,7.52878117422724e-05,5,0.007225534179587231,0.007225534179587231,0.00043602967016069966,0.0066842186307998885,0.0077668497283745735,5,0.007215030300742056,0.006694725452181962,0.007775772526065212,5
20,5.2904825880922055e-05,5.2904825880922055e-05,1.2970702696474745e-05,3.680215322171517e-05,6.900749854012894e-05,5,5.1738566592854074e-05,3.8808440827701936e-05,6.897672815477829e-05,5,6.439047232465083e-06,6.439047232465083e-06,3.195603745423839e-06,2.4718172168483454e-06,1.0406277248081821e-05,5,5.628402420828548e-06,2.582874727537723e-06,1.2264982685005574e-05,5,5.934387290695807e-05,5.934387290695807e-05,1.520259346956726e-05,4.0470386100574666e-05,7.821735971334147e-05,5,5.7890997725784535e-05,4.268393471640315e-05,7.851590159046143e-05,5,0.0070777651871908685,0.0070777651871908685,0.00046786606774529434,0.00649692586695108,0.007658604507430657,5,0.007065022895943109,0.006496007380785072,0.007683881127944156,5
30,5.407174107928697e-05,5.407174107928697e-05,1.6748446551371194e-05,3.3279131867740405e-05,7.486435029083354e-05,5,5.2243417205061725e-05,3.666714536988992e-05,7.44365184071141e-05,5,7.822580269108724e-06,7.822580269108724e-06,5.0907704908055e-06,1.502567181547125e-06,1.4142593356670324e-05,5,6.583134920717255e-06,2.8986010143859715e-06,1.4951235154227482e-05,5,6.189432112128438e-05,6.189432112128438e-05,2.1671509133775012e-05,3.4989902310803426e-05,8.879873993176533e-05,5,5.9242022869690685e-05,3.9757249132792764e-05,8.827615970034845e-05,5,0.00690012777614529,0.00690012777614529,0.0004480134637615378,0.006343934767741034,0.007456320784549547,5,0.006888325016448389,0.006349011606543522,0.00747345011675928,5
40,5.2957183462030325e-05,5.2957183462030325e-05,1.8533550125042102e-05,2.994843074752493e-05,7.596593617653572e-05,5,5.076526980444488e-05,3.4420453443227694e-05,7.487154759796274e-05,5,6.27039143716082e-06,6.27039143716082e-06,3.0678462537006263e-06,2.4617678684823317e-06,1.0079015005839307e-05,5,5.677184380506942e-06,3.0459604701957037e-06,1.0581365978200357e-05,5,5.9227574674878275e-05,5.9227574674878275e-05,2.136921771781233e-05,3.269844005931286e-05,8.575670929044369e-05,5,5.657708753267541e-05,3.768466577378083e-05,8.494083118304032e-05,5,0.006832213816782557,0.006832213816782557,0.000421117726077128,0.006309410923778729,0.007355016709786384,5,0.006821722765900404,0.006315117491233712,0.007368968441110141,5
50,5.287404603502811e-05,5.287404603502811e-05,2.079485893303712e-05,2.7057957714378443e-05,7.869013435567777e-05,5,5.0000273812941005e-05,3.1823033544489875e-05,7.856031003059265e-05,5,7.207275902006727e-06,7.207275902006727e-06,2.2695024228240023e-06,4.389768210311329e-06,1.0024783593702124e-05,5,6.923507784989165e-06,4.668234520800687e-06,1.026832731629427e-05,5,6.0081321880716135e-05,6.0081321880716135e-05,2.285550992074412e-05,3.17070076029689e-05,8.845563615846337e-05,5,5.6999902316815e-05,3.673782479784088e-05,8.843715930392807e-05,5,0.0067683893897370504,0.0067683893897370504,0.00047493284294329845,0.006178776915842249,0.007358001863631852,5,0.006754943037640671,0.006187469986557047,0.007374460892885898,5
60,5.3222260889574856e-05,5.3222260889574856e-05,2.123879399836729e-05,2.6855042749189347e-05,7.958947902996037e-05,5,5.027063828318635e-05,3.188246080996219e-05,7.926417877409627e-05,5,6.596915418019588e-06,6.596915418019588e-06,3.140969910718333e-06,2.69751139278802e-06,1.0496319443251156e-05,5,6.075515227084444e-06,3.5106656932834694e-06,1.051421254526e-05,5,5.9819176566144536e-05,5.9819176566144536e-05,2.4377128783463816e-05,2.955582581660235e-05,9.008252731568672e-05,5,5.636003260534891e-05,3.53886729348889e-05,8.975903903263913e-05,5,0.0066665735787771515,0.0066665735787771515,0.0005008022848713551,0.0060448450996826416,0.007288302057871661,5,0.006651076491544704,0.006045745751045402,0.007317016017210016,5
70,5.5085609893957066e-05,5.5085609893957066e-05,2.3903570990094e-05,2.541016454247191e-05,8.476105524544222e-05,5,5.141072701395988e-05,3.106958541942129e-05,8.506913807906017e-05,5,6.776639871234762e-06,6.776639871234762e-06,3.1383596529534674e-06,2.880476389505529e-06,1.0672803352963995e-05,5,6.240352755103902e-06,3.5746644270644906e-06,1.0893890406409974e-05,5,6.186224975513492e-05,6.186224975513492e-05,2.7016417788438126e-05,2.8322314236465615e-05,9.540218527380423e-05,5,5.7671088907404575e-05,3.4700018204908396e-05,9.584878244517173e-05,5,0.006648631395534723,0.006648631395534723,0.0005203731235149442,0.006002606406396118,0.007294656384673329,5,0.006631910194002858,0.006005690575667882,0.007323426384887944,5
80,5.4668904474685685e-05,5.4668904474685685e-05,2.389053396826084e-05,2.500964412874286e-05,8.432816482062851e-05,5,5.085652679403236e-05,3.025433286240599e-05,8.548812923143228e-05,5,6.416160572808412e-06,6.416160572808412e-06,2.8245742644639244e-06,2.909550649920864e-06,9.92277049569596e-06,5,5.92427055367313e-06,3.393691488151596e-06,1.0341830338925242e-05,5,6.108506495365873e-05,6.108506495365873e-05,2.650037322491227e-05,2.8185780668656105e-05,9.398434923866136e-05,5,5.686877660687277e-05,3.392110340658674e-05,9.534058235070313e-05,5,0.006571448046314314,0.006571448046314314,0.000507090579009772,0.005941912870507585,0.007200983222121043,5,0.00655546123937655,0.005946947044693487,0.007226240916221792,5
90,5.4799324563926064e-05,5.4799324563926064e-05,2.494602405526449e-05,2.38297102792813e-05,8.576893884857084e-05,5,5.0685047066106756e-05,2.9577474792567426e-05,8.685575811018927e-05,5,6.214847560429987e-06,6.214847560429987e-06,2.825174800811313e-06,2.707492092721295e-06,9.722203028138678e-06,5,5.696502625049874e-06,3.173599267213744e-06,1.0225028248664067e-05,5,6.101417202724126e-05,6.101417202724126e-05,2.7617486862913425e-05,2.6728030325426705e-05,9.530031372905581e-05,5,5.644612365269142e-05,3.2929683147521716e-05,9.675662110507493e-05,5,0.006526756178946325,0.006526756178946325,0.000602152901865183,0.005779204462094324,0.007274307895798325,5,0.006504093658331256,0.00578946309339737,0.0073069356577451635,5
