config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,48.0,-156.23062133789062,-156.22996520996094,0.0006561279296875,4.3050386011600494e-07,5.060823241365142e-05,2.0957552351319464e-06,5.2703988330904394e-05,5.060823241365142e-05,2.0957552351319464e-06,5.2703988330904394e-05
1,48.0,-156.2349090576172,-156.2327117919922,0.002197265625,4.827976226806641e-06,4.888476905762218e-05,2.9850866667402443e-06,5.186985436012037e-05,4.888476905762218e-05,2.9850866667402443e-06,5.186985436012037e-05
2,48.0,-156.23313903808594,-156.2346649169922,-0.00152587890625,2.3283064365386963e-06,4.599395106197335e-05,5.827983841300011e-06,5.182193490327336e-05,4.599395106197335e-05,5.827983841300011e-06,5.182193490327336e-05
3,48.0,-156.24095153808594,-156.2346649169922,0.00628662109375,3.9521604776382446e-05,5.620384035864845e-05,2.820778263412649e-06,5.902461998630315e-05,5.620384035864845e-05,2.820778263412649e-06,5.902461998630315e-05
4,48.0,-156.2333221435547,-156.23240661621094,0.00091552734375,8.381903171539307e-07,3.861839650198817e-05,3.682984925035271e-06,4.230138074490242e-05,3.861839650198817e-05,3.682984925035271e-06,4.230138074490242e-05
5,48.0,-156.24618530273438,-156.2369384765625,0.009246826171875,8.550379425287247e-05,4.131101377424784e-05,3.8249650060606655e-06,4.513597741606645e-05,4.131101377424784e-05,3.8249650060606655e-06,4.513597741606645e-05
6,48.0,-156.2266082763672,-156.2254180908203,0.001190185546875,1.4165416359901428e-06,4.3752803321694955e-05,1.0491372449905612e-05,5.424417759058997e-05,4.3752803321694955e-05,1.0491372449905612e-05,5.424417759058997e-05
7,48.0,-156.23440551757812,-156.2255859375,0.008819580078125,7.778499275445938e-05,5.8150773838860914e-05,6.218941507540876e-06,6.436971307266504e-05,5.8150773838860914e-05,6.218941507540876e-06,6.436971307266504e-05
8,48.0,-156.1923370361328,-156.2194061279297,-0.027069091796875,0.0007327357307076454,0.00010318287968402728,4.625250767276157e-06,0.00010780813317978755,0.00010318287968402728,4.625250767276157e-06,0.00010780813317978755
9,48.0,-156.22206115722656,-156.22787475585938,-0.0058135986328125,3.379792906343937e-05,5.8721321693155915e-05,2.622290139697725e-06,6.134361319709569e-05,5.8721321693155915e-05,2.622290139697725e-06,6.134361319709569e-05
10,48.0,-156.2303924560547,-156.2266387939453,0.003753662109375,1.4089979231357574e-05,4.953819006914273e-05,4.736415576189756e-06,5.4274605645332485e-05,4.953819006914273e-05,4.736415576189756e-06,5.4274605645332485e-05
11,48.0,-156.22901916503906,-156.22613525390625,0.0028839111328125,8.316943421959877e-06,5.9075224271509796e-05,4.595180598698789e-06,6.367040623445064e-05,5.9075224271509796e-05,4.595180598698789e-06,6.367040623445064e-05
12,48.0,-156.23410034179688,-156.2294158935547,0.0046844482421875,2.194405533373356e-05,5.7349156122654676e-05,3.70474299415946e-06,6.105389911681414e-05,5.7349156122654676e-05,3.70474299415946e-06,6.105389911681414e-05
13,48.0,-156.23240661621094,-156.2256317138672,0.00677490234375,4.589930176734924e-05,6.918101280461997e-05,3.154459363940987e-06,7.233547512441874e-05,6.918101280461997e-05,3.154459363940987e-06,7.233547512441874e-05
14,48.0,-156.22779846191406,-156.22557067871094,0.002227783203125,4.963018000125885e-06,5.216188219492324e-05,3.953080067731207e-06,5.611496089841239e-05,5.216188219492324e-05,3.953080067731207e-06,5.611496089841239e-05
15,48.0,-156.23890686035156,-156.23403930664062,0.0048675537109375,2.3693079128861427e-05,4.382780389278196e-05,3.1409902021550806e-06,4.6968794777058065e-05,4.382780389278196e-05,3.1409902021550806e-06,4.6968794777058065e-05
16,48.0,-156.21627807617188,-156.22337341308594,-0.0070953369140625,5.034380592405796e-05,7.08968800609e-05,3.858026957459515e-06,7.475490565411747e-05,7.08968800609e-05,3.858026957459515e-06,7.475490565411747e-05
17,48.0,-156.2293701171875,-156.23410034179688,-0.004730224609375,2.237502485513687e-05,5.340939969755709e-05,2.4920677788031753e-06,5.5901466112118214e-05,5.340939969755709e-05,2.4920677788031753e-06,5.5901466112118214e-05
18,48.0,-156.23841857910156,-156.23146057128906,0.0069580078125,4.8413872718811035e-05,4.667366738431156e-05,3.929226750187809e-06,5.060289549874142e-05,4.667366738431156e-05,3.929226750187809e-06,5.060289549874142e-05
19,48.0,-156.2307586669922,-156.23130798339844,-0.00054931640625,3.0174851417541504e-07,6.14658129052259e-05,7.281615580723155e-06,6.874743121443316e-05,6.14658129052259e-05,7.281615580723155e-06,6.874743121443316e-05
20,48.0,-156.22181701660156,-156.21658325195312,0.0052337646484375,2.7392292395234108e-05,5.5277680075960234e-05,3.4223892271256773e-06,5.8700068620964885e-05,5.5277680075960234e-05,3.4223892271256773e-06,5.8700068620964885e-05
21,48.0,-156.2390594482422,-156.23619079589844,0.00286865234375,8.229166269302368e-06,5.918398892390542e-05,2.48404694502824e-06,6.16680335951969e-05,5.918398892390542e-05,2.48404694502824e-06,6.16680335951969e-05
22,48.0,-156.24549865722656,-156.23504638671875,0.0104522705078125,0.00010924995876848698,6.131541886134073e-05,5.479657374962699e-06,6.679507350781932e-05,6.131541886134073e-05,5.479657374962699e-06,6.679507350781932e-05
23,48.0,-156.22891235351562,-156.2305145263672,-0.0016021728515625,2.5669578462839127e-06,5.55525730305817e-05,3.6477345020102803e-06,5.920030889683403e-05,5.55525730305817e-05,3.6477345020102803e-06,5.920030889683403e-05
24,48.0,-156.242431640625,-156.23739624023438,0.005035400390625,2.5355257093906403e-05,4.7178869863273576e-05,2.871802962545189e-06,5.005067214369774e-05,4.7178869863273576e-05,2.871802962545189e-06,5.005067214369774e-05
25,48.0,-156.2203826904297,-156.22071838378906,-0.000335693359375,1.126900315284729e-07,6.256136111915112e-05,5.908473212912213e-06,6.846983160357922e-05,6.256136111915112e-05,5.908473212912213e-06,6.846983160357922e-05
26,48.0,-156.23741149902344,-156.2303009033203,0.007110595703125,5.056057125329971e-05,5.291628258419223e-05,3.2850541629159125e-06,5.620133742922917e-05,5.291628258419223e-05,3.2850541629159125e-06,5.620133742922917e-05
27,48.0,-156.23316955566406,-156.2254638671875,0.0077056884765625,5.93776348978281e-05,5.1873237680410966e-05,1.9098747543466743e-06,5.378311107051559e-05,5.1873237680410966e-05,1.9098747543466743e-06,5.378311107051559e-05
28,48.0,-156.23916625976562,-156.23033142089844,0.0088348388671875,7.805437780916691e-05,5.432319812825881e-05,4.622503183782101e-06,5.894570131204091e-05,5.432319812825881e-05,4.622503183782101e-06,5.894570131204091e-05
29,48.0,-156.2294464111328,-156.2277069091797,0.001739501953125,3.0258670449256897e-06,5.8191562857246026e-05,2.4159903659892734e-06,6.060755185899325e-05,5.8191562857246026e-05,2.4159903659892734e-06,6.060755185899325e-05
30,48.0,-156.2317352294922,-156.23085021972656,0.000885009765625,7.832422852516174e-07,4.467187318368815e-05,2.8685549295914825e-06,4.754042674903758e-05,4.467187318368815e-05,2.8685549295914825e-06,4.754042674903758e-05
31,48.0,-156.23265075683594,-156.2235870361328,0.009063720703125,8.215103298425674e-05,7.17527000233531e-05,2.947321718238527e-06,7.470002310583368e-05,7.17527000233531e-05,2.947321718238527e-06,7.470002310583368e-05
