uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,9,0.005727572562504664,0.0034327867012981816,3.2805087458756236e-05,1.178402453660965e-05,1.7838610957436534,1.178402453660965e-05,1.178402453660965e-05
aleatoric,1,9,0.0062929674889581465,0.003853317267142222,3.9601439817084203e-05,1.4848053961256405e-05,1.667113139568172,1.178402453660965e-05,1.9003823399543763e-05
aleatoric,2,9,0.004000849448597801,0.004359337495485267,1.6006796310345333e-05,1.9003823399543763e-05,0.15770653232182644,1.9003823399543763e-05,1.9003823399543763e-05
aleatoric,3,9,0.0037706879777449414,0.004359337495485267,1.4218087825510236e-05,1.9003823399543763e-05,0.2518301435146162,1.9003823399543763e-05,1.9003823399543763e-05
aleatoric,4,9,0.005601897041413584,0.004359337495485267,3.138125046259827e-05,1.9003823399543763e-05,0.6513124650143644,1.9003823399543763e-05,1.9003823399543763e-05
aleatoric,5,9,0.0044101889436101455,0.004359337495485267,1.944976651834117e-05,1.9003823399543763e-05,0.02346596836971834,1.9003823399543763e-05,1.9003823399543763e-05
aleatoric,6,9,0.004804074374072251,0.004425587249704287,2.307913059161769e-05,1.958582250474515e-05,0.17835901892944248,1.9003823399543763e-05,2.0432432963133743e-05
aleatoric,7,9,0.0032385918583706973,0.004582936971585323,1.0488477225104967e-05,2.1003311285523645e-05,0.5006274447622904,2.0568288575663e-05,2.160660612086455e-05
aleatoric,8,9,0.0069454537178131985,0.004648290666563844,4.8239327346285186e-05,2.160660612086455e-05,1.2326193700408405,2.160660612086455e-05,2.160660612086455e-05
aleatoric,9,9,0.002845913016954663,0.004648290666563844,8.099220900071992e-06,2.160660612086455e-05,0.6251507129455686,2.160660612086455e-05,2.160660612086455e-05
aleatoric,10,8,0.0044962967860746805,0.004648290666563844,2.02166847884655e-05,2.160660612086455e-05,0.06432853566284366,2.160660612086455e-05,2.160660612086455e-05
aleatoric,11,8,0.006724412179654293,0.005318980509782964,4.5217719161882997e-05,2.8291553663451045e-05,0.5982762806094429,2.160660612086455e-05,3.6767334677278996e-05
aleatoric,12,8,0.019932368147009463,0.0060636073980163815,0.00039729929994791746,3.6767334677278996e-05,9.805768311333031,3.6767334677278996e-05,3.6767334677278996e-05
aleatoric,13,8,0.0035226576057231815,0.0060636073980163815,1.2409116607159376e-05,3.6767334677278996e-05,0.6624961608971943,3.6767334677278996e-05,3.6767334677278996e-05
aleatoric,14,8,0.02079768541181655,0.0060636073980163815,0.00043254371848888695,3.6767334677278996e-05,10.76434795411441,3.6767334677278996e-05,3.6767334677278996e-05
epistemic,0,9,0.004020320128061202,0.002754337339765985,1.6162973932094043e-05,7.586374181229163e-06,1.1305268559104051,1.8030405044555664e-06,1.0078598279505968e-05
epistemic,1,9,0.0016397184309422921,0.003174680815374353,2.688676532771852e-06,1.0078598279505968e-05,0.7332291199422977,1.0078598279505968e-05,1.0078598279505968e-05
epistemic,2,9,0.005624190389243119,0.0044716940670662545,3.1631517534454666e-05,1.9996047829435538e-05,0.5818884713753749,1.0078598279505968e-05,2.3785928663398537e-05
epistemic,3,9,0.007763227080819794,0.004877081982435659,6.026769470837381e-05,2.3785928663398537e-05,1.5337541182957013,2.3785928663398537e-05,2.3785928663398537e-05
epistemic,4,9,0.0035428989302580685,0.004877081982435659,1.2552132830023766e-05,2.3785928663398537e-05,0.4722874600503273,2.3785928663398537e-05,2.3785928663398537e-05
epistemic,5,9,0.003973302597725684,0.004877081982435659,1.5787133533093664e-05,2.3785928663398537e-05,0.3362826502802605,2.3785928663398537e-05,2.3785928663398537e-05
epistemic,6,9,0.003599288555173359,0.004877081982435659,1.2954878103401927e-05,2.3785928663398537e-05,0.4553553789414699,2.3785928663398537e-05,2.3785928663398537e-05
epistemic,7,9,0.004474870965412687,0.004877081982435659,2.002447015709347e-05,2.3785928663398537e-05,0.15813797138360833,2.3785928663398537e-05,2.3785928663398537e-05
epistemic,8,9,0.004396191036290644,0.004877081982435659,1.9326495627562206e-05,2.3785928663398537e-05,0.18748198142452374,2.3785928663398537e-05,2.3785928663398537e-05
epistemic,9,9,0.005623254254908559,0.004877081982435659,3.162098841534721e-05,2.3785928663398537e-05,0.3293989426616399,2.3785928663398537e-05,2.3785928663398537e-05
epistemic,10,8,0.0054967074092307855,0.004877081982435659,3.0213792342692614e-05,2.3785928663398537e-05,0.27023807942320055,2.3785928663398537e-05,2.3785928663398537e-05
epistemic,11,8,0.004457646367816146,0.004877081982435659,1.987061114050448e-05,2.3785928663398537e-05,0.16460646032790366,2.3785928663398537e-05,2.3785928663398537e-05
epistemic,12,8,0.0042719091331545654,0.004877081982435659,1.8249207641929388e-05,2.3785928663398537e-05,0.23277296000592906,2.3785928663398537e-05,2.3785928663398537e-05
epistemic,13,8,0.005408670371134285,0.005101000574423279,2.9253715183585882e-05,2.6020206860266626e-05,0.12426912440334546,2.3785928663398537e-05,4.166015423834324e-05
