uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,9.0,9.0,0.0,9.0,9.0,5,9.000000000000002,9.000000000000002,9.000000000000002,5,0.0051901561238848785,0.0051901561238848785,0.0008902874572335048,0.004084895458221398,0.006295416789548359,5,0.005128203967613363,0.004131569386693482,0.0063652509426913575,5,0.00940253142975232,0.00940253142975232,0.005884821370668003,0.0020967320133855535,0.016708330846119085,5,0.008335857910674007,0.004419920624654342,0.015721216059707086,5,2.7571809995505545e-05,2.7571809995505545e-05,9.217858838293761e-06,1.61281614156824e-05,3.901545857532869e-05,5,2.6298475933445443e-05,1.7069865597062755e-05,4.051641956343322e-05,5,0.00011611249533921686,0.00011611249533921686,0.0001527266690835891,-7.349230990024423e-05,0.00030571730057867794,5,6.948652710694641e-05,1.9535698328244828e-05,0.00024715663439599196,5,0.5058666328371757,0.5058666328371757,0.33021771955786866,0.09591291107348682,0.9158203546008645,5,0.3830784520262457,0.11551138259151138,1.2704297802908369,5,0.00011171463229402434,0.00011171463229402434,0.00015175453173980725,-7.668329851518985e-05,0.0003001125631032385,5,6.453758015385316e-05,1.7411017951087905e-05,0.00023922204111303963,5,0.0001190237730043009,0.0001190237730043009,0.00015384765419002952,-7.197269594431006e-05,0.00031002024195291185,5,7.2447306544013e-05,2.0758449578729693e-05,0.0002528422079681817,5
aleatoric,1,9.0,9.0,0.0,9.0,9.0,5,9.000000000000002,9.000000000000002,9.000000000000002,5,0.00516371185468678,0.00516371185468678,0.0011063647457453909,0.0037901988107661407,0.00653722489860742,5,0.005060547498203374,0.0038013503639934424,0.006736853625528267,5,0.009658785290457089,0.009658785290457089,0.0058826150375757376,0.0023557249592727775,0.0169618456216414,5,0.008612940770825866,0.004633852012097749,0.016008873077535308,5,2.7643154478735396e-05,2.7643154478735396e-05,1.1076374143658848e-05,1.3892224304789085e-05,4.1394084652681705e-05,5,2.5609140981572423e-05,1.4450264589833078e-05,4.5385196771793365e-05,5,0.00012097626103139999,0.00012097626103139999,0.00015541621835525756,-7.196752533621974e-05,0.0003139200473990197,5,7.418274872175447e-05,2.1472584470022358e-05,0.00025628401721263476,5,0.5715828884762588,0.5715828884762588,0.22789162227979268,0.2886634290436961,0.8545023479088216,5,0.5376547364171264,0.3317565064946752,0.871339702259643,5,0.0001196900790091604,0.0001196900790091604,0.00015491534229791177,-7.263188729342418e-05,0.000312012045311745,5,7.279438559053817e-05,2.085021781124012e-05,0.00025414710874853826,5,0.00012252826199983248,0.00012252826199983248,0.00015657485727523383,-7.185393396634088e-05,0.00031691045796600583,5,7.560226682061335e-05,2.2069138085976056e-05,0.00025899075560396645,5
aleatoric,2,9.0,9.0,0.0,9.0,9.0,5,9.000000000000002,9.000000000000002,9.000000000000002,5,0.005209604141302042,0.005209604141302042,0.00207421836654543,0.00263453475903383,0.007784673523570254,5,0.00489827752381429,0.0030177877059689657,0.007950566785346627,5,0.009798237855043464,0.009798237855043464,0.005900884815432249,0.0024724962351684657,0.017123979474918463,5,0.008757831153495453,0.004740369235352723,0.01618009119229051,5,3.058188077476289e-05,3.058188077476289e-05,2.3956941216069814e-05,8.401781588297626e-07,6.0323583390696013e-05,5,2.399312270030425e-05,9.107042638297431e-06,6.3211512208257e-05,5,0.00012386181834800583,0.00012386181834800583,0.00015760490158560423,-7.179914151728004e-05,0.0003195227782132917,5,7.669960651313548e-05,2.2471100487478556e-05,0.0002617953509908369,5,0.661777758453062,0.661777758453062,0.143524486231717,0.48359714060586423,0.8399583763002597,5,0.6486786712236752,0.4892523792440423,0.860055129728093,5,0.00012298443689360284,0.00012298443689360284,0.0001571700643719894,-7.213668781589117e-05,0.0003181055616030969,5,7.586190671627105e-05,2.2132524339753864e-05,0.0002600258697238243,5,0.00012462478844099678,0.00012462478844099678,0.00015761097283742306,-7.104370867057078e-05,0.0003202932855525644,5,7.760345380405004e-05,2.2879631198419062e-05,0.0002632164823851469,5
aleatoric,3,9.0,9.0,0.0,9.0,9.0,5,9.000000000000002,9.000000000000002,9.000000000000002,5,0.005042948080428609,0.005042948080428609,0.001089271116595329,0.0036906561778140713,0.006395239983043147,5,0.004930597960188227,0.003620766034079716,0.0067142687531290155,5,0.009911927497317351,0.009911927497317351,0.005871424652279694,0.0026227596371555684,0.017201095357479136,5,0.008888658522118785,0.004851741526660269,0.01628451348627815,5,2.638053459425767e-05,2.638053459425767e-05,9.855271581419745e-06,1.4145560440828214e-05,3.861550874768713e-05,5,2.4310796245012303e-05,1.3109946673545332e-05,4.508140488924474e-05,5,0.000125825208669994,0.000125825208669994,0.000157818903549151,-7.010142713036343e-05,0.0003217518444703514,5,7.900825032283489e-05,2.3539395841519715e-05,0.00026518537948477496,5,0.5554072967554203,0.5554072967554203,0.3362282933046152,0.1379916584092022,0.9728229351016384,5,0.46437574916963165,0.19407766895232592,1.1111264762244675,5,0.00012489607761381193,0.00012489607761381193,0.00015795588964781921,-7.120062162546123e-05,0.0003209927768530851,5,7.778325538117045e-05,2.2939951734907777e-05,0.0002637422644828727,5,0.0001266978280909825,0.0001266978280909825,0.00015795649500244672,-6.939962267483765e-05,0.00032279527885680263,5,8.001231965610752e-05,2.4005578913829775e-05,0.00026668681141711235,5
aleatoric,4,9.0,9.0,0.0,9.0,9.0,5,9.000000000000002,9.000000000000002,9.000000000000002,5,0.005766773543290766,0.005766773543290766,0.0012460564577004784,0.004219838136414544,0.007313708950166988,5,0.005645056487814133,0.004195972494718153,0.007594583327399277,5,0.010023389576083992,0.010023389576083992,0.005850654606587486,0.002760006999474294,0.01728677215269369,5,0.00901227741629643,0.0049508548540134365,0.016405478775537993,5,3.449780245621999e-05,3.449780245621999e-05,1.3464670756418892e-05,1.7781885768565372e-05,5.12137191438746e-05,5,3.1866662750612436e-05,1.7606185176431278e-05,5.767769591681107e-05,5,0.00012785246605441595,0.00012785246605441595,0.00015813488504780885,-6.846644969856391e-05,0.0003241713818073958,5,8.122114422828668e-05,2.4510963785508403e-05,0.0002691397338546276,5,0.45530704911295033,0.45530704911295033,0.39641751946687387,-0.03683140334612539,0.947445501572026,5,0.2674551616618898,0.05096317753082883,1.403606818988397,5,0.0001269254891667515,0.0001269254891667515,0.00015798019996110405,-6.920139047417214e-05,0.00032305236880767515,5,8.025911333222246e-05,2.4110848391011216e-05,0.00026716294542650763,5,0.00012858015470555982,0.00012858015470555982,0.00015814459090843358,-6.775081053310891e-05,0.0003249111199442286,5,8.205153252214363e-05,2.488389660158639e-05,0.00027055465215215476,5
aleatoric,5,9.0,9.0,0.0,9.0,9.0,5,9.000000000000002,9.000000000000002,9.000000000000002,5,0.005018809160426815,0.005018809160426815,0.0014547607794763633,0.0032127746550081335,0.0068248436658454965,5,0.004858854548277528,0.003418984093681952,0.006905111832764605,5,0.010120850711125189,0.010120850711125189,0.005832794462677754,0.0028796408770225632,0.017362060545227813,5,0.009122002763980487,0.00504337554645754,0.01649905577317455,5,2.6881508529186248e-05,2.6881508529186248e-05,1.5939727785415986e-05,7.092895312789102e-06,4.6670121745583394e-05,5,2.3608467521317214e-05,1.1689452232850198e-05,4.768056942298576e-05,5,0.00012964881211195866,0.00012964881211195866,0.0001585691970274629,-6.720928673726489e-05,0.0003265069109611822,5,8.321093442606763e-05,2.543563690260589e-05,0.0002722188414063245,5,0.663363826358414,0.663363826358414,0.21652197196602563,0.3945593891830492,0.9321682635337787,5,0.6304481846351754,0.39693993133232036,1.001322573356895,5,0.00012876890323241242,0.00012876890323241242,0.00015814283756893302,-6.755988529673655e-05,0.0003250976917615614,5,8.23247877682204e-05,2.5038777753258315e-05,0.00027067498053895975,5,0.00013052576468908228,0.00013052576468908228,0.0001589354899550549,-6.678707398792249e-05,0.000327838603366087,5,8.410699944027672e-05,2.583626690545984e-05,0.00027380067641861224,5
aleatoric,6,9.0,9.0,0.0,9.0,9.0,5,9.000000000000002,9.000000000000002,9.000000000000002,5,0.005087089897237229,0.005087089897237229,0.0021585676641109144,0.002407303819234392,0.007766875975240067,5,0.004787420895341381,0.0030115697843735266,0.007610449191008538,5,0.01022947811465424,0.01022947811465424,0.005833979468167072,0.002986797137781605,0.017472159091526874,5,0.009234986597647012,0.005125217995077283,0.016640263407456085,5,2.960601511100928e-05,2.960601511100928e-05,2.6950584515805435e-05,-3.852190707728136e-06,6.30642209297467e-05,5,2.2919398829151262e-05,9.069552566151625e-06,5.791893688892241e-05,5,0.00013187047564618598,0.00013187047564618598,0.00015953249709419577,-6.618352646365328e-05,0.0003299244777560253,5,8.528497745871994e-05,2.6267859497064003e-05,0.00027689836626952196,5,0.7217014838309384,0.7217014838309384,0.0837862919268133,0.6176837398583692,0.8257192278035075,5,0.7176146852799273,0.617718181472215,0.833666309290222,5,0.00013080594289931468,0.00013080594289931468,0.00015922017843293857,-6.686032654212005e-05,0.0003284722123407494,5,8.429621524911905e-05,2.589251814534668e-05,0.0002744364941809591,5,0.00013288345726323315,0.00013288345726323315,0.0001597390550167992,-6.542697926582638e-05,0.0003311938937922927,5,8.629154242615371e-05,2.667649263782764e-05,0.00027913078362205027,5
aleatoric,7,9.0,9.0,0.0,9.0,9.0,5,9.000000000000002,9.000000000000002,9.000000000000002,5,0.005079626750420218,0.005079626750420218,0.0011620328079216754,0.0036370037589683077,0.006522249741872129,5,0.004944739110818981,0.003510901341916749,0.006964150368496074,5,0.010326981448348855,0.010326981448348855,0.005824038145265805,0.003096642275326378,0.01755732062137133,5,0.009339310293837132,0.0052046926716197055,0.016758475911590836,5,2.6882864120933745e-05,2.6882864120933745e-05,1.0140742644489483e-05,1.4293487651002409e-05,3.947224059086508e-05,5,2.445044487406289e-05,1.2326428232672831e-05,4.8499390355024e-05,5,0.00013378208208855035,0.00013378208208855035,0.00015997905982307434,-6.482631199319713e-05,0.00033239047617029786,5,8.722271676457204e-05,2.7088825806011774e-05,0.00028084651487937033,5,0.6195830513134738,0.6195830513134738,0.2855159674777268,0.26512498756337743,0.9740411150635702,5,0.5592801725142076,0.29041925937593227,1.0770439675373809,5,0.00013300856880960055,0.00013300856880960055,0.00015981281468357048,-6.53934377598233e-05,0.0003314105753790244,5,8.642339054668522e-05,2.674201301695455e-05,0.0002792984368397959,5,0.00013457394670695065,0.00013457394670695065,0.0001600714393374812,-6.414913330320953e-05,0.0003332970267171108,5,8.812365098158657e-05,2.751689858939125e-05,0.00028221850064594374,5
aleatoric,8,9.0,9.0,0.0,9.0,9.0,5,9.000000000000002,9.000000000000002,9.000000000000002,5,0.0045248080497630235,0.0045248080497630235,0.0005644975764252516,0.0038240040992907056,0.005225612000235341,5,0.004495369570853556,0.0038286763326424744,0.005278155117543899,5,0.010427905368383148,0.010427905368383148,0.005803490284128337,0.0032230756445775907,0.017632735092188705,5,0.009451573684919865,0.0052976690133744245,0.016862556889821294,5,2.0728813898232246e-05,2.0728813898232246e-05,4.9821071603511695e-06,1.4543702525813718e-05,2.6913925270650772e-05,5,2.0208347578556083e-05,1.4658762460136627e-05,2.7858921444854846e-05,5,0.00013568560995433167,0.00013568560995433167,0.00016020686836859275,-6.320560044996169e-05,0.00033457682035862506,5,8.933224512146968e-05,2.8065296975267545e-05,0.0002843458248624596,5,0.7060226373039797,0.7060226373039797,0.17908613995395412,0.48369347311280597,0.9283518014951535,5,0.6879936985818534,0.5014840970701877,0.9438690719280978,5,0.00013474494189722464,0.00013474494189722464,0.0001601551579311212,-6.408207181185846e-05,0.00033357195560630774,5,8.827387541554829e-05,2.7573135698122208e-05,0.00028260395067835584,5,0.00013663855570484885,0.00013663855570484885,0.00016029293852798634,-6.235950778480723e-05,0.00033563661919450496,5,9.046809712424617e-05,2.86445576087799e-05,0.00028572536218096097,5
aleatoric,9,9.0,9.0,0.0,9.0,9.0,5,9.000000000000002,9.000000000000002,9.000000000000002,5,0.00510755607616969,0.00510755607616969,0.00120397475665632,0.003612863625801974,0.006602248526537407,5,0.004998455331865777,0.0037550349784540127,0.006653614639548263,5,0.010554702879844283,0.010554702879844283,0.005766071855642634,0.0033963268231550787,0.01771307893653349,5,0.009597994496314299,0.005429725679204486,0.016966142268310024,5,2.724677324295044e-05,2.724677324295044e-05,1.2823998503243676e-05,1.132622869635345e-05,4.316731778954743e-05,5,2.4984555704657413e-05,1.4100287689413127e-05,4.4270587771610966e-05,5,0.00013799982059734044,0.00013799982059734044,0.00016023009511712937,-6.092022500095708e-05,0.000336919866195638,5,9.212149835127958e-05,2.948192095141262e-05,0.000287849983468536,5,0.649860210438059,0.649860210438059,0.27898442433812576,0.30351082850711103,0.9962095923690069,5,0.5734972593776207,0.25934067960721274,1.2682125573657774,5,0.00013692789943888783,0.00013692789943888783,0.00016018975408612328,-6.194206418372748e-05,0.0003357978630615031,5,9.085451454606017e-05,2.8847696742171018e-05,0.0002861421792934114,5,0.00013892169372411444,0.00013892169372411444,0.00016026178278250651,-6.003769099981437e-05,0.00033788107844804325,5,9.322788484504746e-05,3.0052543042455543e-05,0.00028920808799451494,5
