metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.43394317188071857,0.43394317188071857,0.07126341323232085,0.34547214276910865,0.5224142009923285,5,0.4293295384003169,0.3506095980460837,0.5257239207661448,5
ause,epistemic,0.4469658816021934,0.4469658816021934,0.12653047810739929,0.2898827290502387,0.6040490341541481,5,0.4332816484409562,0.3073661314149604,0.6107796783317775,5
ause,total,0.42387854768425326,0.42387854768425326,0.06254793088173125,0.34622748435574485,0.5015296110127617,5,0.420327708696019,0.3515974628087089,0.5024933379390393,5
ence,aleatoric,0.6601564658954584,0.6601564658954584,0.11583125727796466,0.5163560209004179,0.8039569108904989,5,0.6524119606374359,0.5283242812247908,0.8056441498316861,5
ence,epistemic,11.155978576059074,11.155978576059074,4.914729720833089,5.05451393262386,17.257443219494288,5,10.278949677552305,5.815350094993358,18.168606317376547,5
ence,total,0.6872210916703586,0.6872210916703586,0.11150318713927394,0.5487937940151586,0.8256483893255586,5,0.6802646727754971,0.55895057295088,0.8279086692465399,5
rmse,ensemble,0.008404438823193767,0.008404438823193767,0.000867827470872729,0.007327061443174951,0.009481816203212583,5,0.008369648233814779,0.007381794497384101,0.009489699500930694,5
spearman,aleatoric,0.06527082167650115,0.06527082167650115,0.13905779110640312,-0.10736455077000191,0.23790619412300423,5,nan,nan,nan,0
spearman,epistemic,0.1374165115715174,0.1374165115715174,0.12447249126150457,-0.01711172246199788,0.2919447456050327,5,nan,nan,nan,0
spearman,total,0.07443797665605416,0.07443797665605416,0.1404733075099088,-0.09995470977896433,0.24883066309107266,5,nan,nan,nan,0
