epoch,train_loss,train_loss_mean,train_loss_std,train_loss_ci95_low,train_loss_ci95_high,train_loss_n,train_loss_geometric_mean,train_loss_geometric_ci95_low,train_loss_geometric_ci95_high,train_loss_geometric_n,val_loss,val_loss_mean,val_loss_std,val_loss_ci95_low,val_loss_ci95_high,val_loss_n,val_loss_geometric_mean,val_loss_geometric_ci95_low,val_loss_geometric_ci95_high,val_loss_geometric_n,train_rmse_e_atom,train_rmse_e_atom_mean,train_rmse_e_atom_std,train_rmse_e_atom_ci95_low,train_rmse_e_atom_ci95_high,train_rmse_e_atom_n,train_rmse_e_atom_geometric_mean,train_rmse_e_atom_geometric_ci95_low,train_rmse_e_atom_geometric_ci95_high,train_rmse_e_atom_geometric_n,val_rmse_e_atom,val_rmse_e_atom_mean,val_rmse_e_atom_std,val_rmse_e_atom_ci95_low,val_rmse_e_atom_ci95_high,val_rmse_e_atom_n,val_rmse_e_atom_geometric_mean,val_rmse_e_atom_geometric_ci95_low,val_rmse_e_atom_geometric_ci95_high,val_rmse_e_atom_geometric_n
0,-1.2636967306870681,-1.2636967306870681,0.010273608283687504,-1.2764510551899417,-1.2509424061841945,5,nan,nan,nan,0,-1.2609801995754242,-1.2609801995754242,0.005510570425191584,-1.2678213795638056,-1.2541390195870428,5,nan,nan,nan,0,0.010401182714495328,0.010401182714495328,0.0014499056228157072,0.008601175715854437,0.012201189713136218,5,0.010321346740821273,0.00869130455618557,0.012257101089438265,5,0.011577765930262942,0.011577765930262942,0.0071426618598864275,0.002710401645025515,0.020445130215500366,5,0.009989792294426852,0.004693549282362769,0.021262363316562873,5
5,-1.8530055649463946,-1.8530055649463946,0.12623570621667643,-2.0097227685303927,-1.6962883613623962,5,nan,nan,nan,0,-1.8371829187870024,-1.8371829187870024,0.11667119603493925,-1.9820261183015044,-1.6923397192725003,5,nan,nan,nan,0,0.014603512163019795,0.014603512163019795,0.004062585256059745,0.009559954997359829,0.01964706932867976,5,0.014175392036481852,0.010140453013715198,0.019815854293311626,5,0.016411454545694218,0.016411454545694218,0.008284131951168179,0.006126995160807282,0.026695913930581155,5,0.014259670016492301,0.00644126520361911,0.031568051081796986,5
10,-1.7695137497094962,-1.7695137497094962,0.05506965286918589,-1.8378807930655716,-1.7011467063534207,5,nan,nan,nan,0,-1.7614728879928587,-1.7614728879928587,0.03623646310165991,-1.8064591865233188,-1.7164865894623986,5,nan,nan,nan,0,0.011471731051466923,0.011471731051466923,0.0023660238970232435,0.008534395333489118,0.014409066769444728,5,0.011274823468544085,0.008699104217289436,0.014613187872169496,5,0.012674316381778095,0.012674316381778095,0.00629430489460624,0.0048601575264807,0.02048847523707549,5,0.011474790793849318,0.006156019969727392,0.02138895331888273,5
15,-1.7319765675984897,-1.7319765675984897,0.09772550033497605,-1.8532993501165893,-1.6106537850803901,5,nan,nan,nan,0,-1.7292525827884675,-1.7292525827884675,0.10511156305493184,-1.859744903226216,-1.5987602623507189,5,nan,nan,nan,0,0.012117998088417365,0.012117998088417365,0.0030763832424915132,0.00829877614745236,0.01593722002938237,5,0.011835480377911139,0.008809430957459813,0.015900981170333284,5,0.011819773317973414,0.011819773317973414,0.008085522515874131,0.0017818805839772724,0.021857666051969555,5,0.009888571658982097,0.004322932955744765,0.02261979319500631,5
20,-1.8068801887218768,-1.8068801887218768,0.1507808984296245,-1.9940693879110043,-1.6196909895327494,5,nan,nan,nan,0,-1.8054590260982515,-1.8054590260982515,0.16731383550922424,-2.0131732870452446,-1.5977447651512584,5,nan,nan,nan,0,0.012922220971718437,0.012922220971718437,0.0025769472260042787,0.009723031335548912,0.01612141060788796,5,0.012686831169611586,0.009627788122169004,0.016717825847830044,5,0.013819278003138757,0.013819278003138757,0.005879632787580067,0.006519920030769691,0.021118635975507824,5,0.012871222297547473,0.007639247454371219,0.021686476897418323,5
25,-1.710984610410837,-1.710984610410837,0.21213979279061637,-1.9743487257742782,-1.4476204950473959,5,nan,nan,nan,0,-1.7078194558620452,-1.7078194558620452,0.22375110439444904,-1.9855986075019236,-1.4300403042221668,5,nan,nan,nan,0,0.010615939876609576,0.010615939876609576,0.0019967404235741336,0.008137056644249385,0.013094823108969767,5,0.010470703949796174,0.008330796240152972,0.013160283608408607,5,0.012409333260341337,0.012409333260341337,0.005948462597890152,0.0050245254915691935,0.01979414102911348,5,0.011522143002048197,0.006946908854610622,0.019110626343044126,5
30,-1.8189140295982358,-1.8189140295982358,0.19522064209731713,-2.0612736125426245,-1.5765544466538468,5,nan,nan,nan,0,-1.8138000857830048,-1.8138000857830048,0.21061999557334418,-2.075277426183609,-1.5523227453824004,5,nan,nan,nan,0,0.011065522950643489,0.011065522950643489,0.00248676347457468,0.007978293280131398,0.01415275262115558,5,0.010858723875072775,0.008331767423199405,0.014152085410684362,5,0.012791450555050607,0.012791450555050607,0.006896369319127036,0.004229849824422351,0.021353051285678864,5,0.011268810347353152,0.005453989551826379,0.023283155465908367,5
35,-1.8884650511008043,-1.8884650511008043,0.09768296211479628,-2.0097350239098937,-1.7671950782917152,5,nan,nan,nan,0,-1.880439531803131,-1.880439531803131,0.10211752840421746,-2.0072148631895557,-1.7536642004167067,5,nan,nan,nan,0,0.00997825920022726,0.00997825920022726,0.001461358467384917,0.008164033896577737,0.011792484503876783,5,0.009894814502197561,0.008274447125027907,0.011832494975616751,5,0.010944734946698249,0.010944734946698249,0.006989122234217146,0.0022679847238000622,0.019621485169596435,5,0.009394555280029082,0.004394439888124963,0.020083940423902453,5
40,-1.8890307442958538,-1.8890307442958538,0.07620030679963254,-1.9836307536892623,-1.7944307349024453,5,nan,nan,nan,0,-1.8786205995082856,-1.8786205995082856,0.04656341380186941,-1.9364274452816055,-1.8208137537349658,5,nan,nan,nan,0,0.011676556689726591,0.011676556689726591,0.002682903166182573,0.00834582646852359,0.015007286910929592,5,0.01143220515580777,0.008591829196579102,0.015211582043148044,5,0.012568882328189543,0.012568882328189543,0.006450405548661436,0.004560929983598611,0.020576834672780476,5,0.011150991794861368,0.0054714161519837795,0.022726221978926205,5
45,-1.953705427646637,-1.953705427646637,0.09539093970463994,-2.0721299349892837,-1.8352809203039906,5,nan,nan,nan,0,-1.9372136974334715,-1.9372136974334715,0.07718667486844669,-2.033038248203341,-1.841389146663602,5,nan,nan,nan,0,0.011244865782165313,0.011244865782165313,0.002129143779368668,0.008601608425501173,0.013888123138829454,5,0.011076608649870142,0.008679055491873387,0.014136475944560987,5,0.013444288959448464,0.013444288959448464,0.0057817072872801715,0.006266502062542167,0.02062207585635476,5,0.012474674965830233,0.007254639422339609,0.0214507581209219,5
50,-1.9609087621248686,-1.9609087621248686,0.18556849851235255,-2.1912855472019848,-1.7305319770477525,5,nan,nan,nan,0,-1.9376933443546296,-1.9376933443546296,0.13322689129879875,-2.103089859114879,-1.7722968295943802,5,nan,nan,nan,0,0.010645725091385934,0.010645725091385934,0.0015574562559208785,0.008712197752351016,0.01257925243042085,5,0.010549892409231106,0.008731786416655335,0.012746558898194517,5,0.011566483729229794,0.011566483729229794,0.007436032458159198,0.0023349101314848776,0.02079805732697471,5,0.009660796839556826,0.004120167266909832,0.022652234613084136,5
55,-1.935266478061676,-1.935266478061676,0.12820165774164058,-2.0944243415398347,-1.7761086145835172,5,nan,nan,nan,0,-1.9232299625873566,-1.9232299625873566,0.1281781189595154,-2.0823586034927506,-1.7641013216819625,5,nan,nan,nan,0,0.010475222633960123,0.010475222633960123,0.0013233077076527295,0.00883238250861142,0.012118062759308827,5,0.010407208050174312,0.008875293579569916,0.01220353765524245,5,0.011654391252924208,0.011654391252924208,0.0074236279468561095,0.002438217421073653,0.020870565084774764,5,0.009998353141523201,0.004640104775973096,0.021544139705690673,5
60,-2.0821827154893144,-2.0821827154893144,0.11056017526005422,-2.219439296957415,-1.944926134021214,5,nan,nan,nan,0,-2.0720250070095068,-2.0720250070095068,0.1344910237559154,-2.238990897896183,-1.9050591161228303,5,nan,nan,nan,0,0.009900276296763075,0.009900276296763075,0.0011938796004393576,0.008418116628913725,0.011382435964612426,5,0.009843823948129417,0.008491703961343548,0.011411239765644714,5,0.01087346955536825,0.01087346955536825,0.007326397683632827,0.0017780036865240913,0.01996893542421241,5,0.009178791651499015,0.004126028324105715,0.020419204514280354,5
65,-2.166241621054136,-2.166241621054136,0.17039588649063775,-2.377782140241261,-1.9547011018670108,5,nan,nan,nan,0,-2.153858233690262,-2.153858233690262,0.19382049995892864,-2.3944795892572737,-1.91323687812325,5,nan,nan,nan,0,0.011112318177115768,0.011112318177115768,0.001947910546101729,0.00869405552571616,0.013530580828515375,5,0.01097689015114301,0.008834189353464684,0.0136392953070453,5,0.012396699655036874,0.012396699655036874,0.006577733691291968,0.004230673885353753,0.020562725424719996,5,0.011110467266252049,0.005794169649124624,0.0213046027903425,5
